;train/reward;Steps;Wall_Time
0;-10.526264190673828;10240;1649211345.9317317
1;-10.375502586364746;20480;1649211350.4100876
2;-10.290518760681152;30720;1649211354.9618742
3;-10.2137451171875;40960;1649211359.4018955
4;-10.162968635559082;51200;1649211363.863627
5;-10.141923904418945;61440;1649211368.328463
6;-10.074460983276367;71680;1649211372.778461
7;-9.841531753540039;81920;1649211377.2543042
8;-9.877854347229004;92160;1649211381.7051141
9;-9.81674861907959;102400;1649211386.158068
10;-9.763060569763184;112640;1649211390.6381536
11;-9.69786262512207;122880;1649211395.094185
12;-9.50024127960205;133120;1649211399.5888464
13;-9.418449401855469;143360;1649211404.0444942
14;-9.27622127532959;153600;1649211408.4934554
15;-9.0546875;163840;1649211412.9861436
16;-9.02928352355957;174080;1649211417.4383347
17;-8.716114044189453;184320;1649211421.8912015
18;-8.598172187805176;194560;1649211426.357395
19;-8.384636878967285;204800;1649211430.812192
20;-8.113238334655762;215040;1649211435.289505
21;-7.971431255340576;225280;1649211439.7472453
22;-7.686015605926514;235520;1649211444.201972
23;-7.367658615112305;245760;1649211448.726188
24;-7.056672096252441;256000;1649211453.180335
25;-6.942940711975098;266240;1649211457.627257
26;-6.676955223083496;276480;1649211462.1041596
27;-6.496194362640381;286720;1649211466.5516155
28;-6.307949542999268;296960;1649211471.0540867
29;-6.294875144958496;307200;1649211475.5102248
30;-6.1593337059021;317440;1649211479.9570105
31;-5.966235160827637;327680;1649211484.453497
32;-5.880137920379639;337920;1649211488.9043794
33;-5.822378158569336;348160;1649211493.3791203
34;-5.7262492179870605;358400;1649211497.8671732
35;-5.642105579376221;368640;1649211502.3182487
36;-5.637558460235596;378880;1649211506.8279278
37;-5.429130554199219;389120;1649211511.279228
38;-5.40713357925415;399360;1649211515.7305133
39;-5.280055046081543;409600;1649211520.2125127
40;-5.244345664978027;419840;1649211524.6630633
41;-5.246825695037842;430080;1649211529.1540434
42;-5.196655750274658;440320;1649211533.611352
43;-5.163832187652588;450560;1649211538.058611
44;-5.172274589538574;460800;1649211542.5765646
45;-5.1245245933532715;471040;1649211547.0540478
46;-5.102076053619385;481280;1649211551.5039585
47;-5.094398021697998;491520;1649211555.9849918
48;-5.107958793640137;501760;1649211560.4309437
49;-5.076155185699463;512000;1649211564.9305248
50;-5.135157585144043;522240;1649211569.3834167
51;-5.162609577178955;532480;1649211573.831519
52;-5.102600574493408;542720;1649211578.3435824
53;-5.034396171569824;552960;1649211582.7934132
54;-5.020533561706543;563200;1649211587.2627797
55;-4.999776363372803;573440;1649211591.7460604
56;-4.95582914352417;583680;1649211596.1923146
57;-4.921710968017578;593920;1649211600.7040424
58;-4.913614749908447;604160;1649211605.1582274
59;-4.837503910064697;614400;1649211609.6018074
