;train/reward;Steps;Wall_Time
0;-10.293976783752441;1280;1651221606.8748207
1;-10.242331504821777;2560;1651221607.6056116
2;-10.200575828552246;3840;1651221608.3473506
3;-10.149890899658203;5120;1651221609.0786483
4;-9.713571548461914;6400;1651221609.7979634
5;-10.09813404083252;7680;1651221610.5286646
6;-9.739761352539062;8960;1651221611.257958
7;-9.32047176361084;10240;1651221611.9818988
8;-9.313551902770996;11520;1651221612.7024195
9;-8.897276878356934;12800;1651221613.4293327
10;-8.741939544677734;14080;1651221614.1523979
11;-8.775420188903809;15360;1651221614.8847055
12;-8.66226863861084;16640;1651221615.6175632
13;-8.454869270324707;17920;1651221616.3585107
14;-8.003349304199219;19200;1651221617.0805025
15;-8.567462921142578;20480;1651221617.8038526
16;-8.536327362060547;21760;1651221618.523753
17;-8.486536026000977;23040;1651221619.2458038
18;-8.377062797546387;24320;1651221619.9604003
19;-8.08666706085205;25600;1651221620.7201483
20;-8.222119331359863;26880;1651221621.4388433
21;-8.22205924987793;28160;1651221622.1686962
22;-8.129549980163574;29440;1651221622.883008
23;-8.209341049194336;30720;1651221623.6037242
24;-7.915755271911621;32000;1651221624.3246324
25;-8.45145034790039;33280;1651221625.0507646
26;-8.321450233459473;34560;1651221625.7734406
27;-8.070796012878418;35840;1651221626.502898
28;-7.978826999664307;37120;1651221627.2212932
29;-8.2361478805542;38400;1651221627.9511182
30;-8.430723190307617;39680;1651221628.6822264
31;-8.51345157623291;40960;1651221629.4087865
32;-8.456674575805664;42240;1651221630.1371107
33;-8.621922492980957;43520;1651221630.8780286
34;-8.72735595703125;44800;1651221631.6113665
35;-8.559165000915527;46080;1651221632.328709
36;-9.146820068359375;47360;1651221633.050769
37;-8.905837059020996;48640;1651221633.7727094
38;-8.575495719909668;49920;1651221634.4931867
39;-8.556845664978027;51200;1651221635.2252066
40;-8.732824325561523;52480;1651221635.9490025
41;-8.991067886352539;53760;1651221636.6809106
42;-9.294577598571777;55040;1651221637.419412
43;-9.379498481750488;56320;1651221638.1467905
44;-9.506698608398438;57600;1651221638.8724709
45;-9.722503662109375;58880;1651221639.599634
46;-9.147723197937012;60160;1651221640.3315747
47;-9.078747749328613;61440;1651221641.0426602
48;-9.40753173828125;62720;1651221641.770287
49;-9.655613899230957;64000;1651221642.5109012
50;-9.186402320861816;65280;1651221649.3910155
51;-9.358983039855957;66560;1651221650.1163275
52;-9.820453643798828;67840;1651221650.8439
53;-9.079378128051758;69120;1651221651.5588253
54;-9.615169525146484;70400;1651221652.2911987
55;-9.80070686340332;71680;1651221653.0175314
56;-9.916007041931152;72960;1651221653.7364295
57;-10.264391899108887;74240;1651221654.4566512
58;-9.574335098266602;75520;1651221655.1818922
59;-9.604827880859375;76800;1651221655.9164104
60;-9.660377502441406;78080;1651221656.6483586
61;-9.590121269226074;79360;1651221657.3704708
62;-9.652769088745117;80640;1651221658.0908866
63;-9.627058029174805;81920;1651221658.8136282
64;-9.353582382202148;83200;1651221659.535503
65;-9.344171524047852;84480;1651221660.265579
66;-9.71068000793457;85760;1651221660.9896855
67;-9.274852752685547;87040;1651221661.7228606
68;-9.558107376098633;88320;1651221662.4390056
69;-9.803730010986328;89600;1651221663.1716487
70;-9.68864917755127;90880;1651221663.9090805
71;-9.880203247070312;92160;1651221664.6364188
72;-9.314675331115723;93440;1651221665.3693259
73;-9.441043853759766;94720;1651221666.1013436
74;-9.70441722869873;96000;1651221666.8263485
75;-9.52194595336914;97280;1651221667.5516696
76;-9.249040603637695;98560;1651221668.2718618
77;-9.062093734741211;99840;1651221668.9927087
78;-9.456130981445312;101120;1651221669.7166214
79;-9.395058631896973;102400;1651221670.4577594
80;-9.771317481994629;103680;1651221671.1800458
81;-9.429252624511719;104960;1651221671.9065387
82;-9.762958526611328;106240;1651221672.6303074
83;-9.497970581054688;107520;1651221673.3829417
84;-9.35898494720459;108800;1651221674.101723
85;-9.278772354125977;110080;1651221674.820411
86;-9.244830131530762;111360;1651221675.554093
87;-9.032894134521484;112640;1651221676.2787893
88;-9.030487060546875;113920;1651221676.9936607
89;-8.968218803405762;115200;1651221677.7177923
90;-9.255536079406738;116480;1651221678.4538906
91;-9.044792175292969;117760;1651221679.1784048
92;-8.897113800048828;119040;1651221679.9068506
93;-9.144026756286621;120320;1651221680.632857
94;-9.076945304870605;121600;1651221681.3551137
95;-9.14062213897705;122880;1651221682.08453
96;-9.272591590881348;124160;1651221682.8096025
97;-9.20506763458252;125440;1651221683.541478
98;-9.028935432434082;126720;1651221684.2653806
99;-8.957088470458984;128000;1651221684.989496
100;-8.707466125488281;129280;1651221691.8563702
101;-8.081572532653809;130560;1651221692.585226
102;-8.800232887268066;131840;1651221693.3123138
103;-9.738533973693848;133120;1651221694.0372062
104;-8.856200218200684;134400;1651221694.752676
105;-8.773184776306152;135680;1651221695.4816072
106;-9.346234321594238;136960;1651221696.2033427
107;-9.176848411560059;138240;1651221696.9264092
108;-8.877546310424805;139520;1651221697.6570878
109;-9.08448314666748;140800;1651221698.390338
110;-8.852351188659668;142080;1651221699.1104565
111;-9.218803405761719;143360;1651221699.8326828
112;-9.132107734680176;144640;1651221700.5535293
113;-8.950862884521484;145920;1651221701.2868207
114;-9.325051307678223;147200;1651221702.0144207
115;-9.021910667419434;148480;1651221702.733629
116;-9.043347358703613;149760;1651221703.4585714
117;-9.09194564819336;151040;1651221704.184479
118;-9.214961051940918;152320;1651221704.9287806
119;-9.111534118652344;153600;1651221705.652511
120;-9.559504508972168;154880;1651221706.3790028
121;-9.491908073425293;156160;1651221707.0947838
122;-8.943082809448242;157440;1651221707.8104312
123;-9.10165023803711;158720;1651221708.5400403
124;-9.030648231506348;160000;1651221709.2620835
125;-8.922986030578613;161280;1651221709.9874682
126;-8.840337753295898;162560;1651221710.702731
127;-9.355588912963867;163840;1651221711.4129777
128;-9.293106079101562;165120;1651221712.1363513
129;-9.346158981323242;166400;1651221712.8570254
130;-9.051277160644531;167680;1651221713.5679817
131;-9.638711929321289;168960;1651221714.2917788
132;-9.405280113220215;170240;1651221715.0228322
133;-9.39490795135498;171520;1651221715.7420993
134;-9.014730453491211;172800;1651221716.4570847
135;-8.881240844726562;174080;1651221717.1786227
136;-8.810957908630371;175360;1651221717.9078543
137;-8.91828727722168;176640;1651221718.6322598
138;-9.233146667480469;177920;1651221719.354967
139;-9.18127155303955;179200;1651221720.0885239
140;-9.498370170593262;180480;1651221720.819679
141;-9.05970573425293;181760;1651221721.5461047
142;-8.795403480529785;183040;1651221722.2854238
143;-8.9761323928833;184320;1651221723.0146942
144;-9.155943870544434;185600;1651221723.7351496
145;-9.163858413696289;186880;1651221724.4750674
146;-10.067322731018066;188160;1651221725.2018988
147;-10.200398445129395;189440;1651221725.9461827
148;-9.920001983642578;190720;1651221726.6641116
149;-9.940194129943848;192000;1651221727.3880632
150;-9.333556175231934;193280;1651221734.1783545
151;-9.02252197265625;194560;1651221734.902104
152;-8.89106559753418;195840;1651221735.630422
153;-8.750520706176758;197120;1651221736.3701084
154;-9.21684741973877;198400;1651221737.094174
155;-9.562919616699219;199680;1651221737.8179297
156;-9.526589393615723;200960;1651221738.5314143
157;-9.501480102539062;202240;1651221739.2438996
158;-9.472366333007812;203520;1651221739.9681334
159;-9.325636863708496;204800;1651221740.6912997
160;-9.411981582641602;206080;1651221741.409285
161;-9.534134864807129;207360;1651221742.1366332
162;-9.691497802734375;208640;1651221742.8650572
163;-9.35744571685791;209920;1651221743.5847762
164;-10.134894371032715;211200;1651221744.3198528
165;-9.814177513122559;212480;1651221745.0430758
166;-9.637624740600586;213760;1651221745.7693822
167;-9.146944046020508;215040;1651221746.5060444
168;-9.174806594848633;216320;1651221747.2321455
169;-9.364891052246094;217600;1651221747.9589648
170;-9.110297203063965;218880;1651221748.683654
171;-9.090397834777832;220160;1651221749.4080637
172;-9.957754135131836;221440;1651221750.1310322
173;-10.04096508026123;222720;1651221750.8496141
174;-9.71417236328125;224000;1651221751.5767071
175;-10.015119552612305;225280;1651221752.3099756
176;-9.783638000488281;226560;1651221753.0338926
177;-9.26040267944336;227840;1651221753.7549658
178;-9.685648918151855;229120;1651221754.4678416
