;Epsilon;Steps;Wall_Time
0;0.25;1;1649540627.734182
1;0.25;1;1649540628.7001958
2;0.25;1;1649540629.6134343
3;0.25;1;1649540630.519333
4;0.25;1;1649540631.4272456
5;0.25;1;1649540632.33152
6;0.25;1;1649540633.2369068
7;0.25;1;1649540634.1466267
8;0.25;1;1649540635.064333
9;0.25;1;1649540635.9823115
10;0.25;1;1649540636.8939779
11;0.25;1;1649540637.811696
12;0.25;1;1649540638.72136
13;0.25;1;1649540639.6326213
14;0.25;1;1649540640.5423472
15;0.25;1;1649540641.4542203
16;0.25;1;1649540642.3679461
17;0.25;1;1649540643.2782698
18;0.25;1;1649540644.192152
19;0.25;1;1649540645.1092262
20;0.25;1;1649540646.044841
21;0.25;1;1649540646.9585822
22;0.25;1;1649540647.8763113
23;0.25;1;1649540648.7839215
24;0.25;1;1649540649.6943204
25;0.25;1;1649540650.602912
26;0.25;1;1649540651.5187569
27;0.25;1;1649540652.4304216
28;0.25;1;1649540653.3468843
29;0.25;1;1649540654.2543135
30;0.25;1;1649540655.1663313
31;0.25;1;1649540656.0813355
32;0.25;1;1649540657.007263
33;0.25;1;1649540657.922131
34;0.25;1;1649540658.8357604
35;0.25;1;1649540659.7468975
36;0.25;1;1649540660.655355
37;0.25;1;1649540661.5721889
38;0.25;1;1649540662.483252
39;0.25;1;1649540663.393143
40;0.25;1;1649540664.3034112
41;0.25;1;1649540665.2186036
42;0.25;1;1649540666.1368608
43;0.25;1;1649540667.0716455
44;0.25;1;1649540667.9846597
45;0.25;1;1649540668.8962817
46;0.25;1;1649540669.802314
47;0.25;1;1649540670.7142918
48;0.25;1;1649540671.6322558
49;0.25;1;1649540672.5394907
50;0.25;1;1649540673.4482284
51;0.25;1;1649540674.3558972
52;0.25;1;1649540675.2679687
53;0.25;1;1649540676.1745136
54;0.25;1;1649540677.0904036
55;0.25;1;1649540678.0063915
56;0.25;1;1649540678.91603
57;0.25;1;1649540679.822929
58;0.25;1;1649540680.7312706
59;0.25;1;1649540681.6381323
60;0.25;1;1649540682.5432343
61;0.25;1;1649540683.4490144
62;0.25;1;1649540684.3534393
63;0.25;1;1649540685.2569394
64;0.25;1;1649540686.16327
65;0.25;1;1649540687.067254
66;0.25;1;1649540687.9980204
67;0.25;1;1649540688.9032485
68;0.25;1;1649540689.8074195
69;0.25;1;1649540690.712199
70;0.25;1;1649540691.6192927
71;0.25;1;1649540692.5215473
72;0.25;1;1649540693.4291785
73;0.25;1;1649540694.3318985
74;0.25;1;1649540695.2377508
75;0.25;1;1649540696.1402905
76;0.25;1;1649540697.0452356
77;0.25;1;1649540697.9500842
78;0.25;1;1649540698.8707862
79;0.25;1;1649540699.7733164
80;0.25;1;1649540700.6761053
81;0.25;1;1649540701.5812268
82;0.25;1;1649540702.4913294
83;0.25;1;1649540703.4006186
84;0.25;1;1649540704.3073764
85;0.25;1;1649540705.2119627
86;0.25;1;1649540706.1163485
87;0.25;1;1649540707.0240269
88;0.25;1;1649540707.9353797
89;0.25;1;1649540708.8618562
90;0.25;1;1649540709.7670822
91;0.25;1;1649540710.6751666
92;0.25;1;1649540711.5780632
93;0.25;1;1649540712.4871168
94;0.25;1;1649540713.392444
95;0.25;1;1649540714.3046267
96;0.25;1;1649540715.209351
97;0.25;1;1649540716.1172712
98;0.25;1;1649540717.0282815
99;0.25;1;1649540717.9342601
100;0.1666666716337204;2;1649540726.3677711
101;0.1666666716337204;2;1649540727.3070827
102;0.1666666716337204;2;1649540728.2329743
103;0.1666666716337204;2;1649540729.1400576
104;0.1666666716337204;2;1649540730.0678256
105;0.1666666716337204;2;1649540730.981601
106;0.1666666716337204;2;1649540731.896118
107;0.1666666716337204;2;1649540732.8062751
108;0.1666666716337204;2;1649540733.717429
109;0.1666666716337204;2;1649540734.6246355
110;0.1666666716337204;2;1649540735.5338075
111;0.1666666716337204;2;1649540736.4448435
112;0.1666666716337204;2;1649540737.3536475
113;0.1666666716337204;2;1649540738.2693043
114;0.1666666716337204;2;1649540739.176777
115;0.1666666716337204;2;1649540740.0889194
116;0.1666666716337204;2;1649540741.008299
117;0.1666666716337204;2;1649540741.9222012
118;0.1666666716337204;2;1649540742.8324096
119;0.1666666716337204;2;1649540743.7440603
120;0.1666666716337204;2;1649540744.6521175
121;0.1666666716337204;2;1649540745.561901
122;0.1666666716337204;2;1649540746.4693043
123;0.1666666716337204;2;1649540747.3773897
124;0.1666666716337204;2;1649540748.2881541
