;avg_time;Steps;Wall_Time
0;0.00764584681019187;5;1692864081.306774
1;0.004739891272038221;10;1692864086.0494392
2;0.009048452600836754;20;1692864095.100119
3;0.013330582529306412;30;1692864108.4334028
4;0.017594655975699425;40;1692864126.0316048
5;0.021910488605499268;50;1692864147.945559
6;0.04291536659002304;100;1692864190.8643808
