;nll;Steps;Wall_Time
0;42.27500915527344;0;1649629139.0384443
1;42.250335693359375;2560;1649629139.1022933
2;42.266746520996094;5120;1649629139.1640885
3;42.26534652709961;7680;1649629139.2150245
4;42.2916374206543;10240;1649629139.264326
5;42.20433044433594;12800;1649629139.311338
6;42.1871337890625;15360;1649629139.3620305
7;42.21255874633789;17920;1649629139.4143357
8;42.216407775878906;20480;1649629139.4697926
9;42.250144958496094;23040;1649629139.5279202
10;42.20087432861328;25600;1649629139.5815132
11;42.26966857910156;28160;1649629139.6424866
12;42.22264862060547;30720;1649629139.7072594
13;42.123779296875;33280;1649629139.7653527
14;42.23839569091797;35840;1649629139.8218591
15;42.20256805419922;38400;1649629139.876632
16;42.10044479370117;40960;1649629139.9284742
17;42.07354736328125;43520;1649629139.9758172
18;42.00861358642578;46080;1649629140.0275738
19;41.93375015258789;48640;1649629140.0909774
20;42.1553955078125;51200;1649629140.1449358
21;42.01478576660156;53760;1649629140.201163
22;42.007503509521484;56320;1649629140.252226
23;41.99481964111328;58880;1649629140.3047068
24;41.94821548461914;61440;1649629140.359203
25;41.96553039550781;64000;1649629140.411873
26;41.86280822753906;66560;1649629140.5407214
27;41.751041412353516;69120;1649629140.5934553
28;41.698707580566406;71680;1649629140.6396701
29;41.450050354003906;74240;1649629140.6944554
30;41.42256164550781;76800;1649629140.748695
31;41.32230758666992;79360;1649629140.8072839
32;41.34503173828125;81920;1649629140.859563
33;41.49708557128906;84480;1649629140.916459
34;41.13251495361328;87040;1649629140.9704294
35;41.34544372558594;89600;1649629141.0275078
36;41.308902740478516;92160;1649629141.0913062
37;41.43864440917969;94720;1649629141.15079
38;41.165809631347656;97280;1649629141.2044058
39;41.4272575378418;99840;1649629141.2617648
40;41.056846618652344;102400;1649629141.315019
41;41.049171447753906;104960;1649629141.3712945
42;41.081031799316406;107520;1649629141.4231668
43;41.09989547729492;110080;1649629141.4772332
44;40.67109680175781;112640;1649629141.5319412
45;41.038230895996094;115200;1649629141.5809247
46;40.73942565917969;117760;1649629141.6347883
47;40.504417419433594;120320;1649629141.6875615
48;40.22666931152344;122880;1649629141.744127
49;39.975135803222656;125440;1649629141.7964504
50;39.94071960449219;128000;1649629141.8508706
51;39.624141693115234;130560;1649629141.903916
52;39.34681701660156;133120;1649629141.9568088
53;39.44267272949219;135680;1649629142.0115473
54;39.21482849121094;138240;1649629142.070459
55;38.886131286621094;140800;1649629142.1264255
56;38.464962005615234;143360;1649629142.1766758
57;38.44093322753906;145920;1649629142.2267528
58;37.935646057128906;148480;1649629142.2817328
59;37.61568069458008;151040;1649629142.343445
60;37.879608154296875;153600;1649629142.4016862
61;37.98454284667969;156160;1649629142.4579132
62;37.52983093261719;158720;1649629142.5054333
63;37.35137176513672;161280;1649629142.5564904
64;37.13762664794922;163840;1649629142.6100607
65;37.59931182861328;166400;1649629142.6595674
66;37.20158004760742;168960;1649629142.7062063
67;36.848915100097656;171520;1649629142.755628
68;36.97550964355469;174080;1649629142.8084164
69;36.51569747924805;176640;1649629142.8609767
70;36.848270416259766;179200;1649629142.9165673
