;test/reward;Steps;Wall_Time
0;1.5937438011169434;0;1649691174.4228125
1;4.105752944946289;1026786;1649691792.4413543
2;4.35395622253418;2054744;1649692367.5959308
3;4.507721900939941;3080571;1649692943.8434372
4;4.530881404876709;4107749;1649693519.3039353
5;4.52463436126709;5136102;1649694092.520199
6;4.538243770599365;6160263;1649694665.8491538
7;4.586728096008301;7188237;1649695239.7906094
8;4.602128028869629;8216668;1649695893.8413317
9;4.594124794006348;9240911;1649696500.9151258
10;4.550943851470947;10266420;1649697073.2145722
11;4.666224956512451;11294078;1649697647.1195087
12;4.615496635437012;12318552;1649698218.4783292
13;4.649559497833252;13346788;1649698798.316499
14;4.69529390335083;14374068;1649699377.3201516
15;4.669956207275391;15400734;1649699951.3689907
16;4.648406028747559;16427760;1649700528.1006413
17;4.663071632385254;17453896;1649701105.457573
