;LR;Steps;Wall_Time
104;8.62757078721188e-05;5;1648151496.9545197
105;8.617222192697227e-05;5;1648151502.970576
106;8.609468932263553e-05;5;1648151507.4736621
107;8.593983511673287e-05;6;1648151555.7602677
108;8.573379454901442e-05;6;1648151567.1391404
109;8.550259371986613e-05;6;1648151580.70343
110;8.54000318213366e-05;6;1648151586.7441492
111;8.529760089004412e-05;6;1648151592.7503512
112;8.509310282533988e-05;6;1648151604.8061123
113;8.494004578096792e-05;6;1648151613.8301032
114;8.491456537740305e-05;6;1648151615.3347101
115;8.473640627926216e-05;6;1648151625.9656532
116;8.453325426671654e-05;6;1648151638.0034428
117;8.443185652140528e-05;6;1648151644.0159557
118;8.425470878137276e-05;6;1648151654.5388353
119;8.410316513618454e-05;6;1648151663.5792282
120;8.407793211517856e-05;6;1648151665.0808952
121;8.402749517699704e-05;6;1648151668.0795255
122;8.37757543195039e-05;6;1648151683.1550207
123;8.362506923731416e-05;6;1648151692.1693928
124;8.359998173546046e-05;6;1648151693.6728632
125;8.337453618878499e-05;7;1648151746.2200866
126;8.334952144650742e-05;7;1648151747.721121
127;8.332451398018748e-05;7;1648151749.1536999
128;8.314969454659149e-05;7;1648151759.4794424
129;8.29752316349186e-05;7;1648151769.9982677
130;8.270183025160804e-05;7;1648151786.4207585
131;8.257784793386236e-05;7;1648151793.9227946
132;8.245405479101464e-05;7;1648151801.4578207
133;8.228106162277982e-05;7;1648151811.990397
134;8.223169425036758e-05;7;1648151815.0060115
135;8.22070287540555e-05;7;1648151816.5255373
136;8.215771231334656e-05;7;1648151819.5469508
137;8.210842497646809e-05;7;1648151822.554111
138;8.193615212803707e-05;7;1648151833.0884326
139;8.188699575839564e-05;7;1648151836.080545
140;8.183786849258468e-05;7;1648151839.102746
141;8.142150181811303e-05;7;1648151864.6493857
142;8.127505134325475e-05;7;1648151873.7281704
143;8.091008203336969e-05;8;1648151934.9164135
144;8.088580943876877e-05;8;1648151936.3291242
145;8.083727880148217e-05;8;1648151939.3320606
146;8.08130280347541e-05;8;1648151940.8453705
147;8.074031939031556e-05;8;1648151945.4441307
148;8.04018709459342e-05;8;1648151966.4961944
149;8.02572540123947e-05;8;1648151975.5002508
150;8.020910900086164e-05;8;1648151978.5047886
151;8.008886652532965e-05;8;1648151986.0343559
