;LR;Steps;Wall_Time
0;9.99750045593828e-05;1;1648296102.4855638
1;9.996500739362091e-05;1;1648296103.755685
2;9.992502600653097e-05;1;1648296108.760602
3;9.992002742365003e-05;1;1648296109.3856366
4;9.989504906116053e-05;1;1648296112.5066874
5;9.98900577542372e-05;1;1648296113.1358485
6;9.988506644731387e-05;1;1648296113.7683141
7;9.9860095360782e-05;1;1648296116.8903565
8;9.985010547097772e-05;1;1648296118.1429462
9;9.981516632251441e-05;1;1648296122.5033154
10;9.980518370866776e-05;1;1648296123.7522135
11;9.979021706385538e-05;1;1648296125.6323414
12;9.97552924673073e-05;1;1648296130.0206635
13;9.974531712941825e-05;1;1648296131.2715223
14;9.974033309845254e-05;1;1648296131.8987145
15;9.972038242267445e-05;1;1648296134.4097667
16;9.967053483705968e-05;1;1648296140.7917428
17;9.965558274416253e-05;1;1648296142.6706276
18;9.9640637927223e-05;1;1648296144.5503423
19;9.961074829334393e-05;1;1648296148.3572643
20;9.959581075236201e-05;1;1648296150.2492573
21;9.957588918041438e-05;1;1648296152.7611997
22;9.955597488442436e-05;1;1648296155.2740216
23;9.953109110938385e-05;1;1648296158.456785
24;9.952611435437575e-05;1;1648296159.0933952
25;9.948133811121807e-05;2;1648296181.6935215
26;9.947139187715948e-05;2;1648296182.96158
27;9.946641512215137e-05;2;1648296183.5958962
28;9.94465226540342e-05;2;1648296186.1048303
29;9.93968133116141e-05;2;1648296192.4867206
30;9.936699643731117e-05;2;1648296196.2447715
31;9.933222463587299e-05;2;1648296201.1143203
32;9.932229295372963e-05;2;1648296202.630065
33;9.931236127158627e-05;2;1648296204.1344936
34;9.929249790729955e-05;2;1648296207.129439
35;9.927760402206331e-05;2;1648296209.361285
36;9.927264181897044e-05;2;1648296210.1030123
37;9.924782352754846e-05;2;1648296213.8201728
38;9.92230125120841e-05;2;1648296217.5551145
39;9.920317097567022e-05;2;1648296220.556379
40;9.919820877257735e-05;2;1648296221.3049593
41;9.916845738189295e-05;2;1648296225.7947993
42;9.914862312143669e-05;2;1648296228.7861454
43;9.912879613693804e-05;2;1648296231.7973254
44;9.906438208417967e-05;2;1648296241.5277183
45;9.905447222990915e-05;2;1648296243.006811
46;9.903466707328334e-05;2;1648296245.8628325
47;9.900001168716699e-05;3;1648296267.057452
48;9.899505676003173e-05;3;1648296267.6781075
49;9.899010910885409e-05;3;1648296268.2884643
50;9.895052062347531e-05;3;1648296273.2262576
51;9.894062532112002e-05;3;1648296274.4561205
52;9.893567766994238e-05;3;1648296275.074096
53;9.892578236758709e-05;3;1648296276.303943
54;9.891094669001177e-05;3;1648296278.1515687
55;9.89010586636141e-05;3;1648296279.376527
56;9.88911633612588e-05;3;1648296280.6006258
57;9.888127533486113e-05;3;1648296281.8471437
58;9.887138730846345e-05;3;1648296283.0818226
59;9.884667088044807e-05;3;1648296286.1703486
60;9.881208097795025e-05;3;1648296290.4676416
61;9.874787065200508e-05;3;1648296298.4992664
62;9.872319060377777e-05;3;1648296301.5775607
63;9.87083840300329e-05;3;1648296303.4492557
64;9.863437298918143e-05;3;1648296312.713745
65;9.860972204478458e-05;3;1648296315.8226585
66;9.85801380011253e-05;3;1648296319.542331
67;9.852593211689964e-05;3;1648296326.3845263
68;9.851608047029004e-05;3;1648296327.6311731
69;9.848653280641884e-05;4;1648296348.234901
70;9.847668115980923e-05;4;1648296349.486358
71;9.839301492320374e-05;4;1648296360.0214293
72;9.838317055255175e-05;4;1648296361.2573812
73;9.837825200520456e-05;4;1648296361.8809984
74;9.835365926846862e-05;4;1648296364.9995344
75;9.834874072112143e-05;4;1648296365.6268487
76;9.83241552603431e-05;4;1648296368.7302618
77;9.831432544160634e-05;4;1648296369.9715514
78;9.830941417021677e-05;4;1648296370.5920343
79;9.825044253375381e-05;4;1648296378.0532715
80;9.820132981985807e-05;4;1648296384.3145556
81;9.816696547204629e-05;4;1648296388.7116063
82;9.815714292926714e-05;4;1648296389.9655924
83;9.81473276624456e-05;4;1648296391.2020805
84;9.813751239562407e-05;4;1648296392.4438486
85;9.812770440476015e-05;4;1648296393.6904495
86;9.807864989852533e-05;4;1648296399.9473593
87;9.806393791222945e-05;4;1648296401.8349204
88;9.804432920645922e-05;4;1648296404.3453732
89;9.799531835597008e-05;5;1648296427.4737606
90;9.796592348720878e-05;5;1648296431.2500885
91;9.796101949177682e-05;5;1648296431.877869
92;9.795122605282813e-05;5;1648296433.134413
93;9.792184573598206e-05;5;1648296436.9078777
94;9.790225885808468e-05;5;1648296439.4356964
95;9.787778981262818e-05;5;1648296442.5631137
96;9.78435346041806e-05;5;1648296446.9391718
97;9.780929394764826e-05;5;1648296451.3304079
98;9.777506784303114e-05;5;1648296455.73061
99;9.775551734492183e-05;5;1648296458.2303038
100;9.774573845788836e-05;5;1648296459.4813712
101;9.770176257006824e-05;5;1648296465.2275746
102;9.768222662387416e-05;5;1648296467.730588
103;9.760410466697067e-05;5;1648296477.7687924
104;9.756995132192969e-05;5;1648296482.161611
105;9.755043720360845e-05;5;1648296484.6635678
106;9.753580525284633e-05;5;1648296486.544151
107;9.75065486272797e-05;6;1648296507.1398423
108;9.746755677042529e-05;6;1648296512.1344423
109;9.74237045738846e-05;6;1648296517.7481701
110;9.740421955939382e-05;6;1648296520.334724
111;9.738474182086065e-05;6;1648296522.8013265
112;9.734579361975193e-05;6;1648296527.7183435
113;9.731659520184621e-05;6;1648296531.38706
114;9.731172758620232e-05;6;1648296531.9998367
115;9.727767610456795e-05;6;1648296536.2813246
116;9.72387715592049e-05;6;1648296541.1822786
117;9.72193229245022e-05;6;1648296543.6599653
118;9.718530054669827e-05;6;1648296547.9782448
119;9.715614578453824e-05;6;1648296551.6572623
120;9.715129272080958e-05;6;1648296552.2673001
121;9.714157931739464e-05;6;1648296553.4810426
122;9.709301957627758e-05;6;1648296559.6121778
123;9.706389391794801e-05;6;1648296563.2833529
124;9.705904085421935e-05;6;1648296563.8881006
125;9.701537055661902e-05;7;1648296585.9892035
126;9.701051749289036e-05;7;1648296586.6097257
127;9.700567170511931e-05;7;1648296587.2265403
128;9.697172208689153e-05;7;1648296591.5311503
129;9.693778702057898e-05;7;1648296595.8191276
130;9.688448335509747e-05;7;1648296602.5560923
131;9.686026896815747e-05;7;1648296605.6246939
132;9.683605458121747e-05;7;1648296608.7266724
133;9.68021631706506e-05;7;1648296613.0606973
134;9.679248614702374e-05;7;1648296614.2939622
135;9.67876476352103e-05;7;1648296614.9072986
136;9.677797061158344e-05;7;1648296616.1278167
137;9.676829358795658e-05;7;1648296617.3538935
138;9.673442400526255e-05;7;1648296621.6788678
139;9.67247542575933e-05;7;1648296622.9117775
140;9.671508450992405e-05;7;1648296624.1368241
141;9.663290984462947e-05;7;1648296634.5825095
142;9.660392242949456e-05;7;1648296638.278933
143;9.653149027144536e-05;8;1648296664.1463487
144;9.652666631154716e-05;8;1648296664.756726
145;9.651701111579314e-05;8;1648296665.971086
146;9.651218715589494e-05;8;1648296666.5772848
147;9.649771527620032e-05;8;1648296668.4041638
148;9.643018711358309e-05;8;1648296677.015528
149;9.64012579061091e-05;8;1648296680.7359257
150;9.63916172622703e-05;8;1648296681.978665
151;9.636752656660974e-05;8;1648296685.0614047
152;9.630971908336505e-05;8;1648296692.518362
153;9.628564293961972e-05;8;1648296695.6230257
154;9.627601684769616e-05;8;1648296696.8564637
155;9.624713857192546e-05;8;1648296700.5581996
156;9.623270307201892e-05;8;1648296702.4193442
157;9.620864148018882e-05;8;1648296705.5087812
158;9.618459444027394e-05;8;1648296708.5918057
159;9.617016621632501e-05;8;1648296710.4465733
160;9.616535680834204e-05;8;1648296711.0643852
161;9.615093586035073e-05;8;1648296712.9325707
162;9.611248242435977e-05;8;1648296717.9027753
163;9.608365508029237e-05;8;1648296721.6520464
164;9.602601494407281e-05;9;1648296745.9133213
165;9.599721670383587e-05;9;1648296749.6223726
