;test/length;Steps;Wall_Time
0;20.0;0;1648957920.957519
1;20.0;256000;1648958045.2762296
2;20.0;512000;1648958169.4794588
3;20.0;768000;1648958292.8310556
4;20.0;1024000;1648958416.5364916
5;20.0;1280000;1648958543.122866
6;20.0;1536000;1648958666.8012407
7;20.0;1792000;1648958790.0901048
8;20.0;2048000;1648958913.319266
9;20.0;2304000;1648959037.1787922
10;20.0;2560000;1648959161.023369
11;20.0;2816000;1648959284.946069
12;20.0;3072000;1648959409.012238
13;20.0;3328000;1648959533.0519512
14;20.0;3584000;1648959656.9715865
15;20.0;3840000;1648959780.7889395
16;20.0;4096000;1648959904.711466
17;20.0;4352000;1648960028.6350794
18;20.0;4608000;1648960152.617168
19;20.0;4864000;1648960276.604279
20;20.0;5120000;1648960400.4548979
21;20.0;5376000;1648960524.3065906
22;20.0;5632000;1648960648.335598
23;20.0;5888000;1648960772.1726217
24;20.0;6144000;1648960895.9879448
25;20.0;6400000;1648961019.7933853
26;20.0;6656000;1648961143.700453
27;20.0;6912000;1648961267.157984
28;20.0;7168000;1648961390.5034919
29;20.0;7424000;1648961513.9176784
30;20.0;7680000;1648961637.293615
31;20.0;7936000;1648961760.8345904
32;20.0;8192000;1648961884.2009737
33;20.0;8448000;1648962007.7001286
34;20.0;8704000;1648962131.135185
35;20.0;8960000;1648962254.401713
36;20.0;9216000;1648962377.7471757
37;20.0;9472000;1648962501.2474325
38;20.0;9728000;1648962624.6154296
39;20.0;9984000;1648962747.8816168
40;20.0;10240000;1648962871.3154855
41;20.0;10496000;1648962994.6200864
42;20.0;10752000;1648963117.7826495
43;20.0;11008000;1648963240.7919116
44;20.0;11264000;1648963364.0850687
45;20.0;11520000;1648963487.353873
46;20.0;11776000;1648963610.4414778
47;20.0;12032000;1648963733.7235644
48;20.0;12288000;1648963856.9551692
49;20.0;12544000;1648963980.3093
50;20.0;12800000;1648964103.5204391
