;test/length;Steps;Wall_Time
0;20.0;0;1651158867.869616
1;20.0;1024000;1651160027.3415833
2;20.0;2048000;1651161336.2965715
3;20.0;3072000;1651162635.006713
4;20.0;4096000;1651163932.4364464
5;20.0;5120000;1651165229.8559375
6;20.0;6144000;1651166535.7796235
7;20.0;7168000;1651167835.1589806
8;20.0;8192000;1651169152.6477573
9;20.0;9216000;1651170454.200657
10;20.0;10240000;1651171750.6339567
11;20.0;11264000;1651173046.19932
12;20.0;12288000;1651174357.0202394
13;20.0;13312000;1651175661.573626
14;20.0;14336000;1651176952.6527512
15;20.0;15360000;1651178245.5279973
16;20.0;16384000;1651179532.464938
17;20.0;17408000;1651180824.9528985
18;20.0;18432000;1651182115.4336853
19;20.0;19456000;1651183402.4359584
20;20.0;20480000;1651184687.4339595
21;20.0;21504000;1651186587.4366686
22;20.0;22528000;1651188530.1539207
23;20.0;23552000;1651190440.7444344
24;20.0;24576000;1651192350.8882322
25;20.0;25600000;1651194261.628524
26;20.0;26624000;1651196171.0814457
27;20.0;27648000;1651198082.6159143
28;20.0;28672000;1651199991.03164
29;20.0;29696000;1651201902.479916
30;20.0;30720000;1651203814.624133
31;20.0;31744000;1651205725.0859575
32;20.0;32768000;1651207635.9559526
33;20.0;33792000;1651209548.2478864
34;20.0;34816000;1651211457.9809282
35;20.0;35840000;1651213371.1835032
36;20.0;36864000;1651215282.3356283
37;20.0;37888000;1651217192.4170187
38;20.0;38912000;1651219102.824073
39;20.0;39936000;1651220991.0954273
40;20.0;40960000;1651222284.5056624
41;20.0;41984000;1651223593.3296196
42;20.0;43008000;1651224887.6090615
43;20.0;44032000;1651226174.5859427
44;20.0;45056000;1651227465.0688205
45;20.0;46080000;1651228760.618159
46;20.0;47104000;1651230049.696054
47;20.0;48128000;1651231343.4240518
48;20.0;49152000;1651232653.788624
49;20.0;50176000;1651233962.9658513
50;20.0;51200000;1651235254.29032
