;test/length;Steps;Wall_Time
0;20.0;0;1648836525.9819171
1;20.0;256000;1648836618.646848
2;20.0;512000;1648836711.41013
3;20.0;768000;1648836803.7589464
4;20.0;1024000;1648836896.1897147
5;20.0;1280000;1648836988.8058736
6;20.0;1536000;1648837081.3143904
7;20.0;1792000;1648837173.8397775
8;20.0;2048000;1648837266.2765725
9;20.0;2304000;1648837358.7164435
10;20.0;2560000;1648837451.328942
11;20.0;2816000;1648837543.9103026
12;20.0;3072000;1648837636.3735714
13;20.0;3328000;1648837728.9201841
14;20.0;3584000;1648837821.2542884
15;20.0;3840000;1648837914.6778035
16;20.0;4096000;1648838008.6061132
17;20.0;4352000;1648838102.4034846
18;20.0;4608000;1648838196.2136385
19;20.0;4864000;1648838290.0631301
20;20.0;5120000;1648838383.9802318
21;20.0;5376000;1648838477.838655
22;20.0;5632000;1648838571.741225
23;20.0;5888000;1648838665.9371476
24;20.0;6144000;1648838759.9482727
25;20.0;6400000;1648838853.55564
26;20.0;6656000;1648838947.4867165
27;20.0;6912000;1648839041.5309176
28;20.0;7168000;1648839135.5466151
29;20.0;7424000;1648839229.5403423
30;20.0;7680000;1648839323.9703376
31;20.0;7936000;1648839418.0246875
32;20.0;8192000;1648839511.3041925
33;20.0;8448000;1648839605.0164928
34;20.0;8704000;1648839698.7772908
35;20.0;8960000;1648839793.2474868
36;20.0;9216000;1648839887.7883804
37;20.0;9472000;1648839981.974855
38;20.0;9728000;1648840075.7104256
39;20.0;9984000;1648840169.5752015
40;20.0;10240000;1648840263.571467
41;20.0;10496000;1648840357.5299044
42;20.0;10752000;1648840452.5384076
43;20.0;11008000;1648840547.4186168
44;20.0;11264000;1648840641.2296488
45;20.0;11520000;1648840734.8232577
46;20.0;11776000;1648840830.040301
47;20.0;12032000;1648840924.1279495
48;20.0;12288000;1648841018.1963274
49;20.0;12544000;1648841112.2849221
50;20.0;12800000;1648841206.23485
