;test/reward_std;Steps;Wall_Time
0;1.1615511178970337;0;1651110273.840687
1;1.2085992097854614;256000;1651110366.74677
2;1.1899605989456177;512000;1651110458.9035933
3;1.0883759260177612;768000;1651110551.3495843
4;0.9486168622970581;1024000;1651110643.6020622
5;0.8374611735343933;1280000;1651110736.0450451
6;0.7669919729232788;1536000;1651110828.7580838
7;0.6838330030441284;1792000;1651110921.6694324
8;0.6364200711250305;2048000;1651111014.6472902
9;0.6233859062194824;2304000;1651111107.232189
10;0.6129289865493774;2560000;1651111199.8945994
11;0.5961795449256897;2816000;1651111292.9251764
12;0.5605517625808716;3072000;1651111386.1342928
13;0.5591423511505127;3328000;1651111479.4989705
14;0.5529460310935974;3584000;1651111572.6351173
15;0.5615442991256714;3840000;1651111665.6845942
16;0.5167884230613708;4096000;1651111758.9148204
17;0.5546127557754517;4352000;1651111851.6670084
18;0.5283633470535278;4608000;1651111944.4500723
19;0.5086202025413513;4864000;1651112037.1083844
20;0.5136754512786865;5120000;1651112129.658967
21;0.5178586840629578;5376000;1651112221.8508823
22;0.5144940614700317;5632000;1651112314.0418282
23;0.5092790722846985;5888000;1651112406.338898
24;0.4853072166442871;6144000;1651112498.5659914
25;0.47176387906074524;6400000;1651112590.633261
26;0.46771836280822754;6656000;1651112682.9561737
27;0.4830297827720642;6912000;1651112775.1541963
28;0.4886351227760315;7168000;1651112867.650726
29;0.45646047592163086;7424000;1651112959.8022735
30;0.46469077467918396;7680000;1651113051.5705228
31;0.470485657453537;7936000;1651113143.3747637
32;0.48967093229293823;8192000;1651113236.025369
33;0.48963218927383423;8448000;1651113328.350031
34;0.46112316846847534;8704000;1651113420.6057587
35;0.48003533482551575;8960000;1651113512.8483028
36;0.4629082977771759;9216000;1651113605.123124
37;0.4562324285507202;9472000;1651113697.4448931
38;0.44949865341186523;9728000;1651113790.337775
39;0.4445124864578247;9984000;1651113883.2036333
40;0.4438871741294861;10240000;1651113976.1173272
41;0.46016955375671387;10496000;1651114069.0253124
42;0.4278371036052704;10752000;1651114161.736501
43;0.4256898760795593;11008000;1651114254.491701
44;0.422914981842041;11264000;1651114347.2221482
45;0.422833114862442;11520000;1651114439.8018599
46;0.4343832731246948;11776000;1651114532.433213
47;0.4255121946334839;12032000;1651114624.8466587
48;0.4191487729549408;12288000;1651114716.8917236
49;0.43228304386138916;12544000;1651114808.7808983
50;0.42341348528862;12800000;1651114900.8314233
