;update/loss/clip;Steps;Wall_Time
0;0.028999291360378265;999;1650823027.3758438
1;0.012033636681735516;1999;1650824412.506738
2;0.010632583871483803;2999;1650825799.3335357
3;0.007078342605382204;3999;1650827205.30047
4;0.003583628684282303;4999;1650828612.8002212
5;0.0033337173517793417;5999;1650830036.7983687
6;0.0020899216178804636;6999;1650831426.8214107
7;0.002165737096220255;7999;1650832813.363594
8;0.001806800253689289;8999;1650834196.5429232
9;0.0011974750086665154;9999;1650835598.6529303
10;0.0013410549145191908;10999;1650836980.0708215
11;0.0009216485777869821;11999;1650838421.9092045
12;0.0007393682026304305;12999;1650839806.0878215
13;0.0006068698130548;13999;1650841205.1994882
14;0.001497075892984867;14999;1650842612.8613422
15;0.0008796668262220919;15999;1650843993.3477685
16;0.001199322403408587;16999;1650845376.7824643
17;0.004315153695642948;17999;1650846757.7723482
18;0.0008979066042229533;18999;1650848140.5536196
19;0.00019868536037392914;19999;1650849527.5835152
20;0.0007630367763340473;20999;1650850931.750195
21;0.0009284974075853825;21999;1650852356.5992975
22;0.0004924741806462407;22999;1650853742.4490852
23;0.0008287522941827774;23999;1650855130.1433392
24;0.0011703138006851077;24999;1650856515.4649863
25;0.0007482729852199554;25999;1650857898.2921546
26;0.0006582854548469186;26999;1650859341.8426566
27;0.0008955377270467579;27999;1650860723.769185
28;0.0008337901090271771;28999;1650862106.8479698
29;0.0004913570592179894;29999;1650863542.9296424
