;update/loss/clip;Steps;Wall_Time
0;-0.005498494021594524;999;1649693548.526715
1;-0.004894409794360399;1999;1649696215.219296
2;-0.00320115452632308;2999;1649698830.1306345
3;-0.004719874821603298;3999;1649701490.9005423
