;actor_loss;Steps;Wall_Time
0;-394.0693359375;0;1649630621.598674
1;-357.1136474609375;2560;1649630621.6664093
2;-358.7464904785156;5120;1649630621.7359996
3;-347.3027648925781;7680;1649630621.823101
4;-337.9826965332031;10240;1649630621.883136
5;-318.1258544921875;12800;1649630621.9418662
6;-298.83880615234375;15360;1649630622.0045676
7;-289.31658935546875;17920;1649630622.0620785
8;-274.34136962890625;20480;1649630622.1252577
9;-259.613525390625;23040;1649630622.1824281
10;-254.68838500976562;25600;1649630622.244694
11;-245.1953887939453;28160;1649630622.3000693
12;-237.621337890625;30720;1649630622.358874
13;-251.856689453125;33280;1649630622.4200747
14;-245.88986206054688;35840;1649630622.4925926
15;-229.63690185546875;38400;1649630622.567911
16;-237.18878173828125;40960;1649630622.64037
17;-226.46804809570312;43520;1649630622.7099245
18;-221.8449249267578;46080;1649630622.7783995
19;-222.26882934570312;48640;1649630622.8426714
20;-222.82421875;51200;1649630622.9156368
21;-216.3848876953125;53760;1649630622.9904904
22;-207.39456176757812;56320;1649630623.0611482
23;-201.6208953857422;58880;1649630623.1264665
24;-207.26123046875;61440;1649630623.1964803
25;-206.92916870117188;64000;1649630623.2651045
26;-203.59979248046875;66560;1649630623.397957
27;-203.42874145507812;69120;1649630623.4667904
28;-189.09030151367188;71680;1649630623.5429118
29;-181.41656494140625;74240;1649630623.60704
30;-179.4497833251953;76800;1649630623.6728373
31;-166.6136932373047;79360;1649630623.7390704
32;-163.8448028564453;81920;1649630623.8098385
33;-158.6478729248047;84480;1649630623.8812747
34;-155.2421417236328;87040;1649630623.9540794
35;-161.12283325195312;89600;1649630624.0223243
36;-153.57443237304688;92160;1649630624.0931528
37;-162.39048767089844;94720;1649630624.1654
38;-162.55752563476562;97280;1649630624.2360961
39;-152.71432495117188;99840;1649630624.3059015
40;-160.40614318847656;102400;1649630624.3742151
41;-155.2622528076172;104960;1649630624.4429362
42;-155.77175903320312;107520;1649630624.5157428
43;-144.36517333984375;110080;1649630624.5839634
44;-151.14871215820312;112640;1649630624.6465962
45;-150.61270141601562;115200;1649630624.7113369
46;-154.0655517578125;117760;1649630624.779744
47;-158.80569458007812;120320;1649630624.849905
48;-150.5749053955078;122880;1649630624.9207883
49;-157.47348022460938;125440;1649630624.9910367
50;-150.2226104736328;128000;1649630625.060946
51;-154.7806396484375;130560;1649630625.1291926
52;-147.80694580078125;133120;1649630625.1956246
53;-155.72299194335938;135680;1649630625.2621062
54;-160.11007690429688;138240;1649630625.3277817
55;-163.36767578125;140800;1649630625.3981824
56;-154.52365112304688;143360;1649630625.475521
57;-142.20484924316406;145920;1649630625.5461373
58;-159.58328247070312;148480;1649630625.6190157
59;-145.42726135253906;151040;1649630625.6912022
60;-139.82083129882812;153600;1649630625.7606869
61;-140.9950408935547;156160;1649630625.8238044
62;-139.41717529296875;158720;1649630625.9080763
63;-128.04627990722656;161280;1649630625.9731684
64;-128.45315551757812;163840;1649630626.0286047
65;-127.98312377929688;166400;1649630626.0870874
66;-134.85879516601562;168960;1649630626.1570287
67;-130.02423095703125;171520;1649630626.2231884
68;-122.70624542236328;174080;1649630626.2830045
69;-126.9452896118164;176640;1649630626.3375387
70;-128.06924438476562;179200;1649630626.3958173
71;-126.52291870117188;181760;1649630626.4545786
72;-122.14273834228516;184320;1649630626.5094738
73;-119.2587890625;186880;1649630626.5666265
74;-115.98287963867188;189440;1649630626.6223097
75;-117.89863586425781;192000;1649630626.6797416
76;-114.80165100097656;194560;1649630626.7415824
77;-113.7196044921875;197120;1649630626.8042872
78;-110.44810485839844;199680;1649630626.8703113
79;-110.76889038085938;202240;1649630626.9274178
80;-107.945068359375;204800;1649630626.9817731
81;-107.6983642578125;207360;1649630627.0386224
82;-105.39620971679688;209920;1649630627.1053963
83;-104.01638793945312;212480;1649630627.1616502
84;-106.17897033691406;215040;1649630627.2169745
85;-103.56666564941406;217600;1649630627.2753012
86;-102.96712493896484;220160;1649630627.3331866
87;-103.48432922363281;222720;1649630627.3889656
88;-103.07715606689453;225280;1649630627.4485083
89;-106.7396011352539;227840;1649630627.5181599
90;-105.59844970703125;230400;1649630627.5864184
91;-104.56126403808594;232960;1649630627.6531348
92;-105.08496856689453;235520;1649630627.717757
93;-109.25662231445312;238080;1649630627.7896829
94;-106.50736236572266;240640;1649630627.8585694
95;-112.69100189208984;243200;1649630627.9240432
96;-110.26326751708984;245760;1649630627.990242
97;-106.745361328125;248320;1649630628.061963
98;-113.34698486328125;250880;1649630628.1311953
99;-110.48795318603516;253440;1649630628.1972363
100;-108.62077331542969;256000;1649630628.5887473
101;-109.198486328125;258560;1649630628.6705759
102;-104.86293029785156;261120;1649630628.7462764
103;-104.34658813476562;263680;1649630628.8221514
104;-103.33317565917969;266240;1649630628.8999527
105;-101.8207015991211;268800;1649630628.977601
106;-100.78038787841797;271360;1649630629.0522711
107;-97.38365173339844;273920;1649630629.1280015
108;-98.79122161865234;276480;1649630629.2098851
109;-96.26918029785156;279040;1649630629.2841482
110;-96.8800277709961;281600;1649630629.3488755
111;-97.68415069580078;284160;1649630629.4050436
112;-103.66860961914062;286720;1649630629.467476
113;-94.80162048339844;289280;1649630629.5347157
114;-96.55949401855469;291840;1649630629.600423
115;-96.87692260742188;294400;1649630629.6598809
116;-95.11874389648438;296960;1649630629.7150736
117;-94.73516845703125;299520;1649630629.7723565
118;-95.09536743164062;302080;1649630629.831027
119;-85.52853393554688;304640;1649630629.8854353
120;-90.81459045410156;307200;1649630629.941812
121;-92.80081176757812;309760;1649630629.9964094
122;-88.36128997802734;312320;1649630630.0528815
123;-92.55203247070312;314880;1649630630.1080122
124;-84.92274475097656;317440;1649630630.173305
