;test/length_std;Steps;Wall_Time
0;1.494336724281311;0;1649691174.42288
1;1.7248075008392334;1026786;1649691792.4414213
2;1.752434492111206;2054744;1649692367.5959947
3;1.7744340896606445;3080571;1649692943.8435037
4;1.773258090019226;4107749;1649693519.3040178
5;1.745404601097107;5136102;1649694092.5202746
6;1.7860133647918701;6160263;1649694665.84922
7;1.7685753107070923;7188237;1649695239.790676
8;1.8179792165756226;8216668;1649695893.8414063
9;1.8042376041412354;9240911;1649696500.9151924
10;1.7732598781585693;10266420;1649697073.2146394
11;1.7448925971984863;11294078;1649697647.1195757
12;1.7178927659988403;12318552;1649698218.4783957
13;1.7334845066070557;13346788;1649698798.316566
14;1.784015417098999;14374068;1649699377.3202186
15;1.74990975856781;15400734;1649699951.369058
16;1.74580717086792;16427760;1649700528.1007087
17;1.7540990114212036;17453896;1649701105.4576402
