;grad_norm;Steps;Wall_Time
0;25.098907470703125;20480;1649675933.337355
1;14.456233978271484;51200;1649675933.546098
2;12.555624008178711;71680;1649675933.6750772
3;6.560920715332031;153600;1649675934.173042
4;6.856173515319824;163840;1649675934.237313
5;4.871727466583252;215040;1649675934.5742664
6;4.907277584075928;225280;1649675934.6423235
7;4.429689884185791;235520;1649675934.7048817
8;3.449451446533203;286720;1649675935.0427587
9;3.1978824138641357;307200;1649675935.1798816
10;3.274975061416626;378880;1649675935.6586268
11;2.850464344024658;399360;1649675935.7846859
12;3.415989875793457;430080;1649675935.9808116
13;3.774024724960327;501760;1649675936.4207122
14;3.5124337673187256;522240;1649675936.545753
15;3.9768519401550293;532480;1649675936.6044948
16;3.783012628555298;573440;1649675936.8500524
17;4.1557722091674805;675840;1649675937.4636858
18;3.1050305366516113;686080;1649675937.5227113
19;3.0193517208099365;706560;1649675937.6472921
20;2.798508644104004;737280;1649675937.827803
21;3.8782460689544678;798720;1649675938.1986144
22;5.2060866355896;829440;1649675938.385445
23;3.0140602588653564;839680;1649675938.45709
24;4.21574068069458;870400;1649675938.675815
25;3.207796335220337;911360;1649675938.977891
26;3.9960079193115234;962560;1649675939.3438702
27;2.962000608444214;972800;1649675939.4145741
28;3.6314830780029297;983040;1649675939.4799473
29;3.4725449085235596;1013760;1649675939.6833045
30;3.1510531902313232;1064960;1649675942.6937497
31;3.105097770690918;1085440;1649675942.8293455
32;3.8105950355529785;1095680;1649675942.8994071
33;3.7202417850494385;1136640;1649675943.1569798
34;4.231990814208984;1187840;1649675943.4761057
35;3.385643243789673;1208320;1649675943.608828
36;2.9870660305023193;1239040;1649675943.8084967
37;3.1113452911376953;1249280;1649675943.873055
38;4.288362979888916;1300480;1649675944.186949
39;2.6658027172088623;1341440;1649675944.443942
40;4.013450622558594;1372160;1649675944.6311123
41;3.6938395500183105;1392640;1649675944.7623754
42;4.555694103240967;1413120;1649675944.8839583
43;3.0658977031707764;1454080;1649675945.150997
44;3.329131841659546;1484800;1649675945.3471062
45;3.350219964981079;1495040;1649675945.4114888
46;3.0685980319976807;1525760;1649675945.6146767
47;3.2544498443603516;1546240;1649675945.755528
48;2.587449550628662;1597440;1649675946.0827682
49;4.198370933532715;1638400;1649675946.3410606
50;3.2982516288757324;1648640;1649675946.3991203
51;3.1507866382598877;1689600;1649675946.6716447
52;2.647172451019287;1710080;1649675946.8035603
53;2.7886712551116943;1751040;1649675947.0617661
54;3.1538474559783936;1792000;1649675947.3336596
55;2.8142056465148926;1925120;1649675948.178968
56;2.9545562267303467;1945600;1649675948.3072615
57;3.1883444786071777;1986560;1649675948.5687273
58;3.2692315578460693;2027520;1649675948.8423414
59;3.480635404586792;2058240;1649675951.6969204
60;3.378537654876709;2068480;1649675951.7701693
61;2.5211899280548096;2078720;1649675951.84441
62;2.8765602111816406;2099200;1649675951.9974852
63;3.3040525913238525;2109440;1649675952.0769098
64;3.45841383934021;2160640;1649675952.4436996
65;3.0246264934539795;2170880;1649675952.517291
66;2.679633378982544;2181120;1649675952.5937228
67;2.7795257568359375;2191360;1649675952.665529
68;3.343756914138794;2211840;1649675952.8064048
69;4.443962574005127;2242560;1649675952.9770715
70;2.9170355796813965;2252800;1649675953.023771
71;2.5360870361328125;2263040;1649675953.0703402
72;2.4781622886657715;2283520;1649675953.1631596
73;3.5730199813842773;2304000;1649675953.2559261
74;4.203106880187988;2324480;1649675953.3517144
75;3.204249143600464;2344960;1649675953.4446747
76;3.3528048992156982;2375680;1649675953.58564
77;2.4166481494903564;2406400;1649675953.7242506
78;3.72426700592041;2447360;1649675953.906122
79;2.4554738998413086;2560000;1649675954.413297
80;2.277275800704956;2580480;1649675954.508857
81;2.768991231918335;2611200;1649675954.6767786
82;2.698845624923706;2631680;1649675954.8130538
83;2.726085662841797;2662400;1649675955.0235958
84;3.3631651401519775;2775040;1649675955.8107896
85;2.417633295059204;2816000;1649675956.0918603
86;2.3891286849975586;2836480;1649675956.2326066
87;3.0719552040100098;2867200;1649675956.4455307
88;2.519474506378174;2877440;1649675956.5169046
89;4.167022228240967;2908160;1649675956.7294111
90;1.994532823562622;2928640;1649675956.870795
91;2.5539164543151855;3041280;1649675957.6142125
92;3.5630276203155518;3061760;1649675957.7528005
93;2.0373599529266357;3082240;1649675960.6173804
94;2.996890068054199;3092480;1649675960.6877654
95;3.7887887954711914;3123200;1649675960.899054
96;2.1414802074432373;3143680;1649675961.0276668
97;2.186211109161377;3205120;1649675961.4146054
98;2.4798905849456787;3307520;1649675962.0763738
99;2.5955302715301514;3317760;1649675962.1389022
100;4.211206912994385;3328000;1649675962.1984272
101;2.6877198219299316;3338240;1649675962.2596307
102;2.4813480377197266;3348480;1649675962.3255827
103;2.5505223274230957;3358720;1649675962.394374
104;2.1934258937835693;3399680;1649675962.6608589
105;2.680520534515381;3409920;1649675962.726896
106;3.317946195602417;3461120;1649675963.0689647
107;2.04559326171875;3481600;1649675963.2100148
108;2.118056297302246;3491840;1649675963.276288
109;2.481846809387207;3502080;1649675963.3454099
110;1.73119056224823;3512320;1649675963.411349
111;2.65692138671875;3604480;1649675964.0207868
112;2.506532669067383;3614720;1649675964.0826118
113;3.147365093231201;3645440;1649675964.2807922
114;2.681767463684082;3717120;1649675964.7383888
115;1.797808289527893;3788800;1649675965.1975045
116;2.7657971382141113;3809280;1649675965.3363373
117;3.2039575576782227;3829760;1649675965.474265
118;2.4191808700561523;3850240;1649675965.6096675
119;2.5782172679901123;3870720;1649675965.7447596
120;3.116966724395752;3901440;1649675965.935006
121;2.1854493618011475;3911680;1649675965.9972432
122;3.14972186088562;3973120;1649675966.4100168
123;2.259697437286377;4003840;1649675966.611802
124;2.2703022956848145;4044800;1649675966.8640041
125;2.7224979400634766;4075520;1649675967.0709176
126;2.63577938079834;4136960;1649675970.1766489
127;2.850405693054199;4147200;1649675970.2494903
128;3.8017971515655518;4208640;1649675970.6721492
129;2.3013393878936768;4218880;1649675970.7443273
130;1.8318686485290527;4229120;1649675970.8132813
131;2.850696086883545;4239360;1649675970.884745
132;2.6441004276275635;4290560;1649675971.2386637
133;1.7445265054702759;4300800;1649675971.3086805
134;2.3002171516418457;4341760;1649675971.6128757
135;1.688236117362976;4392960;1649675971.9634283
136;3.2503960132598877;4464640;1649675972.460297
137;2.7344396114349365;4526080;1649675972.8937776
138;1.9189748764038086;4536320;1649675972.9655306
139;2.4618258476257324;4546560;1649675973.0337844
140;3.646674394607544;4567040;1649675973.1771193
141;1.7845321893692017;4608000;1649675973.4649808
142;2.5268702507019043;4648960;1649675973.7489214
143;2.6820342540740967;4669440;1649675973.8861918
144;2.060565233230591;4761600;1649675974.4860475
145;2.0891642570495605;4802560;1649675974.779906
146;1.679093837738037;4874240;1649675975.2770875
147;2.0365052223205566;4966400;1649675975.910197
148;2.774564743041992;5038080;1649675976.3755271
149;2.4454071521759033;5079040;1649675976.657459
150;1.9894628524780273;5109760;1649675976.8454778
151;2.3977551460266113;5160960;1649675979.6597922
152;2.3452858924865723;5171200;1649675979.7280138
153;2.4643566608428955;5191680;1649675979.8557982
154;2.6270196437835693;5232640;1649675980.1782637
155;1.7175043821334839;5253120;1649675980.3284097
156;2.1173083782196045;5324800;1649675980.8752913
