;update/loss/vf;Steps;Wall_Time
0;0.3945602774620056;999;1649693548.5267556
1;0.3387703597545624;1999;1649696215.2193203
2;0.310580313205719;2999;1649698830.1306744
3;0.29526588320732117;3999;1649701490.9005902
