;test/reward;Steps;Wall_Time
0;-10.453344345092773;0;1651188088.6403167
1;-9.506394386291504;64000;1651188385.5313137
2;-9.301377296447754;128000;1651188682.6898484
3;-9.630168914794922;192000;1651188979.0053775
4;-10.37437629699707;256000;1651189271.2052991
5;-10.524750709533691;320000;1651189567.82849
6;-10.527753829956055;384000;1651189861.9556231
7;-10.451827049255371;448000;1651190160.1403098
8;-10.093095779418945;512000;1651190452.8000813
9;-10.183794021606445;576000;1651190749.287509
10;-9.897643089294434;640000;1651191041.8066158
11;-9.83870792388916;704000;1651191340.8333273
12;-9.55005168914795;768000;1651191633.9338062
13;-9.625838279724121;832000;1651191926.6346672
14;-9.267766952514648;896000;1651192219.2993004
15;-9.50493049621582;960000;1651192513.9509292
16;-9.543039321899414;1024000;1651192808.9390194
17;-9.479673385620117;1088000;1651193102.3034904
18;-9.496451377868652;1152000;1651193403.0163038
19;-9.536117553710938;1216000;1651193702.4624069
20;-9.087996482849121;1280000;1651194001.875887
21;-9.5247802734375;1344000;1651194293.0239718
22;-9.203678131103516;1408000;1651194587.0626345
23;-9.377992630004883;1472000;1651194882.9720466
24;-9.524188041687012;1536000;1651195181.771804
25;-9.691789627075195;1600000;1651195476.1700883
26;-9.47302532196045;1664000;1651195769.3414469
27;-9.354933738708496;1728000;1651196066.0873156
28;-9.510360717773438;1792000;1651196360.0312748
29;-9.50529956817627;1856000;1651196658.418803
30;-9.003008842468262;1920000;1651196950.65579
31;-9.006071090698242;1984000;1651197246.6459599
32;-9.205577850341797;2048000;1651197540.196481
33;-9.497347831726074;2112000;1651197838.0444045
34;-9.423774719238281;2176000;1651198132.7831683
35;-9.1079683303833;2240000;1651198425.5087237
36;-8.663874626159668;2304000;1651198721.548804
37;-9.1851224899292;2368000;1651199017.3405364
38;-8.880887031555176;2432000;1651199315.569249
39;-9.052580833435059;2496000;1651199608.0348818
40;-9.123353958129883;2560000;1651199904.2598288
41;-8.787671089172363;2624000;1651200197.725674
42;-9.177101135253906;2688000;1651200497.2324464
43;-8.716927528381348;2752000;1651200791.5524185
44;-8.867016792297363;2816000;1651201085.7499983
45;-8.857593536376953;2880000;1651201380.442913
46;-8.981626510620117;2944000;1651201675.1920176
47;-9.242447853088379;3008000;1651201972.8964012
48;-8.786161422729492;3072000;1651202265.302208
49;-9.073978424072266;3136000;1651202561.554827
50;-9.088337898254395;3200000;1651202855.359027
51;-8.402382850646973;3264000;1651203154.2360904
52;-8.440351486206055;3328000;1651203446.361862
53;-8.821824073791504;3392000;1651203741.2717154
54;-8.577009201049805;3456000;1651204034.148743
55;-8.834497451782227;3520000;1651204331.888098
56;-8.809520721435547;3584000;1651204627.0006466
57;-8.523977279663086;3648000;1651204918.4643357
58;-9.021353721618652;3712000;1651205214.7404711
59;-8.177291870117188;3776000;1651205508.8018506
60;-8.474832534790039;3840000;1651205805.0561795
61;-8.527702331542969;3904000;1651206096.9726799
62;-8.49346923828125;3968000;1651206393.0598009
63;-8.154633522033691;4032000;1651206685.8616703
64;-8.340765953063965;4096000;1651206983.9925013
65;-8.7630615234375;4160000;1651207276.7100756
66;-8.738913536071777;4224000;1651207572.8008888
67;-9.586333274841309;4288000;1651207867.3010983
68;-7.921045780181885;4352000;1651208161.4046695
69;-8.528115272521973;4416000;1651208455.9960742
70;-8.682352066040039;4480000;1651208747.9104505
71;-7.762908458709717;4544000;1651209044.3512547
72;-8.361563682556152;4608000;1651209337.7628305
73;-7.836633205413818;4672000;1651209636.7814648
74;-8.175422668457031;4736000;1651209929.0130472
75;-7.930428981781006;4800000;1651210224.5884392
76;-7.877893924713135;4864000;1651210517.8414357
77;-8.070752143859863;4928000;1651210815.0904727
78;-8.195952415466309;4992000;1651211110.0073583
79;-7.675654411315918;5056000;1651211402.9493747
80;-7.875310897827148;5120000;1651211698.4004757
81;-8.119376182556152;5184000;1651211992.3691232
82;-8.201231002807617;5248000;1651212290.6605895
83;-7.802906513214111;5312000;1651212584.1872427
84;-8.142505645751953;5376000;1651212880.2020226
85;-8.067127227783203;5440000;1651213172.861577
86;-7.929464817047119;5504000;1651213471.3598874
87;-7.6032633781433105;5568000;1651213764.184088
88;-7.461250305175781;5632000;1651214057.3568802
89;-8.092164993286133;5696000;1651214352.0056071
90;-7.383885860443115;5760000;1651214648.4477708
91;-7.473738670349121;5824000;1651214949.8160274
92;-7.909631729125977;5888000;1651215245.1781008
93;-7.7609124183654785;5952000;1651215541.4741032
94;-7.312858581542969;6016000;1651215834.0443435
95;-7.635447978973389;6080000;1651216133.8217237
96;-7.96215295791626;6144000;1651216425.5221379
97;-7.368098735809326;6208000;1651216719.7262783
98;-7.560704708099365;6272000;1651216947.3874588
99;-7.399426460266113;6336000;1651217131.0479383
100;-7.489345550537109;6400000;1651217317.2728956
101;-7.426509380340576;6464000;1651217500.3132758
102;-7.3111042976379395;6528000;1651217686.7357218
103;-7.444794654846191;6592000;1651217869.2282226
104;-6.860708713531494;6656000;1651218055.7376583
105;-7.541211128234863;6720000;1651218238.3502157
106;-7.259332180023193;6784000;1651218424.7184403
107;-7.0416059494018555;6848000;1651218607.2418528
108;-7.353845119476318;6912000;1651218792.034109
109;-6.9425950050354;6976000;1651218976.7745397
110;-7.236255168914795;7040000;1651219159.4075837
111;-6.990061283111572;7104000;1651219344.9289498
112;-7.440191268920898;7168000;1651219527.004557
