;grad_norm_clipped;Steps;Wall_Time
0;1.0;51200;1649678309.2329705
1;1.0;71680;1649678309.3570752
2;1.0;153600;1649678309.9110904
3;1.0;163840;1649678309.9802234
4;1.0;215040;1649678310.3103907
5;1.0;225280;1649678310.3795862
6;1.0;235520;1649678310.4386954
7;1.0;286720;1649678310.765725
8;1.0;307200;1649678310.8943055
9;1.0;378880;1649678311.3763185
10;1.0;399360;1649678311.5083125
11;1.0;430080;1649678311.7052495
12;1.0;501760;1649678312.1692114
13;1.0;522240;1649678312.3095293
14;1.0;532480;1649678312.3802085
15;1.0;573440;1649678312.6617055
16;1.0;675840;1649678313.336922
17;1.0;706560;1649678313.550174
18;1.0;737280;1649678313.7555869
19;1.0;798720;1649678314.1929696
20;1.0;829440;1649678314.4079452
21;1.0;870400;1649678314.6903782
22;1.0;911360;1649678314.9723265
23;1.0;962560;1649678315.3229694
24;1.0;972800;1649678315.3880646
25;1.0;1064960;1649678318.6910625
26;1.0;1085440;1649678318.8277721
27;1.0;1095680;1649678318.8865442
28;1.0;1136640;1649678319.142065
29;1.0;1239040;1649678319.6546526
30;1.0;1300480;1649678319.9389741
31;1.0;1372160;1649678320.2686713
32;1.0;1392640;1649678320.364961
33;1.0;1413120;1649678320.457724
34;1.0;1454080;1649678320.6449716
35;1.0;1484800;1649678320.7841167
36;1.0;1495040;1649678320.8309999
37;1.0;1546240;1649678321.0630803
38;1.0;1597440;1649678321.295845
39;1.0;1638400;1649678321.4898958
40;1.0;1648640;1649678321.5389292
41;1.0;1710080;1649678321.8212113
42;1.0;1751040;1649678322.008272
43;1.0;1792000;1649678322.195369
44;1.0;1925120;1649678322.810672
45;1.0;1945600;1649678322.9045486
46;1.0;1986560;1649678323.0922303
47;1.0;2058240;1649678326.091883
48;1.0;2068480;1649678326.1438763
49;1.0;2078720;1649678326.1954343
50;1.0;2160640;1649678326.5806503
51;1.0;2181120;1649678326.6743565
52;1.0;2191360;1649678326.721669
53;1.0;2211840;1649678326.8155832
54;1.0;2242560;1649678326.956406
55;1.0;2263040;1649678327.0504448
56;1.0;2283520;1649678327.144645
57;1.0;2304000;1649678327.238342
58;1.0;2324480;1649678327.3393955
59;1.0;2375680;1649678327.5768409
60;1.0;2447360;1649678327.9168503
61;1.0;2580480;1649678328.5305178
62;1.0;2631680;1649678328.8041441
63;1.0;2662400;1649678328.9459982
64;1.0;2816000;1649678329.9542491
65;1.0;2867200;1649678330.3012245
66;1.0;2928640;1649678330.7253785
67;1.0;3041280;1649678331.5025585
68;1.0;3061760;1649678331.6444778
69;1.0;3123200;1649678334.7506156
70;1.0;3143680;1649678334.8787425
71;1.0;3317760;1649678336.07048
72;1.0;3338240;1649678336.205048
73;1.0;3348480;1649678336.2670977
74;1.0;3399680;1649678336.6116064
75;1.0;3409920;1649678336.6837466
76;1.0;3461120;1649678337.0252738
77;1.0;3481600;1649678337.169386
78;1.0;3491840;1649678337.2405899
79;1.0;3614720;1649678338.0464916
80;1.0;3717120;1649678338.6933765
81;1.0;3788800;1649678339.1561847
82;1.0;3809280;1649678339.2827637
83;1.0;3829760;1649678339.3966374
84;1.0;3850240;1649678339.5220478
85;1.0;3870720;1649678339.6488101
86;1.0;3973120;1649678340.2921855
87;1.0;4003840;1649678340.497784
88;1.0;4044800;1649678340.7410297
89;1.0;4147200;1649678344.020596
90;1.0;4208640;1649678344.373774
91;1.0;4218880;1649678344.4297462
92;1.0;4239360;1649678344.5446963
93;1.0;4300800;1649678344.9125636
94;1.0;4341760;1649678345.1797295
95;1.0;4392960;1649678345.473093
96;1.0;4464640;1649678345.9104578
97;1.0;4536320;1649678346.3305147
98;1.0;4608000;1649678346.774086
99;1.0;4648960;1649678347.04252
100;1.0;4669440;1649678347.1689568
101;1.0;4761600;1649678347.7437816
102;1.0;4802560;1649678348.0201082
103;1.0;4966400;1649678349.0783188
104;1.0;5038080;1649678349.5714262
105;1.0;5079040;1649678349.8431807
106;1.0;5109760;1649678350.0343387
107;1.0;5171200;1649678353.15997
108;1.0;5253120;1649678353.6749816
109;1.0;5345280;1649678354.2131324
110;1.0;5386240;1649678354.464039
111;1.0;5427200;1649678354.7041264
112;1.0;5509120;1649678355.1889458
113;1.0;5570560;1649678355.5574982
114;1.0;5580800;1649678355.6168604
115;1.0;5652480;1649678356.1260386
116;1.0;5734400;1649678356.6975772
117;1.0;5775360;1649678356.9880228
118;1.0;5847040;1649678357.4821053
119;1.0;5908480;1649678357.9010704
120;1.0;5918720;1649678357.9692025
121;1.0;5939200;1649678358.1032548
122;1.0;6041600;1649678358.793363
123;1.0;6103040;1649678359.216007
124;1.0;6113280;1649678359.2844615
125;1.0;6205440;1649678362.3345122
126;1.0;6215680;1649678362.406843
127;1.0;6225920;1649678362.4636102
128;1.0;6297600;1649678362.9401898
129;1.0;6369280;1649678363.3898387
130;1.0;6481920;1649678364.1757212
131;1.0;6533120;1649678364.52907
132;1.0;6584320;1649678364.8734753
133;1.0;6656000;1649678365.3562748
134;1.0;6676480;1649678365.505442
135;1.0;6686720;1649678365.5800369
136;1.0;6707200;1649678365.72114
137;1.0;6727680;1649678365.8650737
138;1.0;6799360;1649678366.3293128
139;1.0;6819840;1649678366.465586
140;1.0;6840320;1649678366.6075215
