;update/loss;Steps;Wall_Time
0;0.10200939327478409;999;1649235833.2108247
1;0.0550600104033947;1999;1649237179.6974645
2;0.0680183544754982;2999;1649238528.0648284
3;0.037291042506694794;3999;1649239879.4451146
4;0.031151339411735535;4999;1649241223.205407
5;0.030373862013220787;5999;1649242566.3712196
6;0.030640464276075363;6999;1649243909.9924493
7;0.02829722873866558;7999;1649245252.0727305
8;0.028028788045048714;8999;1649246592.8940358
9;0.027819212526082993;9999;1649247933.8299055
10;0.026063211262226105;10999;1649249278.2148223
11;0.024829404428601265;11999;1649250626.5998569
12;0.023735905066132545;12999;1649251971.926356
13;0.022468730807304382;13999;1649253317.1858206
14;0.02554895728826523;14999;1649254662.107972
15;0.02280188724398613;15999;1649256007.2092988
16;0.022794129326939583;16999;1649257351.8143044
17;0.021651769056916237;17999;1649258693.7787912
18;0.02426374889910221;18999;1649260033.6579518
19;0.023877892643213272;19999;1649261384.676925
20;0.024269627407193184;20999;1649262734.342045
21;0.02305651269853115;21999;1649264082.2466407
22;0.022970160469412804;22999;1649265420.295087
23;0.02296900562942028;23999;1649266762.042786
24;0.021658364683389664;24999;1649268108.41002
25;0.021181918680667877;25999;1649269458.1112664
26;0.019542599096894264;26999;1649270807.0948603
27;0.02270098403096199;27999;1649272149.0125577
28;0.020886192098259926;28999;1649273500.9005463
29;0.021130181849002838;29999;1649274856.3949802
