;train/reward;Steps;Wall_Time
0;-7.327984809875488;2560;1650902630.7004657
1;-6.285874843597412;5120;1650902631.6513064
2;-9.159003257751465;7680;1650902632.574
3;-9.209314346313477;10240;1650902633.4926066
4;-7.749184608459473;12800;1650902634.4203305
5;-7.880395412445068;15360;1650902635.337252
6;-6.9813385009765625;17920;1650902636.2604759
7;-7.709986686706543;20480;1650902637.175416
8;-9.081815719604492;23040;1650902638.0995119
9;-7.591909885406494;25600;1650902639.0201807
10;-7.478691101074219;28160;1650902639.955443
11;-8.10242748260498;30720;1650902640.8927016
12;-6.8616623878479;33280;1650902641.8245027
13;-6.367928981781006;35840;1650902642.7607365
14;-6.866404056549072;38400;1650902643.6693995
15;-9.05927848815918;40960;1650902644.6038527
16;-9.805898666381836;43520;1650902645.5329914
17;-9.657450675964355;46080;1650902646.4598815
18;-7.683040142059326;48640;1650902647.3788319
19;-5.939022064208984;51200;1650902648.3246725
20;-5.7712297439575195;53760;1650902649.2689357
21;-7.759703636169434;56320;1650902650.224631
22;-8.325754165649414;58880;1650902651.1640725
23;-8.546368598937988;61440;1650902652.098117
24;-7.884348392486572;64000;1650902653.0426862
25;-6.6670708656311035;66560;1650902653.9798162
26;-7.987071514129639;69120;1650902654.9025445
27;-9.138199806213379;71680;1650902655.8307528
28;-9.271048545837402;74240;1650902656.7436998
29;-7.606685161590576;76800;1650902657.6760669
30;-11.456426620483398;79360;1650902658.6119027
31;-11.367835998535156;81920;1650902659.5313282
32;-11.030895233154297;84480;1650902660.4747527
33;-10.50037670135498;87040;1650902661.393326
34;-9.257091522216797;89600;1650902662.3183773
35;-7.607428073883057;92160;1650902663.245248
36;-6.540282726287842;94720;1650902664.1714818
37;-6.931690692901611;97280;1650902665.1142514
38;-8.578635215759277;99840;1650902666.0555034
39;-8.164605140686035;102400;1650902666.974785
40;-8.504231452941895;104960;1650902667.8931594
41;-10.091656684875488;107520;1650902668.822259
42;-10.272403717041016;110080;1650902669.7454736
43;-7.743115425109863;112640;1650902670.6877122
44;-6.729640007019043;115200;1650902671.6087067
45;-6.6374897956848145;117760;1650902672.5282927
46;-7.333559513092041;120320;1650902673.4437716
47;-7.962379455566406;122880;1650902674.3712082
48;-7.474274158477783;125440;1650902675.3072677
49;-7.254595756530762;128000;1650902676.232866
50;-9.345242500305176;130560;1650902677.1608024
51;-9.946502685546875;133120;1650902678.0908613
52;-10.529654502868652;135680;1650902679.0191026
53;-10.282488822937012;138240;1650902679.9480348
54;-10.611552238464355;140800;1650902680.8885849
55;-9.996588706970215;143360;1650902681.8115215
56;-10.612248420715332;145920;1650902682.7262697
57;-9.944953918457031;148480;1650902683.639497
58;-9.513679504394531;151040;1650902684.5498624
59;-8.529916763305664;153600;1650902685.465994
60;-8.741816520690918;156160;1650902686.3970199
61;-9.271660804748535;158720;1650902687.3218677
62;-9.391364097595215;161280;1650902688.258538
63;-8.639936447143555;163840;1650902689.1942532
64;-8.559093475341797;166400;1650902690.1363342
65;-8.992912292480469;168960;1650902691.072837
66;-8.714933395385742;171520;1650902692.0125165
67;-7.525031566619873;174080;1650902692.9513803
68;-7.458294868469238;176640;1650902693.8970313
69;-7.344136714935303;179200;1650902694.832376
70;-8.411033630371094;181760;1650902695.7729063
71;-10.188825607299805;184320;1650902696.7009823
72;-9.261089324951172;186880;1650902697.614337
73;-9.615217208862305;189440;1650902698.531967
74;-8.243453979492188;192000;1650902699.4506967
75;-6.873786449432373;194560;1650902700.3756073
76;-7.754366397857666;197120;1650902701.3110626
77;-7.5681586265563965;199680;1650902702.2536156
