;train/reward;Steps;Wall_Time
0;-10.336181640625;2560;1651376890.5988727
1;-10.539860725402832;5120;1651376891.9521024
2;-10.570412635803223;7680;1651376893.2570846
3;-10.51550579071045;10240;1651376894.5963724
4;-10.54440975189209;12800;1651376895.9589393
5;-10.272344589233398;15360;1651376897.273319
6;-10.52689266204834;17920;1651376898.5923507
7;-10.129006385803223;20480;1651376899.9121122
8;-10.163259506225586;23040;1651376901.2157536
9;-10.11545467376709;25600;1651376902.5325065
10;-10.034015655517578;28160;1651376903.8618438
11;-9.951305389404297;30720;1651376905.1739936
12;-9.745244979858398;33280;1651376906.4796696
13;-9.688812255859375;35840;1651376907.779227
14;-9.475221633911133;38400;1651376909.1072974
15;-9.26579761505127;40960;1651376910.527113
16;-9.148484230041504;43520;1651376911.845141
17;-9.118653297424316;46080;1651376913.1490865
18;-9.032695770263672;48640;1651376914.46565
19;-9.044910430908203;51200;1651376915.774878
20;-8.573161125183105;53760;1651376917.091012
21;-8.483498573303223;56320;1651376918.404759
22;-8.309263229370117;58880;1651376919.7131808
23;-8.179181098937988;61440;1651376921.0231507
24;-7.938492774963379;64000;1651376922.3297534
25;-7.904181003570557;66560;1651376923.6321666
26;-7.694948673248291;69120;1651376924.9313517
27;-7.550535678863525;71680;1651376926.2662005
28;-7.273956298828125;74240;1651376927.56906
29;-7.332014083862305;76800;1651376928.8651838
30;-7.207751274108887;79360;1651376930.165774
31;-7.249387741088867;81920;1651376931.5369563
32;-7.046562671661377;84480;1651376932.8513336
33;-6.9483962059021;87040;1651376934.1602104
34;-6.8852458000183105;89600;1651376935.467531
35;-6.757572174072266;92160;1651376936.7813444
36;-6.658866882324219;94720;1651376938.0932622
37;-6.632323265075684;97280;1651376939.409152
38;-6.558441638946533;99840;1651376940.714727
39;-6.46287202835083;102400;1651376942.0259128
40;-6.422540664672852;104960;1651376943.3755834
41;-6.175826549530029;107520;1651376944.6884599
42;-6.3343281745910645;110080;1651376946.0204659
43;-6.403931617736816;112640;1651376947.3657417
44;-6.348060131072998;115200;1651376948.6930468
45;-6.325432777404785;117760;1651376949.9997427
46;-6.200204372406006;120320;1651376951.3056223
47;-6.168374538421631;122880;1651376952.6876318
48;-6.199334144592285;125440;1651376954.0024304
49;-6.159523010253906;128000;1651376955.3130827
50;-6.2019758224487305;130560;1651376956.6353488
51;-6.210978984832764;133120;1651376957.9637809
52;-6.109726428985596;135680;1651376959.3040512
53;-6.133398532867432;138240;1651376960.667947
54;-6.142302513122559;140800;1651376961.9787648
55;-6.187344074249268;143360;1651376963.2993963
56;-6.198949337005615;145920;1651376964.6235583
57;-6.0970139503479;148480;1651376965.931498
58;-6.117180824279785;151040;1651376967.2510662
59;-6.143176078796387;153600;1651376968.577749
60;-6.054231643676758;156160;1651376969.9068778
61;-6.1708598136901855;158720;1651376971.243826
62;-6.095365524291992;161280;1651376972.5699828
