;update/loss/ent;Steps;Wall_Time
0;0.19493216276168823;999;1649106512.8541512
1;0.13545165956020355;1999;1649107850.1039941
2;0.1123388260602951;2999;1649109189.327504
3;0.11022338271141052;3999;1649110533.4107554
4;0.09969264268875122;4999;1649111867.7110584
5;0.09659980982542038;5999;1649113205.4109254
6;0.08824917674064636;6999;1649114548.1488285
7;0.08628286421298981;7999;1649115904.5467503
8;0.08522520214319229;8999;1649117256.794625
9;0.09171023219823837;9999;1649118609.5832443
10;0.08291886001825333;10999;1649119959.0489843
11;0.08427806943655014;11999;1649121310.8199115
12;0.08952318131923676;12999;1649122659.3208237
13;0.08690571784973145;13999;1649124006.7994688
14;0.09056589752435684;14999;1649125355.4163783
15;0.08969666808843613;15999;1649126704.1443412
16;0.09294325113296509;16999;1649128057.9303625
17;0.09557916969060898;17999;1649129414.396887
18;0.09509210288524628;18999;1649130774.6804256
19;0.09220566600561142;19999;1649132134.637573
20;0.09455215185880661;20999;1649133491.2929296
21;0.08822145313024521;21999;1649134839.62934
22;0.09752535820007324;22999;1649136190.7614946
23;0.09969630837440491;23999;1649137540.6181495
24;0.09751622378826141;24999;1649138889.612919
25;0.1018654927611351;25999;1649140240.4968154
26;0.09775350987911224;26999;1649141594.194885
27;0.09969523549079895;27999;1649142940.4640524
28;0.09699548780918121;28999;1649144295.1901593
29;0.09849574416875839;29999;1649145644.6552932
