;update/loss/clip;Steps;Wall_Time
0;6.337278366088867;999;1648152466.7538157
1;4.817183017730713;1999;1648154408.8437994
2;4.1130475997924805;2999;1648156353.3378813
3;3.4071807861328125;3999;1648158296.4831948
4;3.1858067512512207;4999;1648160238.3470483
5;4.97141170501709;5999;1648162181.7746298
6;2.994716167449951;6999;1648164124.6946876
7;4.652897357940674;7999;1648166073.4669456
8;2.718310594558716;8999;1648168025.179667
9;3.0903711318969727;9999;1648169979.844817
10;2.645935535430908;10999;1648171927.5407696
11;2.6834943294525146;11999;1648173898.4783013
12;2.5432655811309814;12999;1648175921.3702452
13;2.701054573059082;13999;1648177902.5550911
14;2.8953921794891357;14999;1648179846.9450452
15;2.8744876384735107;15999;1648181790.2672868
16;2.444179058074951;16999;1648183744.4427488
17;2.534079074859619;17999;1648185694.4790623
18;2.6799280643463135;18999;1648187651.465784
19;2.767854690551758;19999;1648189601.7779224
20;2.4979143142700195;20999;1648191553.9902475
21;2.6521530151367188;21999;1648193501.3766744
22;2.501917600631714;22999;1648195447.2740145
23;2.611832857131958;23999;1648197388.4168596
24;2.52162766456604;24999;1648199340.6394677
25;2.6377627849578857;25999;1648201315.3264847
26;2.5084760189056396;26999;1648203280.837433
27;2.5414910316467285;27999;1648205244.033595
28;2.6032309532165527;28999;1648207199.7453184
29;2.500744581222534;29999;1648209167.956292
30;2.5234735012054443;30999;1648211122.326587
31;2.5398051738739014;31999;1648213076.3426955
32;2.5166707038879395;32999;1648215031.2009869
33;2.565906524658203;33999;1648216985.113994
34;2.578768253326416;34999;1648218938.4616432
35;2.5078423023223877;35999;1648220892.921755
36;2.6440610885620117;36999;1648222847.514851
37;2.7281346321105957;37999;1648224807.6384022
38;2.542574405670166;38999;1648226762.6346304
39;2.6469578742980957;39999;1648228713.8727567
40;2.4717934131622314;40999;1648230663.5231352
41;2.608124256134033;41999;1648232618.108075
42;2.5304014682769775;42999;1648234577.1673968
43;2.5434417724609375;43999;1648236532.1262825
44;2.804492950439453;44999;1648238482.6959631
45;2.6723010540008545;45999;1648240434.9319808
46;2.6746790409088135;46999;1648242390.1669443
47;6.568347454071045;47999;1648244343.4084365
48;2.4565353393554688;48999;1648246292.0366194
49;3.06272029876709;49999;1648248032.2744727
