;Epsilon;Steps;Wall_Time
304;0.25;1;1648153788.7761664
305;0.25;1;1648153795.0641844
306;0.25;1;1648153805.530851
307;0.25;1;1648153807.623571
308;0.25;1;1648153832.8168387
309;0.25;1;1648153855.9156752
310;0.25;1;1648153872.6633375
311;0.25;1;1648153878.9419541
312;0.25;1;1648153881.0426078
313;0.1666666716337204;2;1648153951.8204753
314;0.1666666716337204;2;1648153958.0782075
315;0.1666666716337204;2;1648153972.7804823
316;0.1666666716337204;2;1648153979.079673
317;0.1666666716337204;2;1648153989.5883954
318;0.1666666716337204;2;1648153995.886545
319;0.1666666716337204;2;1648154008.4318163
320;0.1666666716337204;2;1648154012.62139
321;0.1666666716337204;2;1648154023.1016366
322;0.1666666716337204;2;1648154027.2971113
323;0.1666666716337204;2;1648154029.3870192
324;0.1666666716337204;2;1648154046.1325085
325;0.1666666716337204;2;1648154058.6772745
326;0.1666666716337204;2;1648154073.3006973
327;0.1666666716337204;2;1648154081.5233314
328;0.1666666716337204;2;1648154108.2034035
329;0.1666666716337204;2;1648154128.2698162
330;0.1666666716337204;2;1648154134.273394
331;0.1666666716337204;2;1648154136.3200586
332;0.1666666716337204;2;1648154146.4866974
333;0.1666666716337204;2;1648154148.533096
334;0.1666666716337204;2;1648154162.8848839
335;0.1666666716337204;2;1648154189.943985
336;0.1666666716337204;2;1648154196.2308087
337;0.1666666716337204;2;1648154202.535527
338;0.1666666716337204;2;1648154221.431033
339;0.1666666716337204;2;1648154265.4186416
340;0.1666666716337204;2;1648154298.9193788
341;0.1666666716337204;2;1648154315.6352339
342;0.1666666716337204;2;1648154332.4226415
343;0.1666666716337204;2;1648154420.582295
344;0.1666666716337204;2;1648154441.5576284
345;0.1666666716337204;2;1648154449.955818
346;0.1666666716337204;2;1648154454.1630213
347;0.1666666716337204;2;1648154462.5591917
348;0.1666666716337204;2;1648154485.658355
349;0.1666666716337204;2;1648154521.3584712
350;0.1666666716337204;2;1648154548.6660407
351;0.1666666716337204;2;1648154578.0217688
352;0.1666666716337204;2;1648154596.8924267
353;0.1666666716337204;2;1648154601.0989573
354;0.1666666716337204;2;1648154640.9793143
355;0.1666666716337204;2;1648154643.076032
356;0.1666666716337204;2;1648154647.2756698
357;0.1666666716337204;2;1648154666.1722488
358;0.1666666716337204;2;1648154712.3996596
359;0.1666666716337204;2;1648154748.0706513
360;0.1666666716337204;2;1648154758.537121
361;0.1666666716337204;2;1648154762.7297268
362;0.1666666716337204;2;1648154764.8293564
363;0.1666666716337204;2;1648154785.7921216
364;0.1666666716337204;2;1648154792.089272
365;0.1666666716337204;2;1648154796.284214
366;0.1666666716337204;2;1648154834.0894709
367;0.1666666716337204;2;1648154836.1949377
368;0.1666666716337204;2;1648154884.4646912
369;0.1666666716337204;2;1648154888.6700485
370;0.1666666716337204;2;1648154890.7650833
371;0.1666666716337204;2;1648154907.5454478
372;0.1666666716337204;2;1648154918.057106
373;0.1666666716337204;2;1648154924.3562999
374;0.1666666716337204;2;1648154930.6608355
375;0.1666666716337204;2;1648154939.0705976
376;0.1666666716337204;2;1648154941.1693358
377;0.1666666716337204;2;1648154947.473491
378;0.1666666716337204;2;1648154964.2812586
379;0.1666666716337204;2;1648154968.488316
380;0.1666666716337204;2;1648154976.8912084
381;0.1666666716337204;2;1648154985.284999
382;0.1666666716337204;2;1648154997.858684
383;0.1666666716337204;2;1648155018.8334043
384;0.1666666716337204;2;1648155023.041406
385;0.1666666716337204;2;1648155027.2484703
386;0.1666666716337204;2;1648155054.5263743
387;0.1666666716337204;2;1648155062.9137564
388;0.1666666716337204;2;1648155081.7745054
389;0.1666666716337204;2;1648155092.26324
390;0.1666666716337204;2;1648155096.4638617
391;0.1666666716337204;2;1648155111.1621997
392;0.1666666716337204;2;1648155127.9440413
393;0.1666666716337204;2;1648155140.5254908
394;0.1666666716337204;2;1648155153.096409
395;0.1666666716337204;2;1648155161.4736023
396;0.1666666716337204;2;1648155169.8548894
397;0.1666666716337204;2;1648155171.9489307
398;0.1666666716337204;2;1648155178.2336066
399;0.1666666716337204;2;1648155186.6253026
400;0.1666666716337204;2;1648155205.4935532
401;0.1666666716337204;2;1648155209.6877098
402;0.1666666716337204;2;1648155230.6454995
403;0.1666666716337204;2;1648155255.8156621
404;0.1666666716337204;2;1648155262.1019464
405;0.1666666716337204;2;1648155266.3026958
406;0.1666666716337204;2;1648155299.8452518
407;0.1666666716337204;2;1648155308.22331
408;0.1666666716337204;2;1648155373.2400315
409;0.1666666716337204;2;1648155402.6545258
410;0.1666666716337204;2;1648155406.8540566
411;0.1666666716337204;2;1648155413.1541893
412;0.1666666716337204;2;1648155419.4556515
413;0.1666666716337204;2;1648155444.6236467
414;0.1666666716337204;2;1648155448.8093476
415;0.1666666716337204;2;1648155461.3857977
416;0.1666666716337204;2;1648155517.9701376
417;0.1666666716337204;2;1648155530.5546656
418;0.1666666716337204;2;1648155541.046986
419;0.1666666716337204;2;1648155545.2409294
420;0.1666666716337204;2;1648155557.821102
421;0.1666666716337204;2;1648155603.8800898
422;0.1666666716337204;2;1648155622.7540946
423;0.1666666716337204;2;1648155624.8525138
424;0.1666666716337204;2;1648155647.8872828
425;0.1666666716337204;2;1648155649.9868834
426;0.1666666716337204;2;1648155654.1784906
427;0.1666666716337204;2;1648155691.9868069
428;0.1666666716337204;2;1648155721.3852968
429;0.1666666716337204;2;1648155723.4884572
430;0.1666666716337204;2;1648155731.8842466
431;0.1666666716337204;2;1648155746.6006455
432;0.1666666716337204;2;1648155748.7035737
433;0.1666666716337204;2;1648155752.912361
434;0.1666666716337204;2;1648155776.0348406
435;0.1666666716337204;2;1648155801.202037
436;0.1666666716337204;2;1648155809.602252
437;0.1666666716337204;2;1648155824.3134625
438;0.1666666716337204;2;1648155855.8251843
439;0.1666666716337204;2;1648155881.0469098
440;0.1666666716337204;2;1648155904.1605418
441;0.1666666716337204;2;1648155906.261797
442;0.1666666716337204;2;1648155908.3648121
443;0.1666666716337204;2;1648155910.464541
444;0.1666666716337204;2;1648155948.2005587
445;0.1666666716337204;2;1648155956.5673926
446;0.1666666716337204;2;1648155990.1585476
447;0.1666666716337204;2;1648156023.6977441
448;0.1666666716337204;2;1648156025.8023598
