;update/loss/alpha;Steps;Wall_Time
155;-1.1197341680526733;457;1651415507.5742867
156;-1.143372654914856;466;1651415521.7377145
157;-1.153949499130249;470;1651415528.0349348
158;-1.1724395751953125;477;1651415538.9506109
159;-1.1958982944488525;486;1651415553.0779514
160;-1.2129085063934326;493;1651415564.0748415
161;-1.2154942750930786;494;1651415565.642227
162;-1.2226557731628418;497;1651415570.3190696
163;-1.2303833961486816;500;1651415575.0071888
164;-1.2428178787231445;505;1651415586.2229466
165;-1.245060682296753;506;1651415587.7834306
166;-1.2504457235336304;508;1651415590.8984993
167;-1.2601851224899292;512;1651415597.1116219
168;-1.2657544612884521;514;1651415600.2916584
169;-1.2830817699432373;521;1651415611.2286215
170;-1.2876415252685547;523;1651415614.3598628
171;-1.2976433038711548;527;1651415620.6476436
172;-1.3082325458526611;531;1651415626.8555813
173;-1.3128010034561157;533;1651415629.9515314
174;-1.3254278898239136;538;1651415637.8177364
175;-1.3279744386672974;539;1651415639.3701143
176;-1.3400987386703491;544;1651415647.1449833
177;-1.3426406383514404;545;1651415648.7191226
178;-1.3451488018035889;546;1651415650.2890325
179;-1.3480536937713623;547;1651415651.8730462
180;-1.350393295288086;548;1651415653.4252446
181;-1.352853775024414;549;1651415654.9715219
182;-1.3574196100234985;551;1651415658.1388428
183;-1.3598018884658813;552;1651415659.704477
184;-1.3618735074996948;553;1651415661.2642863
185;-1.3694063425064087;556;1651415665.9311368
186;-1.38034188747406;561;1651415673.73519
187;-1.3898969888687134;565;1651415680.0461628
188;-1.405391812324524;572;1651415690.9736578
189;-1.4191874265670776;578;1651415700.410049
190;-1.421547532081604;579;1651415701.9741442
191;-1.4262641668319702;581;1651415705.0614948
192;-1.450440526008606;591;1651415720.6788743
193;-1.4653147459030151;597;1651415729.982906
194;-1.467503547668457;598;1651415731.5415258
195;-1.4695391654968262;599;1651415733.1571105
196;-1.4740105867385864;601;1651415739.7249768
197;-1.4880627393722534;607;1651415749.1090283
198;-1.4904149770736694;608;1651415750.658255
199;-1.4928267002105713;609;1651415752.2220175
200;-1.5089435577392578;616;1651415763.2585742
201;-1.5153888463974;619;1651415767.936258
202;-1.5242691040039062;623;1651415774.2544801
203;-1.5310800075531006;626;1651415778.9551964
204;-1.5418332815170288;631;1651415786.7641177
205;-1.5440329313278198;632;1651415788.342148
206;-1.5487674474716187;634;1651415791.4633617
207;-1.5598258972167969;639;1651415799.3381302
208;-1.5707513093948364;644;1651415807.127357
209;-1.586132526397705;651;1651415818.1619966
210;-1.5910756587982178;653;1651415821.3099632
211;-1.5930179357528687;654;1651415822.8856835
212;-1.5972974300384521;656;1651415826.0393822
213;-1.6023513078689575;658;1651415829.1359687
214;-1.6186108589172363;665;1651415840.14994
215;-1.6224687099456787;667;1651415843.25893
216;-1.6248493194580078;668;1651415844.8067203
217;-1.6271291971206665;669;1651415846.3625429
218;-1.6296151876449585;670;1651415847.9142118
219;-1.6344512701034546;672;1651415851.105878
220;-1.6365348100662231;673;1651415852.6709993
221;-1.6490466594696045;679;1651415862.0643444
222;-1.664973258972168;686;1651415873.0566566
223;-1.6674485206604004;687;1651415874.6047692
224;-1.678253412246704;692;1651415882.4328866
225;-1.6850227117538452;695;1651415887.189874
226;-1.6871813535690308;696;1651415888.7513363
227;-1.6962854862213135;700;1651415894.9718523
228;-1.6989082098007202;701;1651415900.0849516
229;-1.7075245380401611;705;1651415906.3283281
230;-1.7118357419967651;707;1651415909.4903188
231;-1.7139067649841309;708;1651415911.0499735
232;-1.7183613777160645;710;1651415914.1858237
233;-1.7207318544387817;711;1651415915.7369008
234;-1.7230603694915771;712;1651415917.3003335
235;-1.72715163230896;714;1651415920.4351075
236;-1.7309932708740234;716;1651415923.5798361
237;-1.7497042417526245;724;1651415936.0924659
238;-1.7577617168426514;728;1651415942.3531935
239;-1.7598655223846436;729;1651415943.920785
240;-1.7710261344909668;734;1651415951.7691252
241;-1.7748727798461914;736;1651415954.9006312
242;-1.7846273183822632;741;1651415962.6764731
243;-1.797174334526062;747;1651415972.1158433
244;-1.8014023303985596;749;1651415975.2587883
245;-1.8102859258651733;753;1651415981.5463386
246;-1.8157250881195068;755;1651415984.7452357
247;-1.817873239517212;756;1651415986.3125937
248;-1.8218934535980225;758;1651415989.4256735
249;-1.825059413909912;760;1651415992.5618303
250;-1.8378543853759766;766;1651416001.929174
251;-1.845208764076233;769;1651416006.641594
252;-1.8511289358139038;772;1651416011.3233497
253;-1.8551126718521118;774;1651416014.471651
254;-1.8672982454299927;779;1651416022.3119574
255;-1.872709035873413;782;1651416026.9764733
256;-1.8739885091781616;783;1651416028.5518615
257;-1.8797862529754639;786;1651416033.1959693
258;-1.8964582681655884;794;1651416045.769919
259;-1.9077699184417725;800;1651416055.158898
260;-1.9154294729232788;804;1651416065.1687343
261;-1.9169437885284424;805;1651416066.7344317
262;-1.9240574836730957;809;1651416072.9503284
263;-1.9294219017028809;812;1651416077.6066988
264;-1.931643009185791;813;1651416079.1631198
265;-1.9383680820465088;816;1651416083.920448
266;-1.942297101020813;818;1651416087.0092096
267;-1.9539169073104858;824;1651416096.2980692
268;-1.9598015546798706;827;1651416101.0544825
269;-1.9618228673934937;828;1651416102.5946667
270;-1.9656332731246948;830;1651416105.7071445
271;-1.974953532218933;835;1651416113.572185
272;-1.985885500907898;840;1651416121.4142559
273;-1.994317889213562;844;1651416127.622178
274;-1.9962602853775024;845;1651416129.1862552
275;-2.001716375350952;848;1651416133.8670874
276;-2.0052831172943115;850;1651416137.017893
277;-2.0069124698638916;851;1651416138.6442115
278;-2.008809804916382;852;1651416140.1926136
279;-2.0100901126861572;853;1651416141.7509267
280;-2.0135440826416016;855;1651416144.8509355
281;-2.0259053707122803;861;1651416154.1954029
282;-2.035435438156128;866;1651416162.1075523
283;-2.0370726585388184;867;1651416163.6693635
284;-2.039046287536621;868;1651416165.2448277
285;-2.0418639183044434;870;1651416168.3607218
286;-2.045250415802002;872;1651416171.509999
287;-2.050868511199951;875;1651416176.2062666
288;-2.053184747695923;876;1651416177.8287017
289;-2.0567479133605957;878;1651416180.94118
290;-2.066227912902832;883;1651416188.7422972
291;-2.0703232288360596;885;1651416191.8696156
292;-2.0725889205932617;886;1651416193.4535134
293;-2.076425552368164;888;1651416196.6702833
294;-2.0795907974243164;890;1651416199.7946606
295;-2.0898845195770264;895;1651416207.6179473
296;-2.0954155921936035;898;1651416212.2560685
297;-2.100672960281372;901;1651416220.8089128
298;-2.1043591499328613;903;1651416223.9683359
299;-2.106438398361206;904;1651416225.5203063
300;-2.108818292617798;905;1651416227.0650356
301;-2.1104156970977783;906;1651416228.60772
302;-2.1191375255584717;910;1651416234.852063
303;-2.1283953189849854;915;1651416242.6968787
304;-2.1423182487487793;922;1651416253.6097753
305;-2.1492557525634766;926;1651416259.900531
306;-2.1515049934387207;927;1651416261.438662
307;-2.1532795429229736;928;1651416262.9895015
308;-2.161067485809326;932;1651416269.3398116
