;ActorLR;Steps;Wall_Time
45;9.999999747378752e-05;66560;1651187817.5304098
46;9.999999747378752e-05;67840;1651187819.7566426
47;9.999999747378752e-05;68480;1651187820.8754709
48;9.999999747378752e-05;71040;1651187826.9023144
49;9.999999747378752e-05;74240;1651187834.071873
50;9.999999747378752e-05;75520;1651187836.3019013
51;9.999999747378752e-05;76160;1651187837.417095
52;9.999999747378752e-05;77440;1651187839.6034803
53;9.999999747378752e-05;78080;1651187840.694372
54;9.999999747378752e-05;80000;1651187845.5850234
55;9.999999747378752e-05;81280;1651187847.81323
56;9.999999747378752e-05;81920;1651187848.9453926
57;9.999999747378752e-05;83840;1651187853.7557302
58;9.999999747378752e-05;84480;1651187854.8183358
59;9.999999747378752e-05;85760;1651187856.9590082
60;9.999999747378752e-05;87040;1651187859.0636501
61;9.999999747378752e-05;88320;1651187861.9308867
62;9.999999747378752e-05;88960;1651187863.862213
63;9.999999747378752e-05;89600;1651187864.9715528
64;9.999999747378752e-05;90880;1651187867.195556
65;9.999999747378752e-05;92160;1651187871.0202441
66;9.999999747378752e-05;92800;1651187872.1405256
67;9.999999747378752e-05;93440;1651187873.2085748
68;9.999999747378752e-05;95360;1651187876.3832505
69;9.999999747378752e-05;96640;1651187878.4901931
70;9.999999747378752e-05;97280;1651187879.5331671
71;9.999999747378752e-05;98560;1651187883.3234162
72;9.999999747378752e-05;99840;1651187885.5546503
73;9.999999747378752e-05;101120;1651187888.2168267
74;9.999999747378752e-05;102400;1651187891.5856614
75;9.999999747378752e-05;103040;1651187892.6975768
76;9.999999747378752e-05;105600;1651187897.1248703
77;9.999999747378752e-05;106880;1651187900.3926606
78;9.999999747378752e-05;109440;1651187905.280441
79;9.999999747378752e-05;112000;1651187911.20314
80;9.999999747378752e-05;112640;1651187912.250719
81;9.999999747378752e-05;116480;1651187920.2433517
82;9.999999747378752e-05;120320;1651187928.4622092
83;9.999999747378752e-05;121600;1651187930.695471
84;9.999999747378752e-05;124160;1651187935.1532035
85;9.999999747378752e-05;126080;1651187940.1005874
86;9.999999747378752e-05;126720;1651187941.218903
87;9.999999747378752e-05;128640;1651187979.6648307
88;9.999999747378752e-05;129280;1651187982.3358016
89;9.999999747378752e-05;129920;1651187983.459286
90;9.999999747378752e-05;131200;1651187985.690176
91;9.999999747378752e-05;131840;1651187986.8031223
92;9.999999747378752e-05;135040;1651187993.978992
93;9.999999747378752e-05;135680;1651187995.0650635
94;9.999999747378752e-05;136320;1651187996.130354
95;9.999999747378752e-05;136960;1651187997.179719
96;9.999999747378752e-05;137600;1651187998.2337656
97;9.999999747378752e-05;138240;1651187999.772641
98;9.999999747378752e-05;139520;1651188003.1239476
99;9.999999747378752e-05;140160;1651188004.2334642
100;9.999999747378752e-05;140800;1651188005.3515892
101;9.999999747378752e-05;141440;1651188006.464322
102;9.999999747378752e-05;142720;1651188008.7026656
103;9.999999747378752e-05;144000;1651188012.5286534
104;9.999999747378752e-05;145280;1651188014.759289
105;9.999999747378752e-05;146560;1651188017.003958
106;9.999999747378752e-05;148480;1651188021.892961
107;9.999999747378752e-05;150400;1651188025.2360973
108;9.999999747378752e-05;151040;1651188026.348432
109;9.999999747378752e-05;152960;1651188031.1930408
110;9.999999747378752e-05;153600;1651188032.3647351
111;9.999999747378752e-05;154880;1651188034.584599
112;9.999999747378752e-05;158720;1651188042.802502
113;9.999999747378752e-05;160000;1651188045.0264304
114;9.999999747378752e-05;160640;1651188046.1432374
115;9.999999747378752e-05;161280;1651188047.2585967
116;9.999999747378752e-05;161920;1651188048.3699152
117;9.999999747378752e-05;163200;1651188052.213336
118;9.999999747378752e-05;164480;1651188054.441532
119;9.999999747378752e-05;165760;1651188058.2753184
120;9.999999747378752e-05;166400;1651188059.3886993
121;9.999999747378752e-05;169600;1651188064.9592695
122;9.999999747378752e-05;170240;1651188066.0744612
123;9.999999747378752e-05;171520;1651188069.8932524
124;9.999999747378752e-05;173440;1651188073.034127
125;9.999999747378752e-05;174720;1651188075.4129004
126;9.999999747378752e-05;175360;1651188077.8091443
127;9.999999747378752e-05;176000;1651188078.9276538
128;9.999999747378752e-05;177280;1651188081.166513
129;9.999999747378752e-05;179200;1651188084.5017073
130;9.999999747378752e-05;179840;1651188085.6117318
131;9.999999747378752e-05;181760;1651188090.549484
132;9.999999747378752e-05;182400;1651188091.6643903
133;9.999999747378752e-05;183040;1651188092.7802982
134;9.999999747378752e-05;184320;1651188096.6180055
135;9.999999747378752e-05;186240;1651188099.970865
136;9.999999747378752e-05;186880;1651188101.020768
137;9.999999747378752e-05;187520;1651188102.0912066
138;9.999999747378752e-05;190080;1651188108.0114706
139;9.999999747378752e-05;191360;1651188110.2414706
140;9.999999747378752e-05;192640;1651188147.0712862
141;9.999999747378752e-05;193280;1651188148.1886222
142;9.999999747378752e-05;193920;1651188150.9058595
143;9.999999747378752e-05;194560;1651188151.9860253
144;9.999999747378752e-05;195200;1651188153.0591242
145;9.999999747378752e-05;196480;1651188155.212854
146;9.999999747378752e-05;199680;1651188162.1370473
147;9.999999747378752e-05;200320;1651188163.2512982
148;9.999999747378752e-05;200960;1651188164.3644152
149;9.999999747378752e-05;204800;1651188172.5544455
150;9.999999747378752e-05;205440;1651188173.6435719
151;9.999999747378752e-05;206720;1651188175.814052
152;9.999999747378752e-05;207360;1651188176.8816314
153;9.999999747378752e-05;208000;1651188177.99458
154;9.999999747378752e-05;208640;1651188179.05455
155;9.999999747378752e-05;209280;1651188181.7626057
156;9.999999747378752e-05;209920;1651188182.8772752
157;9.999999747378752e-05;210560;1651188183.979121
158;9.999999747378752e-05;211200;1651188185.0994804
159;9.999999747378752e-05;212480;1651188188.8402371
160;9.999999747378752e-05;213120;1651188189.9667258
161;9.999999747378752e-05;216320;1651188195.5052185
162;9.999999747378752e-05;216960;1651188196.5676134
163;9.999999747378752e-05;217600;1651188197.6187644
164;9.999999747378752e-05;218240;1651188200.3180528
165;9.999999747378752e-05;218880;1651188201.4350297
166;9.999999747378752e-05;219520;1651188202.5440238
167;9.999999747378752e-05;220800;1651188204.7753386
168;9.999999747378752e-05;225280;1651188213.9054449
169;9.999999747378752e-05;225920;1651188214.9714267
170;9.999999747378752e-05;227200;1651188217.1663353
171;9.999999747378752e-05;227840;1651188219.7957363
172;9.999999747378752e-05;230400;1651188224.2490773
173;9.999999747378752e-05;231040;1651188226.9637747
174;9.999999747378752e-05;232320;1651188229.1955826
175;9.999999747378752e-05;236800;1651188238.5773535
176;9.999999747378752e-05;238080;1651188240.7975943
177;9.999999747378752e-05;239360;1651188243.0267236
178;9.999999747378752e-05;240640;1651188246.8575046
179;9.999999747378752e-05;241920;1651188249.0852053
180;9.999999747378752e-05;243200;1651188251.3153138
181;9.999999747378752e-05;243840;1651188252.430094
182;9.999999747378752e-05;244480;1651188253.5430198
183;9.999999747378752e-05;247680;1651188260.5174668
184;9.999999747378752e-05;248320;1651188261.5730965
185;9.999999747378752e-05;250240;1651188266.4565356
186;9.999999747378752e-05;250880;1651188267.573013
187;9.999999747378752e-05;252800;1651188270.8978615
188;9.999999747378752e-05;254720;1651188275.3539393
189;9.999999747378752e-05;256640;1651188314.2453003
190;9.999999747378752e-05;258560;1651188317.8773606
191;9.999999747378752e-05;259200;1651188320.242117
192;9.999999747378752e-05;260480;1651188322.3869336
193;9.999999747378752e-05;261120;1651188323.4596102
194;9.999999747378752e-05;263040;1651188326.6517174
195;9.999999747378752e-05;263680;1651188327.7466252
196;9.999999747378752e-05;264320;1651188329.6223876
197;9.999999747378752e-05;264960;1651188331.48603
198;9.999999747378752e-05;268160;1651188338.6485007
199;9.999999747378752e-05;268800;1651188339.6981893
200;9.999999747378752e-05;269440;1651188340.8117993
201;9.999999747378752e-05;271360;1651188344.099447
202;9.999999747378752e-05;272000;1651188345.1822286
203;9.999999747378752e-05;272640;1651188346.265514
204;9.999999747378752e-05;273280;1651188347.3798752
205;9.999999747378752e-05;274560;1651188351.2126226
206;9.999999747378752e-05;277120;1651188355.4917305
207;9.999999747378752e-05;277760;1651188358.2035418
208;9.999999747378752e-05;279040;1651188360.427218
209;9.999999747378752e-05;280320;1651188362.658984
210;9.999999747378752e-05;282880;1651188368.7187064
211;9.999999747378752e-05;283520;1651188369.8252685
212;9.999999747378752e-05;284160;1651188370.937002
213;9.999999747378752e-05;285440;1651188373.1638038
214;9.999999747378752e-05;287360;1651188378.1118772
215;9.999999747378752e-05;288000;1651188379.2250783
216;9.999999747378752e-05;289920;1651188382.5714836
217;9.999999747378752e-05;290560;1651188383.6902475
218;9.999999747378752e-05;291840;1651188387.5278468
219;9.999999747378752e-05;296320;1651188396.6616702
220;9.999999747378752e-05;297600;1651188398.8825853
221;9.999999747378752e-05;298240;1651188400.0072994
222;9.999999747378752e-05;298880;1651188401.1240084
223;9.999999747378752e-05;300160;1651188403.3516402
224;9.999999747378752e-05;304640;1651188413.4944122
225;9.999999747378752e-05;307200;1651188418.7460515
226;9.999999747378752e-05;309760;1651188423.2100523
227;9.999999747378752e-05;310400;1651188425.9326608
228;9.999999747378752e-05;312320;1651188429.147943
229;9.999999747378752e-05;314880;1651188435.1436937
230;9.999999747378752e-05;315520;1651188436.259157
231;9.999999747378752e-05;317440;1651188439.5722022
232;9.999999747378752e-05;319360;1651188444.4818144
233;9.999999747378752e-05;321920;1651188484.104815
234;9.999999747378752e-05;322560;1651188485.1571963
235;9.999999747378752e-05;323200;1651188486.7398956
236;9.999999747378752e-05;324480;1651188489.9686947
237;9.999999747378752e-05;327040;1651188494.2699587
238;9.999999747378752e-05;327680;1651188495.319086
239;9.999999747378752e-05;328320;1651188496.4188259
240;9.999999747378752e-05;330240;1651188501.2976546
241;9.999999747378752e-05;332800;1651188505.7448845
242;9.999999747378752e-05;333440;1651188506.8128269
243;9.999999747378752e-05;334080;1651188507.9407918
244;9.999999747378752e-05;336640;1651188512.388726
245;9.999999747378752e-05;339200;1651188518.345504
246;9.999999747378752e-05;340480;1651188520.5791569
247;9.999999747378752e-05;343680;1651188526.1291058
248;9.999999747378752e-05;344320;1651188527.246291
249;9.999999747378752e-05;347520;1651188534.3537645
250;9.999999747378752e-05;348160;1651188535.470428
251;9.999999747378752e-05;348800;1651188536.5853317
252;9.999999747378752e-05;349440;1651188537.7019887
253;9.999999747378752e-05;350080;1651188538.8227515
254;9.999999747378752e-05;350720;1651188539.9317856
255;9.999999747378752e-05;351360;1651188541.046982
256;9.999999747378752e-05;352000;1651188542.1543462
257;9.999999747378752e-05;352640;1651188543.2702627
258;9.999999747378752e-05;353280;1651188544.381323
259;9.999999747378752e-05;353920;1651188545.4672775
260;9.999999747378752e-05;355200;1651188548.7008631
261;9.999999747378752e-05;357760;1651188555.1234164
262;9.999999747378752e-05;358400;1651188556.189054
263;9.999999747378752e-05;360960;1651188560.4443889
264;9.999999747378752e-05;362880;1651188563.6561625
265;9.999999747378752e-05;365440;1651188569.5947304
266;9.999999747378752e-05;367360;1651188574.456342
267;9.999999747378752e-05;368000;1651188575.5515778
268;9.999999747378752e-05;369280;1651188577.6754405
269;9.999999747378752e-05;369920;1651188578.7424655
270;9.999999747378752e-05;370560;1651188579.814395
271;9.999999747378752e-05;371200;1651188580.86004
272;9.999999747378752e-05;374400;1651188587.8698256
273;9.999999747378752e-05;375680;1651188591.6438935
274;9.999999747378752e-05;376960;1651188593.7516673
275;9.999999747378752e-05;377600;1651188594.8195913
276;9.999999747378752e-05;378240;1651188595.8664913
277;9.999999747378752e-05;380800;1651188600.0912716
278;9.999999747378752e-05;381440;1651188601.154751
279;9.999999747378752e-05;382080;1651188602.1841211
280;9.999999747378752e-05;382720;1651188603.2562406
281;9.999999747378752e-05;384000;1651188640.362395
282;9.999999747378752e-05;387840;1651188650.0325446
283;9.999999747378752e-05;388480;1651188651.0917017
284;9.999999747378752e-05;389120;1651188652.1876683
285;9.999999747378752e-05;389760;1651188653.2206845
286;9.999999747378752e-05;391040;1651188655.3296425
287;9.999999747378752e-05;392960;1651188658.5039065
288;9.999999747378752e-05;393600;1651188659.832955
289;9.999999747378752e-05;395520;1651188665.9918923
290;9.999999747378752e-05;396800;1651188668.1001596
291;9.999999747378752e-05;398080;1651188670.2034688
292;9.999999747378752e-05;399360;1651188672.310706
293;9.999999747378752e-05;400000;1651188673.3750012
294;9.999999747378752e-05;403200;1651188678.7325897
295;9.999999747378752e-05;403840;1651188681.336789
296;9.999999747378752e-05;405120;1651188685.1076634
297;9.999999747378752e-05;405760;1651188686.1780303
298;9.999999747378752e-05;408320;1651188690.4504855
299;9.999999747378752e-05;411520;1651188695.861848
300;9.999999747378752e-05;412800;1651188699.5869527
301;9.999999747378752e-05;416000;1651188706.7673216
302;9.999999747378752e-05;417280;1651188708.9817073
