;update/loss/ent;Steps;Wall_Time
0;2.114518642425537;3;1651257558.2808592
1;2.113168954849243;6;1651257562.309173
2;2.111976385116577;8;1651257565.0087101
3;2.097182512283325;16;1651257575.7746665
4;2.0920846462249756;17;1651257577.1326666
5;2.086226463317871;18;1651257578.4817047
6;2.0505995750427246;22;1651257583.845273
7;2.0386998653411865;23;1651257585.1950629
8;2.0264134407043457;24;1651257586.5327868
9;1.9575215578079224;29;1651257593.2374012
10;1.930188536643982;31;1651257595.9271288
11;1.9033282995224;33;1651257598.6420076
12;1.8414890766143799;38;1651257605.3461387
13;1.8192955255508423;40;1651257608.05645
14;1.7891117334365845;43;1651257612.0911486
15;1.7337779998779297;50;1651257621.4995563
16;1.7188969850540161;52;1651257624.1737807
17;1.7109324932098389;53;1651257625.512948
18;1.6768195629119873;57;1651257630.9190917
19;1.580367922782898;67;1651257644.4859915
20;1.5710934400558472;68;1651257645.8282952
21;1.5528315305709839;70;1651257648.5256064
22;1.5268524885177612;73;1651257652.5813403
23;1.4781848192214966;79;1651257660.643048
24;1.454709529876709;82;1651257664.6609101
25;1.4470075368881226;83;1651257665.997788
26;1.4315769672393799;85;1651257668.6783986
27;1.4238513708114624;86;1651257670.0203536
28;1.3938409090042114;90;1651257675.400776
29;1.3576571941375732;95;1651257682.1560066
30;1.3507583141326904;96;1651257683.514247
31;1.3439804315567017;97;1651257684.864478
32;1.323992371559143;100;1651257688.8861115
33;1.2949849367141724;102;1651257700.804098
34;1.2512273788452148;105;1651257704.8389602
35;1.221971869468689;107;1651257707.5173037
36;1.2073180675506592;108;1651257708.8664029
37;1.1491419076919556;112;1651257714.2837493
38;1.077512264251709;117;1651257721.0332537
39;1.0505625009536743;119;1651257723.712831
40;1.012239694595337;122;1651257727.7381396
41;1.0003844499588013;123;1651257729.0905063
42;0.9454635381698608;128;1651257735.7879846
43;0.9057954549789429;132;1651257741.1760726
44;0.8775426745414734;135;1651257745.2312267
45;0.8591721057891846;137;1651257747.9211683
46;0.841427743434906;139;1651257750.6124816
47;0.8324608206748962;140;1651257751.9510972
48;0.805560290813446;143;1651257755.975596
49;0.7783355712890625;146;1651257759.9907484
50;0.7692045569419861;147;1651257761.3251812
51;0.741574764251709;150;1651257765.4146008
52;0.7240034937858582;152;1651257768.1105788
53;0.6997643113136292;155;1651257772.1339965
54;0.6853025555610657;157;1651257774.843873
55;0.6600244641304016;161;1651257779.957535
56;0.6542689800262451;162;1651257781.1328468
57;0.6332151293754578;166;1651257785.8810396
58;0.6232101917266846;168;1651257788.2701943
59;0.6045523881912231;172;1651257792.9990544
60;0.5865715146064758;176;1651257797.7614763
61;0.5374566316604614;189;1651257813.1974103
62;0.5311362743377686;191;1651257815.5687432
63;0.5194502472877502;195;1651257820.2988398
64;0.5081803202629089;199;1651257825.010036
65;0.4999595284461975;202;1651257836.2511878
66;0.4974157214164734;203;1651257837.4303222
67;0.49464601278305054;204;1651257838.6088266
68;0.48919305205345154;206;1651257840.9662979
69;0.48653677105903625;207;1651257842.1422877
70;0.4729117751121521;212;1651257848.054671
71;0.47027158737182617;213;1651257849.23497
72;0.4677623510360718;214;1651257850.4155247
73;0.46529456973075867;215;1651257851.6015146
74;0.460367888212204;217;1651257853.9586291
75;0.4531956911087036;220;1651257857.5246594
76;0.4508110284805298;221;1651257858.7032812
77;0.4485553503036499;222;1651257859.8812468
78;0.4441251754760742;224;1651257862.2671294
79;0.44018006324768066;226;1651257864.6504488
80;0.43630874156951904;228;1651257867.013705
81;0.4327455759048462;230;1651257869.371897
82;0.42750298976898193;233;1651257872.9286978
83;0.4229162633419037;236;1651257876.4919295
84;0.4166446924209595;240;1651257881.211622
85;0.4120737910270691;243;1651257884.767011
86;0.40065789222717285;251;1651257894.2384803
87;0.3977895677089691;253;1651257896.5927126
88;0.3933446407318115;256;1651257900.1486
89;0.3905470371246338;258;1651257902.5386267
90;0.3863874673843384;261;1651257906.0836003
91;0.36952582001686096;272;1651257919.1597445
92;0.36335575580596924;276;1651257923.9372458
93;0.3606070280075073;278;1651257926.298429
94;0.3564860224723816;281;1651257929.8439307
95;0.35508450865745544;282;1651257931.024308
96;0.35111984610557556;285;1651257934.6006699
97;0.3487088680267334;287;1651257936.9745083
98;0.3360682725906372;298;1651257950.0253267
99;0.3340570628643036;300;1651257952.3904004
100;0.33218398690223694;302;1651257962.5439665
101;0.3311735987663269;303;1651257963.724039
102;0.3287811577320099;306;1651257967.294526
103;0.3272004723548889;308;1651257969.6696835
104;0.3221821188926697;314;1651257976.7604232
105;0.3159486949443817;322;1651257986.2820199
106;0.31444427371025085;324;1651257988.673745
107;0.3135051727294922;325;1651257989.8570774
108;0.3126976490020752;326;1651257991.0425649
109;0.31194186210632324;327;1651257992.2126887
110;0.31113922595977783;328;1651257993.3804321
111;0.3103597164154053;329;1651257994.5592983
112;0.30733707547187805;333;1651257999.2588227
113;0.3066324293613434;334;1651258000.4391387
114;0.3030112683773041;339;1651258006.3036094
115;0.30239924788475037;340;1651258007.4786034
116;0.301741361618042;341;1651258008.6587846
117;0.30109119415283203;342;1651258009.8251946
118;0.30044081807136536;343;1651258010.9924834
119;0.2996442914009094;344;1651258012.161627
120;0.2941342890262604;353;1651258022.8338954
121;0.2936227023601532;354;1651258024.0144005
122;0.29242250323295593;356;1651258026.3887982
123;0.29199108481407166;357;1651258027.561934
124;0.2887204885482788;364;1651258035.8495827
125;0.286329984664917;371;1651258044.9657738
126;0.28570181131362915;373;1651258047.6630378
127;0.2851194143295288;375;1651258050.3709192
128;0.28437554836273193;377;1651258053.0896964
129;0.28353098034858704;379;1651258055.7744198
130;0.28235864639282227;382;1651258059.817104
131;0.28205418586730957;383;1651258061.1528404
132;0.2799268364906311;388;1651258067.8956282
133;0.27951401472091675;389;1651258069.2532005
134;0.27823004126548767;392;1651258073.2835639
135;0.2762768864631653;396;1651258078.6620271
136;0.2747657597064972;399;1651258082.6953583
137;0.2711338400840759;405;1651258099.9553618
138;0.2705579996109009;406;1651258101.2940547
139;0.2670401334762573;412;1651258109.409755
140;0.2665160894393921;413;1651258110.7546182
141;0.2659625709056854;414;1651258112.0915365
142;0.2654171586036682;415;1651258113.427853
143;0.26259076595306396;420;1651258120.1895409
144;0.2619047164916992;421;1651258121.530904
145;0.2597135007381439;425;1651258126.8848329
146;0.25861161947250366;427;1651258129.5946286
147;0.2569507360458374;430;1651258133.6219528
