;update/loss/ent;Steps;Wall_Time
0;0.13144397735595703;999;1649693548.5267775
1;0.10106802731752396;1999;1649696215.219342
2;0.09578151255846024;2999;1649698830.130697
3;0.08890016376972198;3999;1649701490.9006126
