;test/reward_std;Steps;Wall_Time
0;0.7078081965446472;0;1649691174.422859
1;1.1247382164001465;1026786;1649691792.4414003
2;1.1174882650375366;2054744;1649692367.595975
3;1.0979360342025757;3080571;1649692943.843483
4;1.1397922039031982;4107749;1649693519.3039966
5;1.1174287796020508;5136102;1649694092.5202508
6;1.1509175300598145;6160263;1649694665.8491993
7;1.1142557859420776;7188237;1649695239.790655
8;1.1399801969528198;8216668;1649695893.8413827
9;1.1026606559753418;9240911;1649696500.9151716
10;1.1080564260482788;10266420;1649697073.2146184
11;1.1204506158828735;11294078;1649697647.1195548
12;1.1046842336654663;12318552;1649698218.4783747
13;1.1102176904678345;13346788;1649698798.3165448
14;1.1210380792617798;14374068;1649699377.3201976
15;1.1204009056091309;15400734;1649699951.3690364
16;1.0969408750534058;16427760;1649700528.1006873
17;1.1003832817077637;17453896;1649701105.457619
