;test/reward_std;Steps;Wall_Time
0;1.229550838470459;0;1648931054.7430525
1;0.7179004549980164;256000;1648931157.3351347
2;0.5563226342201233;512000;1648931259.8370383
3;0.47469404339790344;768000;1648931362.3541672
4;0.4413960874080658;1024000;1648931464.8703954
5;0.43083056807518005;1280000;1648931567.379028
6;0.41029098629951477;1536000;1648931670.253681
7;0.4258757531642914;1792000;1648931773.085642
8;0.4065152704715729;2048000;1648931876.1112304
9;0.38570523262023926;2304000;1648931978.8946824
10;0.38564661145210266;2560000;1648932081.3449585
11;0.3878045380115509;2816000;1648932183.9679387
12;0.398394912481308;3072000;1648932286.65051
13;0.38772091269493103;3328000;1648932389.4172337
14;0.4139564037322998;3584000;1648932492.0706787
15;0.37723425030708313;3840000;1648932594.8807237
16;0.37152037024497986;4096000;1648932697.6440787
17;0.37416431307792664;4352000;1648932800.112962
18;0.39331185817718506;4608000;1648932902.673153
19;0.3708032965660095;4864000;1648933005.4477293
20;0.37503230571746826;5120000;1648933108.2781084
21;0.3863399922847748;5376000;1648933210.8069603
22;0.3761342167854309;5632000;1648933313.4811
23;0.3815127909183502;5888000;1648933416.1326702
24;0.3716109097003937;6144000;1648933518.8830462
25;0.3707076907157898;6400000;1648933621.1998763
26;0.3721771538257599;6656000;1648933723.8906407
27;0.374512642621994;6912000;1648933826.7019625
28;0.36905208230018616;7168000;1648933929.3608086
29;0.36361223459243774;7424000;1648934032.1806061
30;0.356847882270813;7680000;1648934135.099152
31;0.3737284243106842;7936000;1648934238.104926
32;0.370967298746109;8192000;1648934341.0783122
33;0.3723839223384857;8448000;1648934444.0122087
34;0.3751852810382843;8704000;1648934546.7955766
35;0.3779353201389313;8960000;1648934649.5036438
36;0.3740262985229492;9216000;1648934752.334343
37;0.38439512252807617;9472000;1648934855.391333
38;0.35792621970176697;9728000;1648934958.3921564
39;0.3678242862224579;9984000;1648935060.8030581
40;0.3618970811367035;10240000;1648935163.4610035
41;0.3782004415988922;10496000;1648935266.0226145
42;0.3676295876502991;10752000;1648935368.6851215
43;0.35371699929237366;11008000;1648935471.1281114
44;0.36254259943962097;11264000;1648935573.8301914
45;0.35758766531944275;11520000;1648935676.4141264
46;0.3605249226093292;11776000;1648935778.9358552
47;0.3731747567653656;12032000;1648935881.5517464
48;0.3659016191959381;12288000;1648935984.1829412
49;0.36338239908218384;12544000;1648936086.7262175
50;0.3758525252342224;12800000;1648936189.087038
