;update/loss/critic1;Steps;Wall_Time
0;0.052885860204696655;999;1647811362.3681874
1;0.025607869029045105;1999;1647812142.8975828
2;0.018321068957448006;2999;1647812976.6177607
3;0.01425928808748722;3999;1647813754.0669167
4;0.010962141677737236;4999;1647814531.7108953
5;0.009167331270873547;5999;1647815307.1609583
6;0.007776890881359577;6999;1647816080.2126994
7;0.006620066240429878;7999;1647816855.4156802
8;0.005951587110757828;8999;1647817631.361446
9;0.005317954812198877;9999;1647818409.8445995
10;0.004598771221935749;10999;1647819183.7985244
11;0.004133284091949463;11999;1647819957.150368
12;0.00397148635238409;12999;1647820727.7687876
13;0.003468964481726289;13999;1647821504.0782347
14;0.003262049052864313;14999;1647822284.1346078
15;0.002933395793661475;15999;1647823064.920665
16;0.002757254522293806;16999;1647823843.9456737
17;0.002538775559514761;17999;1647824615.493274
18;0.0024412318598479033;18999;1647825385.4101562
19;0.002345547080039978;19999;1647826178.0229068
