;grad_norm_clipped;Steps;Wall_Time
287;1.0;7347200;1649682516.710921
288;1.0;7372800;1649682516.8181865
289;1.0;7398400;1649682516.9257948
290;1.0;7424000;1649682517.0456102
291;1.0;7449600;1649682517.154446
292;1.0;7475200;1649682517.257686
293;1.0;7500800;1649682517.376748
294;1.0;7526400;1649682517.4792566
295;1.0;7552000;1649682517.591408
296;1.0;7577600;1649682517.7054725
297;1.0;7603200;1649682517.8119786
298;1.0;7628800;1649682517.9151514
299;1.0;7654400;1649682518.017426
300;1.0;7680000;1649682523.2657304
301;1.0;7705600;1649682523.3980598
302;1.0;7731200;1649682523.519483
303;1.0;7756800;1649682523.6331387
304;1.0;7782400;1649682523.73858
305;1.0;7808000;1649682523.8436341
306;1.0;7833600;1649682523.9530587
307;1.0;7859200;1649682524.0591078
308;1.0;7884800;1649682524.1668081
309;1.0;7910400;1649682524.2733593
310;1.0;7936000;1649682524.3824553
311;1.0;7961600;1649682524.4939814
312;1.0;7987200;1649682524.5994036
313;1.0;8012800;1649682524.699977
314;1.0;8038400;1649682524.8018286
315;1.0;8064000;1649682524.9091291
316;1.0;8089600;1649682525.0227501
317;1.0;8115200;1649682525.1296713
318;1.0;8140800;1649682525.2337575
319;1.0;8166400;1649682525.3402612
320;1.0;8192000;1649682525.445749
321;1.0;8217600;1649682525.5540874
322;1.0;8243200;1649682525.6546998
323;1.0;8268800;1649682525.7628427
324;1.0;8294400;1649682525.8646533
325;1.0;8320000;1649682525.9751413
326;1.0;8345600;1649682526.0929544
327;1.0;8371200;1649682526.2087114
328;1.0;8396800;1649682526.326632
329;1.0;8422400;1649682526.4302833
330;1.0;8448000;1649682526.5393136
331;1.0;8473600;1649682526.639555
332;1.0;8499200;1649682526.740881
333;1.0;8524800;1649682526.8483446
334;1.0;8550400;1649682526.963337
335;1.0;8576000;1649682527.070126
336;1.0;8601600;1649682527.1858995
337;1.0;8627200;1649682527.3049352
338;1.0;8652800;1649682527.4254534
339;1.0;8678400;1649682527.5420399
340;1.0;8704000;1649682527.657565
341;1.0;8729600;1649682527.762294
342;1.0;8755200;1649682527.8677065
343;1.0;8780800;1649682527.9792612
344;1.0;8806400;1649682528.0827308
345;1.0;8832000;1649682528.1870704
346;1.0;8857600;1649682528.2930238
347;1.0;8883200;1649682528.3992844
348;1.0;8908800;1649682528.5108085
349;1.0;8934400;1649682528.6154873
350;1.0;8960000;1649682528.722564
351;1.0;8985600;1649682528.8359675
352;1.0;9011200;1649682528.9466045
353;1.0;9036800;1649682529.049544
354;1.0;9062400;1649682529.1518192
355;1.0;9088000;1649682529.2610662
356;1.0;9113600;1649682529.3784857
357;1.0;9139200;1649682529.4901288
358;1.0;9164800;1649682529.5958986
359;1.0;9190400;1649682529.6976159
360;1.0;9216000;1649682529.803498
361;1.0;9241600;1649682529.9101381
362;1.0;9267200;1649682530.0222242
363;1.0;9292800;1649682530.1376548
364;1.0;9318400;1649682530.2572753
365;1.0;9344000;1649682530.3676014
366;1.0;9369600;1649682530.4706495
367;1.0;9395200;1649682530.5895674
368;1.0;9420800;1649682530.6948752
369;1.0;9446400;1649682530.7992783
370;1.0;9472000;1649682530.9159164
371;1.0;9497600;1649682531.0233579
372;1.0;9523200;1649682531.1362658
373;1.0;9548800;1649682531.2460508
374;1.0;9574400;1649682531.367257
375;1.0;9600000;1649682531.4844797
376;1.0;9625600;1649682531.617815
377;1.0;9651200;1649682531.737312
378;1.0;9676800;1649682531.8546295
379;1.0;9702400;1649682531.9719188
380;1.0;9728000;1649682532.078376
381;1.0;9753600;1649682532.203557
382;1.0;9779200;1649682532.322775
383;1.0;9804800;1649682532.4324906
384;1.0;9830400;1649682532.5463605
385;1.0;9856000;1649682532.6632733
386;1.0;9881600;1649682532.7692149
387;1.0;9907200;1649682532.8807974
388;1.0;9932800;1649682532.9924839
389;1.0;9958400;1649682533.115367
390;1.0;9984000;1649682533.2328005
391;1.0;10009600;1649682533.3399272
392;1.0;10035200;1649682533.455536
393;1.0;10060800;1649682533.5655665
394;1.0;10086400;1649682533.6780076
395;1.0;10112000;1649682533.7975445
396;1.0;10137600;1649682533.9100835
397;1.0;10163200;1649682534.0287576
398;1.0;10188800;1649682534.1289148
399;1.0;10214400;1649682534.2395473
400;1.0;10240000;1649682539.045855
401;1.0;10265600;1649682539.1735864
402;1.0;10291200;1649682539.297405
403;1.0;10316800;1649682539.411603
404;1.0;10342400;1649682539.5272264
405;1.0;10368000;1649682539.6491528
406;1.0;10393600;1649682539.771556
407;1.0;10419200;1649682539.885246
408;1.0;10444800;1649682540.0010178
409;1.0;10470400;1649682540.1128497
410;1.0;10496000;1649682540.2281964
411;1.0;10521600;1649682540.3456266
412;1.0;10547200;1649682540.4674237
413;1.0;10572800;1649682540.586307
414;1.0;10598400;1649682540.7035687
415;1.0;10624000;1649682540.8231366
416;1.0;10649600;1649682540.9413812
417;1.0;10675200;1649682541.0569117
418;1.0;10700800;1649682541.1720202
419;1.0;10726400;1649682541.2929456
420;1.0;10752000;1649682541.4058435
421;1.0;10777600;1649682541.5221076
422;1.0;10803200;1649682541.6470294
423;1.0;10828800;1649682541.7698703
424;1.0;10854400;1649682541.8895628
425;1.0;10880000;1649682542.007463
426;1.0;10905600;1649682542.12961
427;1.0;10931200;1649682542.2551098
428;1.0;10956800;1649682542.373049
429;1.0;10982400;1649682542.4885924
430;1.0;11008000;1649682542.6052213
431;1.0;11033600;1649682542.7193687
432;1.0;11059200;1649682542.8355145
433;1.0;11084800;1649682542.9548898
434;1.0;11110400;1649682543.0736682
435;1.0;11136000;1649682543.1955228
436;1.0;11161600;1649682543.3145561
437;1.0;11187200;1649682543.4330204
438;1.0;11212800;1649682543.5589516
439;1.0;11238400;1649682543.6811297
440;1.0;11264000;1649682543.803257
441;1.0;11289600;1649682544.3898249
442;1.0;11315200;1649682544.5190592
443;1.0;11340800;1649682544.638895
444;1.0;11366400;1649682544.7585142
445;1.0;11392000;1649682544.8774056
446;1.0;11417600;1649682544.9989474
447;1.0;11443200;1649682545.1142604
448;1.0;11468800;1649682545.2311192
449;1.0;11494400;1649682545.35451
450;1.0;11520000;1649682545.4761999
451;1.0;11545600;1649682545.5945833
452;1.0;11571200;1649682545.7110517
453;1.0;11596800;1649682545.823734
454;1.0;11622400;1649682545.9383245
455;1.0;11648000;1649682546.0577784
456;1.0;11673600;1649682546.1736057
457;1.0;11699200;1649682546.3017821
458;1.0;11724800;1649682546.425026
459;1.0;11750400;1649682546.5433776
460;1.0;11776000;1649682546.6625397
461;1.0;11801600;1649682546.7869182
462;1.0;11827200;1649682546.9068267
463;1.0;11852800;1649682547.0263872
464;1.0;11878400;1649682547.1471694
465;1.0;11904000;1649682547.2697148
466;1.0;11929600;1649682547.3798294
467;1.0;11955200;1649682547.4928284
468;1.0;11980800;1649682547.608758
469;1.0;12006400;1649682547.7176552
470;1.0;12032000;1649682547.8279643
471;1.0;12057600;1649682547.940181
472;1.0;12083200;1649682548.0476882
473;1.0;12108800;1649682548.1611505
474;1.0;12134400;1649682548.2722588
475;1.0;12160000;1649682548.3908682
476;1.0;12185600;1649682548.5021658
477;1.0;12211200;1649682548.61182
478;1.0;12236800;1649682548.7264497
479;1.0;12262400;1649682548.8433814
480;1.0;12288000;1649682548.9603972
481;1.0;12313600;1649682549.0845356
482;1.0;12339200;1649682549.2027662
483;1.0;12364800;1649682549.3192258
484;1.0;12390400;1649682549.4289246
485;1.0;12416000;1649682549.5428736
486;1.0;12441600;1649682549.6546466
487;1.0;12467200;1649682549.768558
488;1.0;12492800;1649682549.8897421
489;1.0;12518400;1649682550.0027497
490;1.0;12544000;1649682550.118705
491;1.0;12569600;1649682550.229333
492;1.0;12595200;1649682550.3471992
493;1.0;12620800;1649682550.4636843
494;1.0;12646400;1649682550.5717225
495;1.0;12672000;1649682550.689248
496;1.0;12697600;1649682550.7998114
