;critic_grad_norm_clipped;Steps;Wall_Time
0;24.912010192871094;0;1649624653.3462393
1;24.559545516967773;2560;1649624653.418633
2;25.011384963989258;5120;1649624653.4884012
3;24.778858184814453;7680;1649624653.5533795
4;24.828323364257812;10240;1649624653.6195123
5;24.315427780151367;12800;1649624653.6824083
6;25.06078338623047;15360;1649624653.7438397
7;24.959514617919922;17920;1649624653.8094006
8;24.359834671020508;20480;1649624653.874472
9;24.553678512573242;23040;1649624653.9381952
10;24.12759780883789;25600;1649624654.0026848
11;24.135417938232422;28160;1649624654.0754006
12;24.698026657104492;30720;1649624654.1459692
13;24.553586959838867;33280;1649624654.2231846
14;24.19014549255371;35840;1649624654.2861595
15;25.207069396972656;38400;1649624654.347096
16;24.37533950805664;40960;1649624654.4888752
17;24.15561866760254;43520;1649624654.5603564
18;24.12322425842285;46080;1649624654.6289139
19;24.42177963256836;48640;1649624654.698985
20;24.284881591796875;51200;1649624654.7627585
21;24.455503463745117;53760;1649624654.8300376
22;24.264616012573242;56320;1649624654.891684
23;24.60135269165039;58880;1649624654.9549787
24;24.65431022644043;61440;1649624655.0210664
25;25.06778335571289;64000;1649624655.084558
26;24.30636978149414;66560;1649624655.1496863
27;24.898069381713867;69120;1649624655.2143395
28;24.051130294799805;71680;1649624655.2744634
29;24.43461799621582;74240;1649624655.334732
30;24.791027069091797;76800;1649624655.395009
31;24.733097076416016;79360;1649624655.4528763
32;24.626737594604492;81920;1649624655.5153692
33;23.914005279541016;84480;1649624655.5756638
34;24.234338760375977;87040;1649624655.6361396
35;24.516557693481445;89600;1649624655.6974447
36;24.678794860839844;92160;1649624655.7580395
37;24.668359756469727;94720;1649624655.8193731
38;24.727779388427734;97280;1649624655.8814206
39;23.912736892700195;99840;1649624655.9462101
40;23.803316116333008;102400;1649624656.0153604
41;23.89280891418457;104960;1649624656.0818605
42;23.878623962402344;107520;1649624656.154224
43;23.99015998840332;110080;1649624656.2329278
44;23.99681282043457;112640;1649624656.3130424
45;23.933805465698242;115200;1649624656.3852236
46;23.840126037597656;117760;1649624656.4528852
47;23.796039581298828;120320;1649624656.5114555
48;23.4832820892334;122880;1649624656.5747235
49;23.93467903137207;125440;1649624656.6364424
50;23.463008880615234;128000;1649624656.7011037
51;23.528484344482422;130560;1649624656.763668
52;23.796232223510742;133120;1649624656.82653
53;23.12830924987793;135680;1649624656.8860376
54;23.732540130615234;138240;1649624656.9455965
55;23.410634994506836;140800;1649624657.0164032
56;23.113788604736328;143360;1649624657.0868337
57;23.189865112304688;145920;1649624657.15753
58;23.895254135131836;148480;1649624657.2187192
59;23.69085121154785;151040;1649624657.2783334
60;23.158981323242188;153600;1649624657.3389056
61;23.91510581970215;156160;1649624657.3986912
62;23.296321868896484;158720;1649624657.4761238
63;23.47430992126465;161280;1649624657.5509431
64;23.335893630981445;163840;1649624657.6133432
65;23.06171226501465;166400;1649624657.6816912
66;23.474258422851562;168960;1649624657.7421956
67;23.121652603149414;171520;1649624657.8057525
68;23.43035125732422;174080;1649624657.8781214
69;23.28509521484375;176640;1649624657.953578
70;23.158166885375977;179200;1649624658.0251954
71;23.24569320678711;181760;1649624658.094876
72;23.715435028076172;184320;1649624658.1636903
73;23.314592361450195;186880;1649624658.2380784
74;22.907127380371094;189440;1649624658.3187501
75;22.861103057861328;192000;1649624658.399349
76;23.00273895263672;194560;1649624658.4837973
77;22.58626365661621;197120;1649624658.559027
78;22.174171447753906;199680;1649624658.6353638
79;22.497541427612305;202240;1649624658.7098012
80;21.909378051757812;204800;1649624658.7863553
81;21.75546646118164;207360;1649624658.8609824
82;21.566303253173828;209920;1649624658.9319093
