;update/loss;Steps;Wall_Time
0;28.316057205200195;3;1651257558.2807446
1;28.236717224121094;6;1651257562.3090377
2;28.0662784576416;8;1651257565.0085533
3;27.005701065063477;16;1651257575.7745562
4;26.775630950927734;17;1651257577.1325207
5;26.499731063842773;18;1651257578.4815786
6;25.490934371948242;22;1651257583.845124
7;25.241893768310547;23;1651257585.1949325
8;25.002473831176758;24;1651257586.5326626
9;23.92917251586914;29;1651257593.2372868
10;23.564908981323242;31;1651257595.9269896
11;23.216350555419922;33;1651257598.6418965
12;22.413942337036133;38;1651257605.3460052
13;22.100521087646484;40;1651257608.0563285
14;21.65060043334961;43;1651257612.0910323
15;20.640592575073242;50;1651257621.4994268
16;20.331993103027344;52;1651257624.173662
17;20.172351837158203;53;1651257625.5128386
18;19.491199493408203;57;1651257630.9189749
19;17.639667510986328;67;1651257644.485872
20;17.443817138671875;68;1651257645.8281853
21;17.059194564819336;70;1651257648.525489
22;16.479583740234375;73;1651257652.5812232
23;15.394052505493164;79;1651257660.6429338
24;14.890825271606445;82;1651257664.6607783
25;14.728835105895996;83;1651257665.99767
26;14.415146827697754;85;1651257668.6782844
27;14.262311935424805;86;1651257670.0202367
28;13.682560920715332;90;1651257675.40066
29;13.024184226989746;95;1651257682.155888
30;12.90018081665039;96;1651257683.5141187
31;12.778786659240723;97;1651257684.8643603
32;12.423985481262207;100;1651257688.885994
33;11.863117218017578;102;1651257700.803967
34;11.049883842468262;105;1651257704.8388317
35;10.509016036987305;107;1651257707.517188
36;10.246451377868652;108;1651257708.8662882
37;9.223021507263184;112;1651257714.2836206
38;8.01565933227539;117;1651257721.0331361
39;7.600295066833496;119;1651257723.7127192
40;7.000993251800537;122;1651257727.7380257
41;6.811524391174316;123;1651257729.0903847
42;5.890911102294922;128;1651257735.7878633
43;5.185233116149902;132;1651257741.1759598
44;4.675107002258301;135;1651257745.2311065
45;4.343830108642578;137;1651257747.9210427
46;4.039942741394043;139;1651257750.6123397
47;3.8766860961914062;140;1651257751.9509733
48;3.420872449874878;143;1651257755.975451
49;2.991792917251587;146;1651257759.990637
50;2.852158784866333;147;1651257761.3250644
51;2.4422264099121094;150;1651257765.414475
52;2.199923515319824;152;1651257768.110417
53;1.8673583269119263;155;1651257772.1338768
54;1.6821715831756592;157;1651257774.84376
55;1.3490321636199951;161;1651257779.9574304
56;1.2795331478118896;162;1651257781.1327455
57;1.0551214218139648;166;1651257785.880928
58;0.9689363837242126;168;1651257788.270077
59;0.8383630514144897;172;1651257792.998948
60;0.7452852725982666;176;1651257797.7613783
61;0.5846090912818909;189;1651257813.1973054
62;0.565016508102417;191;1651257815.5686274
63;0.5271512866020203;195;1651257820.298733
64;0.49425971508026123;199;1651257825.0099297
65;0.47648534178733826;202;1651257836.2510817
66;0.4702707529067993;203;1651257837.43022
67;0.4633847177028656;204;1651257838.6087046
68;0.451421320438385;206;1651257840.9661899
69;0.44558200240135193;207;1651257842.1421788
70;0.4088560938835144;212;1651257848.0545564
71;0.4029589891433716;213;1651257849.2348487
72;0.3976697623729706;214;1651257850.4153976
73;0.3936385214328766;215;1651257851.601412
74;0.3833135664463043;217;1651257853.9585187
75;0.3675783574581146;220;1651257857.5245445
76;0.36128929257392883;221;1651257858.7031794
77;0.35541918873786926;222;1651257859.8811314
78;0.34453466534614563;224;1651257862.2670228
79;0.3386024832725525;226;1651257864.6503386
80;0.3291151225566864;228;1651257867.0135708
81;0.3214205503463745;230;1651257869.371794
82;0.3113723397254944;233;1651257872.9285636
83;0.3029559850692749;236;1651257876.4918208
84;0.2898252606391907;240;1651257881.2115169
85;0.28411608934402466;243;1651257884.7669108
86;0.2631102502346039;251;1651257894.238375
87;0.2570476531982422;253;1651257896.5925741
88;0.25106075406074524;256;1651257900.1484654
89;0.24686746299266815;258;1651257902.5385113
90;0.24338190257549286;261;1651257906.0834868
91;0.22543366253376007;272;1651257919.1596408
92;0.22055920958518982;276;1651257923.9371336
93;0.2173285335302353;278;1651257926.2983074
94;0.21553507447242737;281;1651257929.843824
95;0.2146085649728775;282;1651257931.0242007
96;0.21433435380458832;285;1651257934.6005254
97;0.21347974240779877;287;1651257936.9743972
98;0.20450499653816223;298;1651257950.0252008
99;0.2031206637620926;300;1651257952.3902957
100;0.20386886596679688;302;1651257962.5438645
101;0.20378920435905457;303;1651257963.7239244
102;0.20358631014823914;306;1651257967.2943976
103;0.201302632689476;308;1651257969.6695724
104;0.19921435415744781;314;1651257976.760301
105;0.19355791807174683;322;1651257986.2818305
106;0.19080477952957153;324;1651257988.673637
107;0.18921974301338196;325;1651257989.8569705
108;0.18739518523216248;326;1651257991.0424454
109;0.1871427595615387;327;1651257992.212555
110;0.18722116947174072;328;1651257993.3803315
111;0.18695782124996185;329;1651257994.5591965
112;0.18514762818813324;333;1651257999.2587059
113;0.18329910933971405;334;1651258000.4390337
114;0.18101643025875092;339;1651258006.3034875
115;0.18140998482704163;340;1651258007.478474
116;0.18123124539852142;341;1651258008.6586785
117;0.18031807243824005;342;1651258009.825092
118;0.1797252744436264;343;1651258010.992363
119;0.17896674573421478;344;1651258012.161518
120;0.18100649118423462;353;1651258022.83379
121;0.18165439367294312;354;1651258024.0142772
122;0.18006956577301025;356;1651258026.3886757
123;0.18060076236724854;357;1651258027.5618262
124;0.18043206632137299;364;1651258035.849482
125;0.1782919019460678;371;1651258044.965629
126;0.1793137937784195;373;1651258047.6629012
127;0.17918060719966888;375;1651258050.3708045
128;0.1780061572790146;377;1651258053.0895813
129;0.17727553844451904;379;1651258055.774283
130;0.17532756924629211;382;1651258059.8169851
131;0.17400118708610535;383;1651258061.1527255
132;0.1708863377571106;388;1651258067.8954995
133;0.17070063948631287;389;1651258069.2530851
134;0.1692383885383606;392;1651258073.2834437
135;0.1695135533809662;396;1651258078.6619117
136;0.1722361147403717;399;1651258082.6952422
137;0.1688937097787857;405;1651258099.9552245
138;0.16844861209392548;406;1651258101.293913
139;0.16700807213783264;412;1651258109.409638
140;0.1668166220188141;413;1651258110.754471
141;0.16687068343162537;414;1651258112.091404
142;0.1663019359111786;415;1651258113.4277403
143;0.16501687467098236;420;1651258120.189425
144;0.16477541625499725;421;1651258121.5307915
145;0.1644384115934372;425;1651258126.884722
146;0.1639736443758011;427;1651258129.5944915
147;0.1622784435749054;430;1651258133.6218407
148;0.16002404689788818;437;1651258143.042778
149;0.15494073927402496;443;1651258151.1059525
150;0.15459179878234863;444;1651258152.4439251
