;update/loss/actor;Steps;Wall_Time
117;-3.744525194168091;342;1651415323.9384568
118;-3.743194818496704;343;1651415325.5004406
119;-3.7445361614227295;344;1651415327.0910552
120;-3.75126576423645;353;1651415341.3401632
121;-3.7524049282073975;354;1651415342.9206865
122;-3.752321720123291;356;1651415346.0417132
123;-3.752328872680664;357;1651415347.6025126
124;-3.755894184112549;364;1651415358.6077158
125;-3.7593276500701904;371;1651415369.6635034
126;-3.7626588344573975;373;1651415372.8105068
127;-3.763004779815674;375;1651415375.9295616
128;-3.7631049156188965;377;1651415379.0438144
129;-3.7650058269500732;379;1651415382.202814
130;-3.7662441730499268;382;1651415386.9108977
131;-3.769561290740967;383;1651415388.465141
132;-3.7670984268188477;388;1651415396.2437725
133;-3.7667946815490723;389;1651415397.8042448
134;-3.767822742462158;392;1651415402.4992585
135;-3.771942615509033;396;1651415408.7868652
136;-3.773503541946411;399;1651415413.4697204
137;-3.776426076889038;405;1651415426.0020027
138;-3.778378963470459;406;1651415427.623098
139;-3.779689073562622;412;1651415436.9910965
140;-3.7776477336883545;413;1651415438.535192
141;-3.7765703201293945;414;1651415440.078871
142;-3.776334047317505;415;1651415441.647931
143;-3.7766711711883545;420;1651415449.5084593
144;-3.77831768989563;421;1651415451.057915
145;-3.7836267948150635;425;1651415457.3097594
146;-3.7808401584625244;427;1651415460.4540017
147;-3.7807650566101074;430;1651415465.2135696
148;-3.7841241359710693;437;1651415476.1246946
149;-3.7883989810943604;443;1651415485.5601668
150;-3.788548469543457;444;1651415487.1264756
151;-3.7893621921539307;445;1651415488.6764655
152;-3.7854037284851074;447;1651415491.8153234
153;-3.7841029167175293;451;1651415498.0901928
154;-3.7798373699188232;455;1651415504.442994
155;-3.7825422286987305;457;1651415507.574159
156;-3.7815968990325928;466;1651415521.7375836
157;-3.7814414501190186;470;1651415528.0348196
158;-3.7836086750030518;477;1651415538.950486
159;-3.786010265350342;486;1651415553.0778408
160;-3.7864797115325928;493;1651415564.074715
161;-3.787851572036743;494;1651415565.6421065
162;-3.783308267593384;497;1651415570.318966
163;-3.7847485542297363;500;1651415575.0070884
164;-3.785700559616089;505;1651415586.2228386
165;-3.7835185527801514;506;1651415587.7833223
166;-3.787553071975708;508;1651415590.898392
167;-3.7866311073303223;512;1651415597.111501
168;-3.7890024185180664;514;1651415600.2915382
169;-3.7892673015594482;521;1651415611.2284875
170;-3.7885704040527344;523;1651415614.3597445
171;-3.787696123123169;527;1651415620.6475086
172;-3.7897796630859375;531;1651415626.8554618
173;-3.7886431217193604;533;1651415629.9514096
174;-3.790437698364258;538;1651415637.81763
175;-3.790018320083618;539;1651415639.3700132
176;-3.791722536087036;544;1651415647.1448603
177;-3.7914586067199707;545;1651415648.7190027
178;-3.792663335800171;546;1651415650.288922
179;-3.795131206512451;547;1651415651.8729355
180;-3.7931344509124756;548;1651415653.4251401
181;-3.795248508453369;549;1651415654.971401
182;-3.7939465045928955;551;1651415658.1387157
183;-3.7958035469055176;552;1651415659.7043538
184;-3.7940378189086914;553;1651415661.2641551
185;-3.7970638275146484;556;1651415665.9310317
186;-3.7951853275299072;561;1651415673.7350836
187;-3.794764995574951;565;1651415680.0460553
188;-3.7950737476348877;572;1651415690.973553
189;-3.796156406402588;578;1651415700.4099424
190;-3.79697585105896;579;1651415701.97402
191;-3.7967913150787354;581;1651415705.061362
192;-3.8002288341522217;591;1651415720.6787505
193;-3.80342435836792;597;1651415729.9827929
194;-3.8024520874023438;598;1651415731.5414214
195;-3.8010988235473633;599;1651415733.1570046
196;-3.8003644943237305;601;1651415739.7248676
197;-3.8027215003967285;607;1651415749.108921
198;-3.8015520572662354;608;1651415750.658138
199;-3.8029606342315674;609;1651415752.221904
200;-3.803154706954956;616;1651415763.258459
201;-3.8030481338500977;619;1651415767.936145
