;Critic2LR;Steps;Wall_Time
41;9.999999747378752e-06;63360;1651184445.1901793
42;9.999999747378752e-06;64000;1651184488.2979126
43;9.999999747378752e-06;64640;1651184489.4888089
44;9.999999747378752e-06;65920;1651184492.1802323
45;9.999999747378752e-06;66560;1651184493.5217898
46;9.999999747378752e-06;67840;1651184496.2109382
47;9.999999747378752e-06;68480;1651184497.5512483
48;9.999999747378752e-06;71040;1651184502.7164564
49;9.999999747378752e-06;74240;1651184509.1809666
50;9.999999747378752e-06;75520;1651184511.8704965
51;9.999999747378752e-06;76160;1651184513.0588872
52;9.999999747378752e-06;77440;1651184515.749845
53;9.999999747378752e-06;78080;1651184517.086677
54;9.999999747378752e-06;80000;1651184521.0344436
55;9.999999747378752e-06;81280;1651184523.5462196
56;9.999999747378752e-06;81920;1651184524.8891082
57;9.999999747378752e-06;83840;1651184528.895753
58;9.999999747378752e-06;84480;1651184530.246553
59;9.999999747378752e-06;85760;1651184532.7633002
60;9.999999747378752e-06;87040;1651184535.4376342
61;9.999999747378752e-06;88320;1651184538.131965
62;9.999999747378752e-06;88960;1651184539.417727
63;9.999999747378752e-06;89600;1651184540.610016
64;9.999999747378752e-06;90880;1651184543.1069386
65;9.999999747378752e-06;92160;1651184545.4828084
66;9.999999747378752e-06;92800;1651184546.8275952
67;9.999999747378752e-06;93440;1651184548.01326
68;9.999999747378752e-06;95360;1651184551.6870613
69;9.999999747378752e-06;96640;1651184553.9907696
70;9.999999747378752e-06;97280;1651184555.3078718
71;9.999999747378752e-06;98560;1651184557.67495
72;9.999999747378752e-06;99840;1651184560.2290945
73;9.999999747378752e-06;101120;1651184562.5848005
74;9.999999747378752e-06;102400;1651184564.8636594
75;9.999999747378752e-06;103040;1651184566.0416875
76;9.999999747378752e-06;105600;1651184570.7010868
77;9.999999747378752e-06;106880;1651184573.0484009
78;9.999999747378752e-06;109440;1651184577.6935577
79;9.999999747378752e-06;112000;1651184582.418995
80;9.999999747378752e-06;112640;1651184583.5947158
81;9.999999747378752e-06;116480;1651184591.302079
82;9.999999747378752e-06;120320;1651184598.7189684
83;9.999999747378752e-06;121600;1651184601.2475078
84;9.999999747378752e-06;124160;1651184606.2205043
85;9.999999747378752e-06;126080;1651184610.0091336
86;9.999999747378752e-06;126720;1651184611.3456433
87;9.999999747378752e-06;128640;1651184655.2140431
88;9.999999747378752e-06;129280;1651184656.3941617
89;9.999999747378752e-06;129920;1651184657.7167103
90;9.999999747378752e-06;131200;1651184660.1307623
91;9.999999747378752e-06;131840;1651184661.3067317
92;9.999999747378752e-06;135040;1651184667.6662922
93;9.999999747378752e-06;135680;1651184669.1664557
94;9.999999747378752e-06;136320;1651184670.334247
95;9.999999747378752e-06;136960;1651184671.663418
96;9.999999747378752e-06;137600;1651184672.923255
97;9.999999747378752e-06;138240;1651184674.3133974
98;9.999999747378752e-06;139520;1651184676.7891192
99;9.999999747378752e-06;140160;1651184678.2649329
100;9.999999747378752e-06;140800;1651184679.4360828
101;9.999999747378752e-06;141440;1651184680.7660346
102;9.999999747378752e-06;142720;1651184683.4437056
103;9.999999747378752e-06;144000;1651184685.9617105
104;9.999999747378752e-06;145280;1651184688.6436677
105;9.999999747378752e-06;146560;1651184691.14088
106;9.999999747378752e-06;148480;1651184695.1353905
107;9.999999747378752e-06;150400;1651184698.9734852
108;9.999999747378752e-06;151040;1651184700.309399
109;9.999999747378752e-06;152960;1651184704.3308125
110;9.999999747378752e-06;153600;1651184705.6682453
111;9.999999747378752e-06;154880;1651184708.1695454
112;9.999999747378752e-06;158720;1651184716.1686833
113;9.999999747378752e-06;160000;1651184718.6936681
114;9.999999747378752e-06;160640;1651184720.045888
115;9.999999747378752e-06;161280;1651184721.379288
116;9.999999747378752e-06;161920;1651184722.6072254
117;9.999999747378752e-06;163200;1651184725.3675208
118;9.999999747378752e-06;164480;1651184727.8972762
119;9.999999747378752e-06;165760;1651184730.5753555
120;9.999999747378752e-06;166400;1651184731.7562094
121;9.999999747378752e-06;169600;1651184738.3768878
122;9.999999747378752e-06;170240;1651184739.7150168
123;9.999999747378752e-06;171520;1651184742.2092693
124;9.999999747378752e-06;173440;1651184746.0933363
125;9.999999747378752e-06;174720;1651184748.950064
126;9.999999747378752e-06;175360;1651184750.1131597
127;9.999999747378752e-06;176000;1651184751.4509883
128;9.999999747378752e-06;177280;1651184754.1364226
129;9.999999747378752e-06;179200;1651184758.0951495
130;9.999999747378752e-06;179840;1651184759.2646906
131;9.999999747378752e-06;181760;1651184763.2954848
132;9.999999747378752e-06;182400;1651184764.4350066
133;9.999999747378752e-06;183040;1651184765.9186687
134;9.999999747378752e-06;184320;1651184768.4187694
135;9.999999747378752e-06;186240;1651184772.3769293
136;9.999999747378752e-06;186880;1651184773.5091455
137;9.999999747378752e-06;187520;1651184774.8666372
138;9.999999747378752e-06;190080;1651184780.1007497
139;9.999999747378752e-06;191360;1651184782.5537364
140;9.999999747378752e-06;192640;1651184825.7264621
141;9.999999747378752e-06;193280;1651184826.908775
142;9.999999747378752e-06;193920;1651184828.0919814
143;9.999999747378752e-06;194560;1651184829.3317187
144;9.999999747378752e-06;195200;1651184830.5731542
145;9.999999747378752e-06;196480;1651184832.8307295
146;9.999999747378752e-06;199680;1651184839.0284836
147;9.999999747378752e-06;200320;1651184840.206653
148;9.999999747378752e-06;200960;1651184841.3882022
149;9.999999747378752e-06;204800;1651184848.63158
150;9.999999747378752e-06;205440;1651184849.79306
151;9.999999747378752e-06;206720;1651184852.47527
152;9.999999747378752e-06;207360;1651184853.8163438
