;update/alpha;Steps;Wall_Time
0;0.7593908905982971;999;1650978107.5222254
1;0.5811529755592346;1999;1650979708.2707424
2;0.4403857886791229;2999;1650981311.8417053
3;0.3288741707801819;3999;1650982913.916187
4;0.2433784455060959;4999;1650984515.8871646
5;0.17975984513759613;5999;1650986116.9270968
6;0.133215069770813;6999;1650987723.0975122
7;0.09856360405683517;7999;1650989324.6525679
8;0.07299889624118805;8999;1650990934.8209355
9;0.05446770414710045;9999;1650992527.269029
10;0.04115254431962967;10999;1650994098.2338037
11;0.03166574239730835;11999;1650995664.851432
12;0.0244080051779747;12999;1650997278.0968595
13;0.018948227167129517;13999;1650998907.2792265
14;0.014781962148845196;14999;1651000475.0658731
15;0.010921237990260124;15999;1651002047.0971897
16;0.008008102886378765;16999;1651003621.921677
17;0.005978335160762072;17999;1651005188.3747215
18;0.004256049171090126;18999;1651006755.6800847
19;0.0032771495170891285;19999;1651008327.476087
20;0.0024389675818383694;20999;1651009916.1630373
21;0.0017798601184040308;21999;1651011493.155504
22;0.0013614314375445247;22999;1651013075.8719265
23;0.0010639585088938475;23999;1651014641.0734987
24;0.0007966191042214632;24999;1651016208.9909542
25;0.0006070641684345901;25999;1651017779.3907905
26;0.000414589507272467;26999;1651019349.7754557
27;0.00031725707231089473;27999;1651020924.5583494
28;0.0002401661331532523;28999;1651022495.1786857
29;0.0001784570049494505;29999;1651024067.6024525
30;0.00012328448065090925;30999;1651025684.5658114
31;8.508596511092037e-05;31999;1651027266.2801678
32;6.211924483068287e-05;32999;1651028839.2052298
33;4.566639836411923e-05;33999;1651030431.5686324
34;3.624386226874776e-05;34999;1651032003.5533936
35;2.765671342785936e-05;35999;1651033586.7418828
36;1.9899080143659376e-05;36999;1651035155.4842212
37;1.4277343325375114e-05;37999;1651036725.1496665
38;1.0392161129857413e-05;38999;1651038294.1474385
39;7.712291335337795e-06;39999;1651039866.573661
40;5.65481332159834e-06;40999;1651041441.6494794
41;4.288207037461689e-06;41999;1651043013.564219
42;3.6640794860431924e-06;42999;1651044605.2414823
43;2.9202099085523514e-06;43999;1651046177.08077
44;2.5957144771382445e-06;44999;1651047792.458912
45;2.176520183638786e-06;45999;1651049360.799195
46;1.6444151924588368e-06;46999;1651050962.506843
47;1.1387087397451978e-06;47999;1651052534.5572956
48;7.864369422350137e-07;48999;1651054107.7871027
49;5.508995286618301e-07;49999;1651055681.0846257
50;3.9290969766625494e-07;50999;1651057267.1698933
51;2.781172554477962e-07;51999;1651058837.754252
52;1.9620759417193767e-07;52999;1651060410.24161
53;1.391542667761314e-07;53999;1651061985.432616
54;9.88279040825546e-08;54999;1651063589.4865444
55;7.281920488821925e-08;55999;1651065171.0253122
56;5.487394005854185e-08;56999;1651066797.36926
57;4.207384307619577e-08;57999;1651068369.0629163
58;3.274615067994091e-08;58999;1651069975.4842157
59;2.5584020235669414e-08;59999;1651071547.583946
60;1.9715731269798198e-08;60999;1651073123.3908553
61;1.4932586722693486e-08;61999;1651074696.0053282
62;1.1193320048619171e-08;62999;1651076266.224099
63;8.34993407750062e-09;63999;1651077846.4124656
64;6.221645865167602e-09;64999;1651079422.6654873
65;4.605422709857976e-09;65999;1651080996.213898
66;3.4060714249051216e-09;66999;1651082566.210944
67;2.5282256288505778e-09;67999;1651084191.7427275
68;1.870681165527799e-09;68999;1651085776.838503
69;1.3860672609666835e-09;69999;1651087335.1861274
