;update/alpha;Steps;Wall_Time
0;0.9980036020278931;3;1651414774.6030767
1;0.9965119361877441;6;1651414779.4595253
2;0.995519757270813;8;1651414782.6824825
3;0.9915739297866821;16;1651414795.6348572
4;0.9910836219787598;17;1651414797.252632
5;0.9905938506126404;18;1651414798.8742874
6;0.9886395931243896;22;1651414805.24701
7;0.9881519079208374;23;1651414806.9171338
8;0.987664520740509;24;1651414808.526132
9;0.985232412815094;29;1651414816.5986989
10;0.9842621088027954;31;1651414819.7945204
11;0.9832932949066162;33;1651414822.9683022
12;0.9808773398399353;38;1651414831.012518
13;0.9799131751060486;40;1651414834.2021372
14;0.9784695506095886;43;1651414838.9838765
15;0.9751131534576416;50;1651414850.2070172
16;0.9741570353507996;52;1651414853.3951023
17;0.9736794233322144;53;1651414854.995703
18;0.9717724323272705;57;1651414861.3790042
19;0.9670271277427673;67;1651414877.3278387
20;0.9665541648864746;68;1651414878.9173775
21;0.9656091928482056;70;1651414882.083831
22;0.9641938209533691;73;1651414886.915929
23;0.9613713622093201;79;1651414896.428747
24;0.959964394569397;82;1651414901.229282
25;0.959496021270752;83;1651414902.8878553
26;0.9585601091384888;85;1651414906.0452476
27;0.9580925703048706;86;1651414907.6397886
28;0.9562252759933472;90;1651414913.9603956
29;0.9538977146148682;95;1651414921.929173
30;0.9534330368041992;96;1651414923.5200405
31;0.9529685974121094;97;1651414925.105115
32;0.9515768885612488;100;1651414929.9019015
33;0.9496933817863464;102;1651414935.9412668
34;0.9468755722045898;105;1651414940.6971633
35;0.9450017809867859;107;1651414943.9334397
36;0.9440662860870361;108;1651414945.5291913
37;0.9403335452079773;112;1651414951.861776
38;0.935687780380249;117;1651414959.7706017
39;0.9338354468345642;119;1651414963.0370934
40;0.931063175201416;122;1651414967.7960298
41;0.9301407933235168;123;1651414969.3835196
42;0.9255417585372925;128;1651414977.2963374
43;0.9218778014183044;132;1651414983.6613965
44;0.9191386103630066;135;1651414988.414752
45;0.9173166155815125;137;1651414991.602444
46;0.9154979586601257;139;1651414994.7782402
47;0.9145898818969727;140;1651414996.3633296
48;0.9118704795837402;143;1651415001.1673973
49;0.9091585278511047;146;1651415005.949026
50;0.9082562327384949;147;1651415007.509112
51;0.9055543541908264;150;1651415012.2047765
52;0.9037573933601379;152;1651415015.3634655
53;0.9010682702064514;155;1651415020.1892989
54;0.8992795944213867;157;1651415023.3294234
55;0.89571213722229;161;1651415029.6897373
56;0.894822359085083;162;1651415031.2955916
57;0.8912719488143921;166;1651415037.6800969
58;0.8895017504692078;168;1651415040.936491
59;0.8859711289405823;172;1651415047.2760012
60;0.8824533224105835;176;1651415053.7130182
61;0.8711105585098267;189;1651415074.4472876
62;0.8693782091140747;191;1651415077.7186878
63;0.8659234642982483;195;1651415084.0646157
64;0.8624825477600098;199;1651415090.3962865
65;0.8599111437797546;202;1651415098.2388792
66;0.859055757522583;203;1651415099.8285937
67;0.858201265335083;204;1651415101.4237123
68;0.8564949035644531;206;1651415104.595786
69;0.8556429743766785;207;1651415106.1581426
70;0.8513965606689453;212;1651415114.09158
71;0.8505498170852661;213;1651415115.6844203
72;0.8497039079666138;214;1651415117.3453689
73;0.8488588333129883;215;1651415118.9435706
74;0.8471713066101074;217;1651415122.108191
75;0.8446465730667114;220;1651415126.890101
76;0.843806803226471;221;1651415128.5024965
77;0.8429678678512573;222;1651415130.0987859
78;0.8412925601005554;224;1651415133.281534
79;0.8396207094192505;226;1651415136.4832768
