;avg_cost;Steps;Wall_Time
0;8.286917686462402;20480;1649675933.336961
1;7.4017252922058105;51200;1649675933.5457091
2;6.99263858795166;71680;1649675933.6747525
3;5.900125980377197;153600;1649675934.1726575
4;5.773946762084961;163840;1649675934.236785
5;5.366642951965332;215040;1649675934.5738776
6;5.4049577713012695;225280;1649675934.6419513
7;5.278323173522949;235520;1649675934.704355
8;5.106792449951172;286720;1649675935.0424469
9;5.066378593444824;307200;1649675935.1794815
10;4.940672397613525;378880;1649675935.6583097
11;4.924368858337402;399360;1649675935.7842762
12;4.88389253616333;430080;1649675935.9804854
13;4.819645881652832;501760;1649675936.4194148
14;4.763725757598877;522240;1649675936.54537
15;4.800473213195801;532480;1649675936.6041093
16;4.772588729858398;573440;1649675936.8497596
17;4.6797099113464355;675840;1649675937.4633787
18;4.6694793701171875;686080;1649675937.522419
19;4.678049564361572;706560;1649675937.6469088
20;4.6701979637146;737280;1649675937.827421
21;4.669803142547607;798720;1649675938.198328
22;4.639941692352295;829440;1649675938.3848922
23;4.65062141418457;839680;1649675938.4566247
24;4.618922233581543;870400;1649675938.675331
25;4.6120758056640625;911360;1649675938.977444
26;4.601091384887695;962560;1649675939.3433633
27;4.598058700561523;972800;1649675939.4140356
28;4.610480308532715;983040;1649675939.479566
29;4.591973781585693;1013760;1649675939.6828647
30;4.5654449462890625;1064960;1649675942.693216
31;4.542937278747559;1085440;1649675942.8288805
32;4.565840721130371;1095680;1649675942.899009
33;4.5354156494140625;1136640;1649675943.1566722
34;4.516927719116211;1187840;1649675943.4756424
35;4.480504035949707;1208320;1649675943.6082792
36;4.488921165466309;1239040;1649675943.808032
37;4.485387802124023;1249280;1649675943.8726945
38;4.481310844421387;1300480;1649675944.1866498
39;4.457455635070801;1341440;1649675944.443546
40;4.495020389556885;1372160;1649675944.6307838
41;4.508955955505371;1392640;1649675944.76196
42;4.513823509216309;1413120;1649675944.8835857
43;4.465240478515625;1454080;1649675945.150501
44;4.448966979980469;1484800;1649675945.3467302
45;4.453338146209717;1495040;1649675945.4111133
46;4.457864761352539;1525760;1649675945.6141036
47;4.4462690353393555;1546240;1649675945.7551305
48;4.369190692901611;1597440;1649675946.0823743
49;4.437177658081055;1638400;1649675946.340686
50;4.409725189208984;1648640;1649675946.3987033
51;4.410146713256836;1689600;1649675946.6712487
52;4.428110599517822;1710080;1649675946.8031235
53;4.390344619750977;1751040;1649675947.0614605
54;4.359806060791016;1792000;1649675947.3332884
55;4.352748870849609;1925120;1649675948.1786714
56;4.340712070465088;1945600;1649675948.3067648
57;4.339038372039795;1986560;1649675948.5682108
58;4.361199855804443;2027520;1649675948.8420634
59;4.321719169616699;2058240;1649675951.6963515
60;4.315032958984375;2068480;1649675951.7696257
61;4.364696502685547;2078720;1649675951.84398
62;4.3174662590026855;2099200;1649675951.9961863
63;4.318696022033691;2109440;1649675952.0764732
64;4.323132514953613;2160640;1649675952.4431787
65;4.306967735290527;2170880;1649675952.5166903
66;4.341269493103027;2181120;1649675952.593206
67;4.320495128631592;2191360;1649675952.6650953
68;4.310297966003418;2211840;1649675952.805996
69;4.318497657775879;2242560;1649675952.9768279
70;4.349689960479736;2252800;1649675953.0235357
71;4.330756187438965;2263040;1649675953.0700984
72;4.29875373840332;2283520;1649675953.1629388
73;4.360696792602539;2304000;1649675953.2557056
74;4.315878391265869;2324480;1649675953.351492
75;4.344259262084961;2344960;1649675953.444402
76;4.281767845153809;2375680;1649675953.5854063
77;4.273175239562988;2406400;1649675953.7240062
78;4.301699161529541;2447360;1649675953.9059093
79;4.293168067932129;2560000;1649675954.4130194
80;4.299008369445801;2580480;1649675954.508567
81;4.262295722961426;2611200;1649675954.6764357
82;4.277580738067627;2631680;1649675954.8126204
83;4.264407634735107;2662400;1649675955.0230663
84;4.230409145355225;2775040;1649675955.8102612
85;4.221287250518799;2816000;1649675956.0913737
86;4.20894718170166;2836480;1649675956.2320538
87;4.202486515045166;2867200;1649675956.4449894
88;4.230696678161621;2877440;1649675956.5164368
89;4.218105316162109;2908160;1649675956.7289605
90;4.195293426513672;2928640;1649675956.8701437
91;4.202071189880371;3041280;1649675957.6137724
92;4.233365058898926;3061760;1649675957.7523587
93;4.190290927886963;3082240;1649675960.6169484
94;4.21025276184082;3092480;1649675960.687284
95;4.215864181518555;3123200;1649675960.89865
96;4.216306686401367;3143680;1649675961.027355
97;4.185670852661133;3205120;1649675961.4140687
98;4.211069107055664;3307520;1649675962.0759957
99;4.176234245300293;3317760;1649675962.1385386
100;4.189299583435059;3328000;1649675962.1981273
101;4.159420490264893;3338240;1649675962.2592816
102;4.194253921508789;3348480;1649675962.3250463
103;4.163431167602539;3358720;1649675962.393976
104;4.159048080444336;3399680;1649675962.6604426
105;4.189693927764893;3409920;1649675962.726497
106;4.20651388168335;3461120;1649675963.0684013
107;4.161837577819824;3481600;1649675963.209603
108;4.178110122680664;3491840;1649675963.2758813
109;4.161972999572754;3502080;1649675963.3448727
110;4.174420356750488;3512320;1649675963.4108524
111;4.180457592010498;3604480;1649675964.020397
112;4.141335487365723;3614720;1649675964.082314
113;4.189448356628418;3645440;1649675964.28024
114;4.153324127197266;3717120;1649675964.7380133
115;4.165741920471191;3788800;1649675965.197011
116;4.16247034072876;3809280;1649675965.335808
117;4.1696882247924805;3829760;1649675965.47382
118;4.130457878112793;3850240;1649675965.6092567
119;4.170141696929932;3870720;1649675965.7444458
120;4.149131774902344;3901440;1649675965.9346066
121;4.124788284301758;3911680;1649675965.9969313
122;4.131498336791992;3973120;1649675966.409656
123;4.132028579711914;4003840;1649675966.6114564
124;4.1525139808654785;4044800;1649675966.8636053
125;4.151761054992676;4075520;1649675967.0698698
126;4.148438453674316;4136960;1649675970.1761556
127;4.156739234924316;4147200;1649675970.2489421
128;4.136963844299316;4208640;1649675970.6715646
129;4.11741828918457;4218880;1649675970.7439241
130;4.1453657150268555;4229120;1649675970.8128018
131;4.1424665451049805;4239360;1649675970.884303
132;4.113690376281738;4290560;1649675971.2382708
133;4.136302947998047;4300800;1649675971.3080258
134;4.133669376373291;4341760;1649675971.612312
135;4.122483730316162;4392960;1649675971.9630237
136;4.129961967468262;4464640;1649675972.4599102
137;4.097667217254639;4526080;1649675972.8932428
138;4.138445854187012;4536320;1649675972.9650307
139;4.112801551818848;4546560;1649675973.033403
140;4.120870590209961;4567040;1649675973.1766114
141;4.107393264770508;4608000;1649675973.464461
142;4.119604110717773;4648960;1649675973.748425
143;4.135038375854492;4669440;1649675973.8857772
144;4.0997538566589355;4761600;1649675974.4856448
145;4.090653419494629;4802560;1649675974.779519
146;4.089943885803223;4874240;1649675975.2767909
147;4.097443580627441;4966400;1649675975.9097922
148;4.100090980529785;5038080;1649675976.3750849
149;4.118542671203613;5079040;1649675976.6569128
150;4.0906524658203125;5109760;1649675976.84506
151;4.128689289093018;5160960;1649675979.6594467
152;4.096718788146973;5171200;1649675979.7276566
153;4.120134353637695;5191680;1649675979.8555675
154;4.0860748291015625;5232640;1649675980.177831
155;4.085137844085693;5253120;1649675980.327981
156;4.079174995422363;5324800;1649675980.8749092
157;4.080600738525391;5345280;1649675981.02802
158;4.09100866317749;5386240;1649675981.3356416
159;4.089221000671387;5427200;1649675981.6381614
160;4.092009544372559;5447680;1649675981.7916112
161;4.072338104248047;5498880;1649675982.1677601
162;4.07978630065918;5509120;1649675982.2425718
163;4.100928783416748;5560320;1649675982.6167088
164;4.089716911315918;5570560;1649675982.6948164
165;4.095533847808838;5580800;1649675982.7726111
166;4.111908912658691;5632000;1649675983.1432343
167;4.105314254760742;5642240;1649675983.2182622
168;4.068077564239502;5652480;1649675983.2902706
169;4.085524082183838;5734400;1649675983.903879
170;4.083499908447266;5775360;1649675984.2034345
171;4.093273162841797;5847040;1649675984.7366097
172;4.094050884246826;5908480;1649675985.205676
173;4.126599311828613;5918720;1649675985.2826462
174;4.071866035461426;5939200;1649675985.430655
175;4.078277111053467;6041600;1649675986.1937032
176;4.08371114730835;6103040;1649675986.668659
177;4.086879730224609;6113280;1649675986.7441866
178;4.089872360229492;6123520;1649675986.819548
179;4.056868076324463;6144000;1649675990.1771739
180;4.084912300109863;6205440;1649675990.6207883
181;4.1038970947265625;6215680;1649675990.6900613
182;4.066954612731934;6225920;1649675990.7564468
183;4.087196350097656;6297600;1649675991.2647858
184;4.096643447875977;6328320;1649675991.4919932
185;4.064508438110352;6369280;1649675991.7848847
186;4.084123611450195;6400000;1649675991.9831848
187;4.084334373474121;6451200;1649675992.363432
188;4.103870391845703;6461440;1649675992.4479308
189;4.08228874206543;6481920;1649675992.6198153
190;4.051324844360352;6533120;1649675993.0307057
191;4.092405319213867;6584320;1649675993.442165
192;4.072091579437256;6656000;1649675993.9661517
193;4.061676025390625;6676480;1649675994.1101866
194;4.082704544067383;6686720;1649675994.1742659
195;4.076871871948242;6707200;1649675994.3212972
196;4.02769136428833;6727680;1649675994.4757462
197;4.067863941192627;6799360;1649675994.981565
198;4.0808563232421875;6819840;1649675995.124992
199;4.055323600769043;6840320;1649675995.276161
200;4.072704315185547;6850560;1649675995.352008
201;4.099295139312744;6881280;1649675995.5901194
202;4.092162132263184;6942720;1649675995.9886522
203;4.094655990600586;7014400;1649675996.5063233
204;4.068500518798828;7075840;1649675996.9297268
205;4.0703606605529785;7106560;1649675997.138896
206;4.059326648712158;7168000;1649676000.0490057
207;4.100777626037598;7208960;1649676000.3309999
208;4.0490264892578125;7229440;1649676000.4749744
209;4.068869590759277;7239680;1649676000.5452797
210;4.089197635650635;7260160;1649676000.6791291
211;4.062262535095215;7270400;1649676000.7400072
212;4.059551239013672;7301120;1649676000.9449458
213;4.07574462890625;7403520;1649676001.60643
214;4.062116622924805;7444480;1649676001.8906746
215;4.054148197174072;7454720;1649676001.9663768
216;4.045865058898926;7505920;1649676002.3536294
217;4.035218238830566;7526400;1649676002.5043824
218;4.036296367645264;7577600;1649676002.8548722
219;4.073122024536133;7639040;1649676003.288257
