problem,graph_size,embedding_dim,hidden_dim,n_encode_layers,normalization,tanh_clipping,rl_algorithm,lr_actor,lr_critic1,lr_critic2,lr_scheduler_type,decay_lr,lr_decay,cyc_base_lr,cyc_max_lr,cyc_step_size_up,cyc_step_size_down,decay_eps,n_train_envs,n_test_envs,epc_factor,bs_factor,es_factor,te_factor,gamma,n_step,target_freq,eps_train,eps_test,repeat_per_collect,critic_class_str,eps_clip,vf_coef,ent_coef,gae_lambda,critics_embedding_dim,tau,alpha_ent,target_ent,lr_alpha_ent,n_epochs,seed,data_distribution,run_name
tsp,20,128,128,3,instance,0.0,DQN,5E-04,,,exp,TRUE,0.9999,,,,,TRUE,64,64,4,20,100,20,1.0,1,100,0.5,0.2,,,,,,,,,,,,100,,dist,DQN_default
tsp,20,128,128,3,instance,0.0,PG,5E-05,,,exp,TRUE,0.9999,,,,,,64,64,4,,100,20,1.0,,,,,1,,,,,,,,,,,100,,dist,PG_default
tsp,20,128,128,3,instance,0.0,PPO,1E-04,1E-04,,exp,TRUE,0.9999,,,,,,64,64,4,,100,20,1.0,,,,,1,v3,0.2,0.5,0.01,1.00,64,,,,,100,,dist,PPO_default
tsp,20,128,128,3,instance,0.0,SAC,1E-04,1E-05,1E-05,,,,,,,,,64,64,4,1,100,20,1.0,,,,,,v3,,,,,64,0.005,,-1,3E-04,100,,dist,SAC_default
tsp,20,128,128,3,instance,0.0,A2C,1E-04,5E-05,,exp,TRUE,0.9999,,,,,,64,64,4,,100,20,1.0,,,,,1,v3,,0.5,0.01,1.00,64,,,,,100,,dist,A2C_default
