;train/episode;Steps;Wall_Time
0;128.0;2560;1649550527.4008644
1;128.0;5120;1649550528.3426552
2;128.0;7680;1649550529.2485678
3;128.0;10240;1649550530.1544435
4;128.0;12800;1649550531.0587573
5;128.0;15360;1649550531.9626763
6;128.0;17920;1649550532.8704736
7;128.0;20480;1649550533.7804832
8;128.0;23040;1649550534.6870284
9;128.0;25600;1649550535.5982091
10;128.0;28160;1649550536.5335135
11;128.0;30720;1649550537.4517522
12;128.0;33280;1649550538.3561492
13;128.0;35840;1649550539.2561154
14;128.0;38400;1649550540.1617613
15;128.0;40960;1649550541.0660489
16;128.0;43520;1649550541.965935
17;128.0;46080;1649550542.8721118
18;128.0;48640;1649550543.7822676
19;128.0;51200;1649550544.6908388
20;128.0;53760;1649550545.6001437
21;128.0;56320;1649550546.5055673
22;128.0;58880;1649550547.4522243
23;128.0;61440;1649550548.3580818
24;128.0;64000;1649550549.2706504
25;128.0;66560;1649550550.1768513
26;128.0;69120;1649550551.0861506
27;128.0;71680;1649550551.9928617
28;128.0;74240;1649550552.9015102
29;128.0;76800;1649550553.8129003
30;128.0;79360;1649550554.7210927
31;128.0;81920;1649550555.6292222
32;128.0;84480;1649550556.5398252
33;128.0;87040;1649550557.4652612
34;128.0;89600;1649550558.384651
35;128.0;92160;1649550559.290962
36;128.0;94720;1649550560.1988146
37;128.0;97280;1649550561.1105003
38;128.0;99840;1649550562.012075
39;128.0;102400;1649550562.9209678
40;128.0;104960;1649550563.830868
41;128.0;107520;1649550564.7350776
42;128.0;110080;1649550565.6413012
43;128.0;112640;1649550566.5591383
44;128.0;115200;1649550567.4737537
45;128.0;117760;1649550568.4087498
46;128.0;120320;1649550569.314302
47;128.0;122880;1649550570.2265518
48;128.0;125440;1649550571.1356351
49;128.0;128000;1649550572.0430324
50;128.0;130560;1649550572.9534354
51;128.0;133120;1649550573.8640294
52;128.0;135680;1649550574.7681923
53;128.0;138240;1649550575.6731803
54;128.0;140800;1649550576.5804875
55;128.0;143360;1649550577.4884672
56;128.0;145920;1649550578.414586
57;128.0;148480;1649550579.3359764
58;128.0;151040;1649550580.2432892
59;128.0;153600;1649550581.1532712
60;128.0;156160;1649550582.0559108
61;128.0;158720;1649550582.9629316
62;128.0;161280;1649550583.874064
63;128.0;163840;1649550584.7809534
