;update/loss/actor;Steps;Wall_Time
0;-1.1757721900939941;999;1648296877.8555362
1;-0.8106616139411926;1999;1648297667.4648962
2;-0.568381667137146;2999;1648298459.8720143
3;-0.367885023355484;3999;1648299249.4079893
4;-0.30853933095932007;4999;1648300083.6411216
5;-0.2931617498397827;5999;1648300870.5542748
6;-0.28349143266677856;6999;1648301681.3859236
7;-0.19652098417282104;7999;1648302470.6547327
8;-0.19085398316383362;8999;1648303256.8904483
9;-0.14114752411842346;9999;1648304048.632454
10;-0.19281144440174103;10999;1648304878.545413
11;-0.30589935183525085;11999;1648305678.2169063
12;-0.2658972144126892;12999;1648306528.7281208
13;-0.19111034274101257;13999;1648307388.1025856
14;-0.18476037681102753;14999;1648308173.6143334
15;-0.22043126821517944;15999;1648308971.0356464
16;-0.17612718045711517;16999;1648309762.9012477
17;-0.23783451318740845;17999;1648310547.1227748
18;-0.21054090559482574;18999;1648311366.786075
19;-0.3144893944263458;19999;1648312171.452946
20;-0.32287105917930603;20999;1648313003.755055
21;-0.3075675964355469;21999;1648313882.5846694
22;-0.2466503530740738;22999;1648314689.6327276
23;-0.24968478083610535;23999;1648315508.7810237
24;-0.25168055295944214;24999;1648316312.645894
25;-0.25019946694374084;25999;1648317172.9659793
26;-0.10896636545658112;26999;1648317989.6027212
27;-0.13639375567436218;27999;1648318811.8775647
28;-0.1155046597123146;28999;1648319653.1562865
29;-0.10283644497394562;29999;1648320455.396055
30;-0.09380131959915161;30999;1648321258.459983
31;-0.08778578788042068;31999;1648322068.2312393
32;-0.06849813461303711;32999;1648322873.073222
33;-0.06558917462825775;33999;1648323671.4804053
34;-0.06892114132642746;34999;1648324460.7863095
35;-0.07522998750209808;35999;1648325636.3859382
36;-0.084834985435009;36999;1648326429.8049617
37;-0.07998380810022354;37999;1648327219.9057825
38;-0.09193498641252518;38999;1648328015.1774108
39;-0.0932280644774437;39999;1648328806.5920463
40;-0.09122408926486969;40999;1648329594.9464195
41;-0.09101740270853043;41999;1648330388.2958884
42;-0.09449350833892822;42999;1648331188.72234
43;-0.08738710731267929;43999;1648331985.7506938
44;-0.09730631858110428;44999;1648332824.6265945
45;-0.0988297164440155;45999;1648333677.0697012
46;-0.1044183000922203;46999;1648334469.1289876
47;-0.10155149549245834;47999;1648335717.1521456
48;-0.10295455157756805;48999;1648337575.7701938
49;-0.10046490281820297;49999;1648339430.798652
