;grad_norm_clipped;Steps;Wall_Time
82;1.0;41984000;1647955695.3388996
83;1.0;42496000;1647955705.4017413
84;1.0;43008000;1647955715.4602575
85;1.0;43520000;1647955725.4975498
86;1.0;44032000;1647955735.5356498
87;1.0;44544000;1647955745.6014702
88;1.0;45056000;1647955755.6731231
89;1.0;45568000;1647955765.7390265
90;1.0;46080000;1647955775.8032203
91;1.0;46592000;1647955785.877026
92;1.0;47104000;1647955795.9518957
93;1.0;47616000;1647955806.0272415
94;1.0;48128000;1647955816.1033418
95;1.0;48640000;1647955826.1735175
96;1.0;49152000;1647955836.2420163
97;1.0;49664000;1647955846.3087249
98;1.0;50176000;1647955856.5285916
99;1.0;50688000;1647955865.272582
100;1.0;51200000;1647955882.5959616
101;1.0;51712000;1647955891.7028315
102;1.0;52224000;1647955900.785722
103;1.0;52736000;1647955909.8914697
104;1.0;53248000;1647955919.9332259
105;1.0;53760000;1647955929.9688737
106;1.0;54272000;1647955940.0429387
107;1.0;54784000;1647955950.1066823
108;1.0;55296000;1647955960.1878946
109;1.0;55808000;1647955970.2532957
110;1.0;56320000;1647955980.312757
111;1.0;56832000;1647955990.388065
112;1.0;57344000;1647956000.4518619
113;1.0;57856000;1647956010.5241597
114;1.0;58368000;1647956020.586879
115;1.0;58880000;1647956030.6550956
116;1.0;59392000;1647956040.705559
117;1.0;59904000;1647956050.756554
118;1.0;60416000;1647956060.8272974
119;1.0;60928000;1647956070.8737383
120;1.0;61440000;1647956080.9281075
121;1.0;61952000;1647956090.9634407
122;1.0;62464000;1647956101.030341
123;1.0;62976000;1647956111.0922782
124;1.0;63488000;1647956121.1370258
125;1.0;64000000;1647956131.1935325
126;1.0;64512000;1647956141.269463
127;1.0;65024000;1647956151.331328
128;1.0;65536000;1647956161.3953142
129;1.0;66048000;1647956171.4423873
130;1.0;66560000;1647956181.4960575
131;1.0;67072000;1647956191.5742743
132;1.0;67584000;1647956201.6320682
133;1.0;68096000;1647956211.6831808
134;1.0;68608000;1647956221.737638
135;1.0;69120000;1647956231.8082795
136;1.0;69632000;1647956241.8299484
137;1.0;70144000;1647956251.8487358
138;1.0;70656000;1647956261.8743072
139;1.0;71168000;1647956271.9233797
140;1.0;71680000;1647956281.9682324
141;1.0;72192000;1647956292.008541
142;1.0;72704000;1647956302.0649042
143;1.0;73216000;1647956312.1226847
144;1.0;73728000;1647956322.1662679
145;1.0;74240000;1647956332.2128077
146;1.0;74752000;1647956342.249943
147;1.0;75264000;1647956352.2900767
148;1.0;75776000;1647956362.3219767
149;1.0;76288000;1647956370.7043173
150;1.0;76800000;1647956388.009833
151;1.0;77312000;1647956397.1130948
152;1.0;77824000;1647956405.927395
153;1.0;78336000;1647956415.4403331
154;1.0;78848000;1647956425.5056005
155;1.0;79360000;1647956435.56519
156;1.0;79872000;1647956445.6462216
157;1.0;80384000;1647956455.6974132
158;1.0;80896000;1647956465.710685
159;1.0;81408000;1647956475.757867
160;1.0;81920000;1647956485.8008533
161;1.0;82432000;1647956495.8438587
162;1.0;82944000;1647956505.8975902
163;1.0;83456000;1647956515.9607768
164;1.0;83968000;1647956526.0265691
165;1.0;84480000;1647956536.0853567
166;1.0;84992000;1647956546.147111
167;1.0;85504000;1647956556.2046368
168;1.0;86016000;1647956566.2547219
169;1.0;86528000;1647956576.323306
170;1.0;87040000;1647956586.3843286
171;1.0;87552000;1647956596.4441938
172;1.0;88064000;1647956606.5009801
173;1.0;88576000;1647956616.5450945
174;1.0;89088000;1647956626.601366
175;1.0;89600000;1647956636.6648812
176;1.0;90112000;1647956646.7143023
177;1.0;90624000;1647956656.712849
178;1.0;91136000;1647956666.726339
179;1.0;91648000;1647956676.6559675
180;1.0;92160000;1647956686.7645454
181;1.0;92672000;1647956696.8672976
182;1.0;93184000;1647956706.7825394
183;1.0;93696000;1647956716.9397964
184;1.0;94208000;1647956726.9140463
185;1.0;94720000;1647956737.1196744
186;1.0;95232000;1647956747.1893914
187;1.0;95744000;1647956757.371306
188;1.0;96256000;1647956767.3700569
189;1.0;96768000;1647956777.4049559
190;1.0;97280000;1647956787.4450996
191;1.0;97792000;1647956797.507958
192;1.0;98304000;1647956807.5694127
193;1.0;98816000;1647956817.617904
194;1.0;99328000;1647956827.672397
195;1.0;99840000;1647956837.727044
196;1.0;100352000;1647956847.7906294
197;1.0;100864000;1647956857.8540962
198;1.0;101376000;1647956867.624305
199;1.0;101888000;1647956876.4252853
200;1.0;102400000;1647956893.6630876
201;1.0;102912000;1647956902.8343558
202;1.0;103424000;1647956911.2560887
203;1.0;103936000;1647956921.297959
204;1.0;104448000;1647956931.3551736
205;1.0;104960000;1647956941.4190392
206;1.0;105472000;1647956951.4817975
207;1.0;105984000;1647956961.5317779
208;1.0;106496000;1647956971.587223
209;1.0;107008000;1647956981.6636636
210;1.0;107520000;1647956991.7233949
211;1.0;108032000;1647957001.7879493
212;1.0;108544000;1647957011.837738
213;1.0;109056000;1647957021.8854194
214;1.0;109568000;1647957031.952951
215;1.0;110080000;1647957042.0046873
216;1.0;110592000;1647957052.0718098
217;1.0;111104000;1647957062.1376445
218;1.0;111616000;1647957072.2112653
219;1.0;112128000;1647957082.2658355
220;1.0;112640000;1647957092.3167782
221;1.0;113152000;1647957102.3713417
222;1.0;113664000;1647957112.4393642
223;1.0;114176000;1647957122.5126674
224;1.0;114688000;1647957132.5715365
225;1.0;115200000;1647957142.6318672
226;1.0;115712000;1647957152.6957674
227;1.0;116224000;1647957162.7612495
228;1.0;116736000;1647957172.819223
229;1.0;117248000;1647957182.8735604
230;1.0;117760000;1647957192.937118
231;1.0;118272000;1647957203.0095165
232;1.0;118784000;1647957213.0733206
233;1.0;119296000;1647957223.1384013
234;1.0;119808000;1647957233.1848876
235;1.0;120320000;1647957243.2318544
236;1.0;120832000;1647957253.2903268
237;1.0;121344000;1647957263.3563733
238;1.0;121856000;1647957273.4259076
239;1.0;122368000;1647957283.5002367
240;1.0;122880000;1647957293.5318959
241;1.0;123392000;1647957303.4859152
242;1.0;123904000;1647957313.492661
243;1.0;124416000;1647957323.5117223
244;1.0;124928000;1647957333.5841377
245;1.0;125440000;1647957343.6483197
246;1.0;125952000;1647957353.714917
247;1.0;126464000;1647957363.7798226
248;1.0;126976000;1647957373.2331748
249;1.0;127488000;1647957382.0362535
250;1.0;128000000;1647957399.7223392
251;1.0;128512000;1647957408.7217584
252;1.0;129024000;1647957417.4655242
253;1.0;129536000;1647957427.5406463
254;1.0;130048000;1647957437.596312
255;1.0;130560000;1647957447.6548915
256;1.0;131072000;1647957457.713614
257;1.0;131584000;1647957467.783486
258;1.0;132096000;1647957477.834359
259;1.0;132608000;1647957487.8890936
260;1.0;133120000;1647957497.9485486
261;1.0;133632000;1647957507.9932926
262;1.0;134144000;1647957518.0545256
263;1.0;134656000;1647957528.1038182
264;1.0;135168000;1647957538.181629
265;1.0;135680000;1647957548.2444713
266;1.0;136192000;1647957558.298701
267;1.0;136704000;1647957568.3632145
268;1.0;137216000;1647957578.4329977
269;1.0;137728000;1647957588.4810028
270;1.0;138240000;1647957598.545697
271;1.0;138752000;1647957608.6104126
272;1.0;139264000;1647957618.65307
273;1.0;139776000;1647957628.713276
274;1.0;140288000;1647957638.7757943
275;1.0;140800000;1647957648.8027756
276;1.0;141312000;1647957658.8604953
277;1.0;141824000;1647957668.8253822
278;1.0;142336000;1647957678.806533
279;1.0;142848000;1647957688.834161
280;1.0;143360000;1647957699.0544066
281;1.0;143872000;1647957709.1179159
282;1.0;144384000;1647957719.178453
283;1.0;144896000;1647957729.225639
284;1.0;145408000;1647957739.4612038
285;1.0;145920000;1647957749.5108554
286;1.0;146432000;1647957759.5688295
287;1.0;146944000;1647957769.6364398
288;1.0;147456000;1647957779.6652908
289;1.0;147968000;1647957789.6735313
290;1.0;148480000;1647957799.6821225
291;1.0;148992000;1647957809.7018132
292;1.0;149504000;1647957819.6836905
293;1.0;150016000;1647957829.7475452
294;1.0;150528000;1647957839.7932122
295;1.0;151040000;1647957849.8259244
296;1.0;151552000;1647957859.8417892
297;1.0;152064000;1647957869.7871413
298;1.0;152576000;1647957878.8672228
299;1.0;153088000;1647957888.353533
300;1.0;153600000;1647957905.044363
301;1.0;154112000;1647957913.6701357
302;1.0;154624000;1647957923.0217712
303;1.0;155136000;1647957933.163968
304;1.0;155648000;1647957943.4019904
305;1.0;156160000;1647957953.5805347
306;1.0;156672000;1647957963.5871184
307;1.0;157184000;1647957973.5657966
308;1.0;157696000;1647957983.6240716
309;1.0;158208000;1647957993.6510024
310;1.0;158720000;1647958003.7141936
311;1.0;159232000;1647958013.7781067
312;1.0;159744000;1647958023.8299255
313;1.0;160256000;1647958033.8935022
314;1.0;160768000;1647958043.9661336
315;1.0;161280000;1647958054.0194845
316;1.0;161792000;1647958064.102944
317;1.0;162304000;1647958074.173155
318;1.0;162816000;1647958084.2367167
319;1.0;163328000;1647958094.3316786
320;1.0;163840000;1647958104.5512042
321;1.0;164352000;1647958114.6254838
322;1.0;164864000;1647958124.8292851
323;1.0;165376000;1647958135.345946
324;1.0;165888000;1647958145.5364645
325;1.0;166400000;1647958155.5590155
326;1.0;166912000;1647958165.7808988
327;1.0;167424000;1647958175.8383455
328;1.0;167936000;1647958185.8335571
329;1.0;168448000;1647958196.0027301
330;1.0;168960000;1647958206.04624
331;1.0;169472000;1647958216.075717
332;1.0;169984000;1647958226.1152165
333;1.0;170496000;1647958236.1326625
334;1.0;171008000;1647958246.1830504
335;1.0;171520000;1647958256.2198086
336;1.0;172032000;1647958266.249694
337;1.0;172544000;1647958276.2778337
338;1.0;173056000;1647958286.3002777
339;1.0;173568000;1647958296.3629034
340;1.0;174080000;1647958306.421842
341;1.0;174592000;1647958316.4873598
342;1.0;175104000;1647958326.5520833
343;1.0;175616000;1647958336.6216564
344;1.0;176128000;1647958346.6700153
345;1.0;176640000;1647958356.7223902
346;1.0;177152000;1647958366.782848
347;1.0;177664000;1647958376.8024504
348;1.0;178176000;1647958385.147682
349;1.0;178688000;1647958394.9887464
350;1.0;179200000;1647958411.6436968
351;1.0;179712000;1647958420.0529714
352;1.0;180224000;1647958430.1716688
353;1.0;180736000;1647958440.3285022
354;1.0;181248000;1647958450.3867257
355;1.0;181760000;1647958460.4472678
356;1.0;182272000;1647958470.5282462
357;1.0;182784000;1647958480.746871
358;1.0;183296000;1647958490.7991154
359;1.0;183808000;1647958500.8479464
