;update/loss/vf;Steps;Wall_Time
0;0.5038312077522278;999;1649276184.4463942
1;0.12631379067897797;1999;1649277483.4718487
2;0.12323035299777985;2999;1649278784.5007703
3;0.09152430295944214;3999;1649280084.2073374
4;0.08618117868900299;4999;1649281382.9205227
5;0.06208324432373047;5999;1649282678.0189188
6;0.07057105004787445;6999;1649283972.9555264
7;0.06145814061164856;7999;1649285267.2571645
8;0.061786118894815445;8999;1649286561.3160365
9;0.06225508451461792;9999;1649287856.0427053
10;0.05926600471138954;10999;1649289153.1981926
11;0.056208547204732895;11999;1649290449.158683
12;0.053076062351465225;12999;1649291741.2556229
13;0.05581756681203842;13999;1649293034.6334052
14;0.05833860859274864;14999;1649294334.6345303
15;0.0545051284134388;15999;1649295634.2852948
16;0.05062342435121536;16999;1649296933.804467
17;0.05153593793511391;17999;1649298232.1615531
18;0.05157001316547394;18999;1649299529.6343493
19;0.05180586129426956;19999;1649300825.1111581
20;0.05184521526098251;20999;1649302126.0677934
21;0.05124076455831528;21999;1649303422.8397422
22;0.04912923276424408;22999;1649304722.513744
23;0.05286067724227905;23999;1649306023.0908785
24;0.04686036705970764;24999;1649307328.0284643
25;0.05183686688542366;25999;1649308631.1816008
26;0.048600368201732635;26999;1649309934.5200834
27;0.04352200776338577;27999;1649311234.808585
28;0.049582529813051224;28999;1649312535.8332202
29;0.050484564155340195;29999;1649313840.4240985
