;LR;Steps;Wall_Time
112;9.999999974752427e-07;2;1650758553.436627
113;9.999999974752427e-07;2;1650758554.6573982
114;9.999999974752427e-07;2;1650758555.8705034
115;9.999999974752427e-07;2;1650758557.0888386
116;9.999999974752427e-07;2;1650758558.2986062
117;9.999999974752427e-07;2;1650758559.5065866
118;9.999999974752427e-07;2;1650758560.779986
119;9.999999974752427e-07;2;1650758561.9817293
120;9.999999974752427e-07;2;1650758563.199961
121;9.999999974752427e-07;2;1650758564.4105473
122;9.999999974752427e-07;2;1650758565.6205845
123;9.999999974752427e-07;2;1650758566.84138
124;9.999999974752427e-07;2;1650758568.046225
125;9.999999974752427e-07;2;1650758569.2459295
126;9.999999974752427e-07;2;1650758570.464504
127;9.999999974752427e-07;2;1650758571.6609538
128;9.999999974752427e-07;2;1650758572.8705153
129;9.999999974752427e-07;2;1650758574.0667272
130;9.999999974752427e-07;2;1650758575.2619894
131;9.999999974752427e-07;2;1650758576.4689577
132;9.999999974752427e-07;2;1650758577.6905222
133;9.999999974752427e-07;2;1650758578.9210045
134;9.999999974752427e-07;2;1650758580.1373305
135;9.999999974752427e-07;2;1650758581.3675337
136;9.999999974752427e-07;2;1650758582.571529
137;9.999999974752427e-07;2;1650758583.7671824
138;9.999999974752427e-07;2;1650758584.9911551
139;9.999999974752427e-07;2;1650758586.1998153
140;9.999999974752427e-07;2;1650758587.4165378
141;9.999999974752427e-07;2;1650758588.6305826
142;9.999999974752427e-07;2;1650758589.8523896
143;9.999999974752427e-07;2;1650758591.0748825
144;9.999999974752427e-07;2;1650758592.2857542
145;9.999999974752427e-07;2;1650758593.4845817
146;9.999999974752427e-07;2;1650758594.7045217
147;9.999999974752427e-07;2;1650758595.926424
148;9.999999974752427e-07;2;1650758597.2636416
149;9.999999974752427e-07;2;1650758598.5729353
150;9.999999974752427e-07;2;1650758599.7774267
151;9.999999974752427e-07;2;1650758600.9957757
152;9.999999974752427e-07;2;1650758602.2188082
153;9.999999974752427e-07;2;1650758603.4579828
154;9.999999974752427e-07;2;1650758604.6849296
155;9.999999974752427e-07;2;1650758605.8936877
156;9.999999974752427e-07;2;1650758607.1102924
157;9.999999974752427e-07;2;1650758608.329133
158;9.999999974752427e-07;2;1650758609.5388124
159;9.999999974752427e-07;2;1650758610.7390497
160;9.999999974752427e-07;2;1650758611.9410446
161;9.999999974752427e-07;2;1650758613.1540267
162;9.999999974752427e-07;2;1650758614.3500416
163;9.999999974752427e-07;2;1650758615.5568848
164;9.999999974752427e-07;2;1650758616.7637334
165;9.999999974752427e-07;2;1650758617.9677374
166;9.999999974752427e-07;2;1650758619.1998165
167;9.999999974752427e-07;2;1650758620.429703
168;9.999999974752427e-07;2;1650758621.6479316
169;9.999999974752427e-07;2;1650758622.8777812
170;9.999999974752427e-07;2;1650758624.0894868
171;9.999999974752427e-07;2;1650758625.302292
172;9.999999974752427e-07;2;1650758626.521041
173;9.999999974752427e-07;2;1650758627.733709
174;9.999999974752427e-07;2;1650758628.943868
175;9.999999974752427e-07;2;1650758630.1566963
176;9.999999974752427e-07;2;1650758631.368263
177;9.999999974752427e-07;2;1650758632.5754535
178;9.999999974752427e-07;2;1650758633.7954664
179;9.999999974752427e-07;2;1650758635.016118
180;9.999999974752427e-07;2;1650758636.216923
181;9.999999974752427e-07;2;1650758637.4358394
182;9.999999974752427e-07;2;1650758638.6469476
183;9.999999974752427e-07;2;1650758639.8540192
184;9.999999974752427e-07;2;1650758641.0658498
185;9.999999974752427e-07;2;1650758642.2679102
186;9.999999974752427e-07;2;1650758643.479705
187;9.999999974752427e-07;2;1650758644.7025926
188;9.999999974752427e-07;2;1650758645.9217231
189;9.999999974752427e-07;2;1650758647.1468797
190;9.999999974752427e-07;2;1650758648.349507
191;9.999999974752427e-07;2;1650758649.5493083
192;9.999999974752427e-07;2;1650758650.7532053
193;9.999999974752427e-07;2;1650758651.9577591
194;9.999999974752427e-07;2;1650758653.1753461
195;9.999999974752427e-07;2;1650758654.4024942
196;9.999999974752427e-07;2;1650758655.606146
197;9.999999974752427e-07;2;1650758656.8092844
198;9.999999974752427e-07;2;1650758658.0223122
199;9.999999974752427e-07;2;1650758659.228145
200;9.999999974752427e-07;3;1650758668.3550916
201;9.999999974752427e-07;3;1650758669.601326
202;9.999999974752427e-07;3;1650758670.808559
203;9.999999974752427e-07;3;1650758672.0055628
204;9.999999974752427e-07;3;1650758673.209719
205;9.999999974752427e-07;3;1650758674.4071763
206;9.999999974752427e-07;3;1650758675.6244063
207;9.999999974752427e-07;3;1650758676.837778
208;9.999999974752427e-07;3;1650758678.0568948
209;9.999999974752427e-07;3;1650758679.267858
210;9.999999974752427e-07;3;1650758680.496136
211;9.999999974752427e-07;3;1650758681.70895
212;9.999999974752427e-07;3;1650758682.907798
213;9.999999974752427e-07;3;1650758684.129268
214;9.999999974752427e-07;3;1650758685.332384
215;9.999999974752427e-07;3;1650758686.5379996
216;9.999999974752427e-07;3;1650758687.7406375
217;9.999999974752427e-07;3;1650758688.9572592
218;9.999999974752427e-07;3;1650758690.1761837
219;9.999999974752427e-07;3;1650758691.3941193
220;9.999999974752427e-07;3;1650758692.6189182
221;9.999999974752427e-07;3;1650758693.8461173
222;9.999999974752427e-07;3;1650758695.070727
223;9.999999974752427e-07;3;1650758696.2861307
224;9.999999974752427e-07;3;1650758697.5082476
225;9.999999974752427e-07;3;1650758698.741509
226;9.999999974752427e-07;3;1650758699.9723916
227;9.999999974752427e-07;3;1650758701.1718464
228;9.999999974752427e-07;3;1650758702.381788
229;9.999999974752427e-07;3;1650758703.5809681
230;9.999999974752427e-07;3;1650758704.7794282
231;9.999999974752427e-07;3;1650758705.981271
232;9.999999974752427e-07;3;1650758707.2027047
233;9.999999974752427e-07;3;1650758708.4052339
234;9.999999974752427e-07;3;1650758709.6092803
235;9.999999974752427e-07;3;1650758710.810714
236;9.999999974752427e-07;3;1650758712.012745
237;9.999999974752427e-07;3;1650758713.2229784
238;9.999999974752427e-07;3;1650758714.4439268
239;9.999999974752427e-07;3;1650758715.6667237
240;9.999999974752427e-07;3;1650758716.8841815
241;9.999999974752427e-07;3;1650758718.0861895
242;9.999999974752427e-07;3;1650758719.2849264
243;9.999999974752427e-07;3;1650758720.4873943
244;9.999999974752427e-07;3;1650758721.6839178
245;9.999999974752427e-07;3;1650758722.8951542
