;rew;Steps;Wall_Time
0;-10.48239803314209;20;1651502749.6227515
1;-15.53423023223877;30;1651502759.054249
2;-20.843639373779297;40;1651502771.601023
3;-25.993337631225586;50;1651502787.276116
4;-52.056556701660156;100;1651502818.079118
