;update/loss/vf;Steps;Wall_Time
0;10.958547592163086;999;1648152452.5591314
1;5.848150253295898;1999;1648154341.3521757
2;4.113738536834717;2999;1648156234.0267878
3;8.775982856750488;3999;1648158120.0470264
4;8.087385177612305;4999;1648160007.8006938
5;7.6131157875061035;5999;1648161902.3538535
6;7.710396766662598;6999;1648163800.1005127
7;6.668060302734375;7999;1648165691.2130911
8;6.773356914520264;8999;1648167584.3731778
9;6.700427055358887;9999;1648169475.798996
10;6.76737117767334;10999;1648171368.1127589
11;6.496072292327881;11999;1648173255.7301388
12;6.6513991355896;12999;1648175145.2648425
13;6.531146049499512;13999;1648177041.0338576
14;6.890377044677734;14999;1648178933.6158855
15;6.839207172393799;15999;1648180826.4121144
16;6.874479293823242;16999;1648182719.7507563
17;6.780835151672363;17999;1648184613.8327143
18;6.74239444732666;18999;1648186510.2311947
19;6.737840175628662;19999;1648188406.8740287
20;6.85444450378418;20999;1648190303.1956227
21;6.722106456756592;21999;1648192196.0394914
22;7.002497673034668;22999;1648194088.8235323
23;6.529146194458008;23999;1648195983.7788675
24;6.831429958343506;24999;1648197879.0845363
25;6.874578952789307;25999;1648199785.701219
26;6.638806343078613;26999;1648201696.375155
27;6.808620929718018;27999;1648203592.1692412
28;6.708492279052734;28999;1648205486.5733747
29;6.790295124053955;29999;1648207385.2007098
30;6.8365044593811035;30999;1648209270.0523124
31;6.6745686531066895;31999;1648211149.8607059
32;6.863277435302734;32999;1648213028.808738
33;6.6273322105407715;33999;1648214912.3659425
34;6.704084396362305;34999;1648216793.1273122
35;6.7273945808410645;35999;1648218672.8239112
36;6.691462516784668;36999;1648220550.8925664
37;6.83769416809082;37999;1648222430.4545846
38;6.805434703826904;38999;1648224315.1819446
39;6.763676643371582;39999;1648226201.258486
40;6.8901777267456055;40999;1648228082.56498
41;6.723412036895752;41999;1648229962.067233
42;6.68053674697876;42999;1648231841.1007845
43;6.730190277099609;43999;1648233722.6952853
44;6.670285224914551;44999;1648235604.9521675
45;6.98322868347168;45999;1648237484.8660898
46;6.625815391540527;46999;1648239366.6053493
47;6.6629438400268555;47999;1648241250.686472
48;6.687450408935547;48999;1648243140.6960986
49;6.688824653625488;49999;1648243995.2042146
