;test/length_std;Steps;Wall_Time
0;0.0;0;1648978705.6081605
1;0.0;256000;1648978848.3799381
2;0.0;512000;1648978991.0454345
3;0.0;768000;1648979133.6185088
4;0.0;1024000;1648979276.0078351
5;0.0;1280000;1648979418.5594597
6;0.0;1536000;1648979561.3380802
7;0.0;1792000;1648979703.9234886
8;0.0;2048000;1648979846.0754304
9;0.0;2304000;1648979987.9359193
10;0.0;2560000;1648980129.5054762
11;0.0;2816000;1648980271.2378998
12;0.0;3072000;1648980412.909512
13;0.0;3328000;1648980554.6278183
14;0.0;3584000;1648980696.5166543
15;0.0;3840000;1648980838.0765517
16;0.0;4096000;1648980980.068738
17;0.0;4352000;1648981121.8718457
18;0.0;4608000;1648981263.74574
19;0.0;4864000;1648981405.350322
20;0.0;5120000;1648981547.1049669
21;0.0;5376000;1648981688.6284926
22;0.0;5632000;1648981830.065811
23;0.0;5888000;1648981971.6564457
24;0.0;6144000;1648982113.859526
25;0.0;6400000;1648982255.9603615
26;0.0;6656000;1648982397.9383278
27;0.0;6912000;1648982540.067973
28;0.0;7168000;1648982682.2218826
29;0.0;7424000;1648982824.1543453
30;0.0;7680000;1648982966.2619452
31;0.0;7936000;1648983108.5783753
32;0.0;8192000;1648983250.9346116
33;0.0;8448000;1648983393.3390524
34;0.0;8704000;1648983535.7923977
35;0.0;8960000;1648983678.2103326
36;0.0;9216000;1648983820.6577928
37;0.0;9472000;1648983963.2341948
38;0.0;9728000;1648984105.9633343
39;0.0;9984000;1648984248.5099063
40;0.0;10240000;1648984391.1435158
41;0.0;10496000;1648984533.806761
42;0.0;10752000;1648984676.495046
43;0.0;11008000;1648984819.2483017
44;0.0;11264000;1648984961.842852
45;0.0;11520000;1648985104.4009976
46;0.0;11776000;1648985247.0129104
47;0.0;12032000;1648985389.8722916
48;0.0;12288000;1648985532.3457344
49;0.0;12544000;1648985674.813337
50;0.0;12800000;1648985817.0476015
