;rew;Steps;Wall_Time
0;-2.134852170944214;5;1692960082.236856
1;-2.8801329135894775;10;1692960086.934843
2;-3.9060702323913574;20;1692960095.9707913
3;-4.843225479125977;30;1692960109.2727325
4;-5.740349292755127;40;1692960126.8326294
5;-6.699744701385498;50;1692960148.7295249
6;-11.314370155334473;100;1692960191.8529663
