;rew;Steps;Wall_Time
0;-2.1413168907165527;5;1692961575.8489404
1;-2.9341299533843994;10;1692961580.3512774
2;-4.024331092834473;20;1692961588.9540458
3;-4.983342170715332;30;1692961601.6221383
4;-5.852113246917725;40;1692961618.3872056
5;-6.709855556488037;50;1692961639.2544732
6;-10.3851900100708;100;1692961680.5896277
