;rew;Steps;Wall_Time
0;-2.16575026512146;5;1692864081.305836
1;-2.9094619750976562;10;1692864086.0481653
2;-3.9539425373077393;20;1692864095.0995245
3;-4.809213638305664;30;1692864108.4321895
4;-5.535577297210693;40;1692864126.0301647
5;-6.2930192947387695;50;1692864147.9442384
6;-9.551594734191895;100;1692864190.863096
