;rew;Steps;Wall_Time
0;-2.177561044692993;5;1692811622.696904
1;-2.977646827697754;10;1692811627.2863913
2;-4.107557773590088;20;1692811636.1083267
3;-5.064444541931152;30;1692811649.1445735
4;-5.928393840789795;40;1692811666.3511696
5;-6.76753044128418;50;1692811687.7387717
6;-10.408933639526367;100;1692811730.0869966
