;rew;Steps;Wall_Time
0;-2.147968292236328;5;1692961754.7129035
1;-2.8768067359924316;10;1692961759.4128962
2;-3.917449951171875;20;1692961768.371075
3;-4.730949878692627;30;1692961781.6997972
4;-5.461031436920166;40;1692961799.141479
5;-6.171053886413574;50;1692961820.8298023
6;-9.303319931030273;100;1692961863.7817307
