;rew;Steps;Wall_Time
0;-2.143007278442383;5;1692863989.6914775
1;-2.932945728302002;10;1692864005.5905948
2;-3.9239752292633057;20;1692864035.036361
3;-4.789694309234619;30;1692864079.2129333
4;-5.531129360198975;40;1692864136.0473294
5;-6.290140628814697;50;1692864207.7333028
6;-9.543956756591797;100;1692864338.8997545
