;rew;Steps;Wall_Time
0;-2.127758264541626;5;1692961568.0591853
1;-2.8930811882019043;10;1692961572.765884
2;-3.9252114295959473;20;1692961581.7187645
3;-4.784301280975342;30;1692961594.9032645
4;-5.592110633850098;40;1692961612.3289616
5;-6.349795341491699;50;1692961633.9838607
6;-9.741782188415527;100;1692961676.8750055
