;rew;Steps;Wall_Time
0;-2.1423513889312744;5;1692959788.8254137
1;-2.9344332218170166;10;1692959793.42187
2;-4.031445026397705;20;1692959802.2143903
3;-4.994418144226074;30;1692959815.1748793
4;-5.8724365234375;40;1692959832.2916648
5;-6.705082416534424;50;1692959853.5760121
6;-10.382436752319336;100;1692959895.7327518
