;update/loss/clip;Steps;Wall_Time
0;1.360784888267517;999;1649900080.0430312
1;0.0315086804330349;1999;1649901546.833327
2;0.005475915502756834;2999;1649902968.13576
3;0.009355786256492138;3999;1649904337.500837
4;0.010190813802182674;4999;1649905714.5264647
5;0.0036884748842567205;5999;1649907097.48486
6;0.004029819276183844;6999;1649908470.6081598
7;0.004012431018054485;7999;1649909873.8730662
8;0.00135268724989146;8999;1649911246.4251955
9;0.0012156274169683456;9999;1649912615.6857855
10;0.0006263212999328971;10999;1649914003.4700372
11;0.005954560358077288;11999;1649915379.2192051
12;0.0029936153441667557;12999;1649916747.4732535
13;0.0010508614359423518;13999;1649918126.9986892
14;0.0025876183062791824;14999;1649919498.3966966
15;0.000879345228895545;15999;1649920870.7398708
16;0.00042910873889923096;16999;1649922283.3206646
17;0.0018079668516293168;17999;1649923655.318403
18;0.00040751200867816806;18999;1649925027.817392
19;0.0007936145993880928;19999;1649926404.354074
20;0.0029299817979335785;20999;1649927781.3230882
21;0.002639142796397209;21999;1649929149.4938152
22;0.02167462557554245;22999;1649930524.472599
23;0.004938776604831219;23999;1649931950.3185372
24;0.008632928133010864;24999;1649933324.4974508
25;0.002447910839691758;25999;1649934706.5242016
26;-0.002718135714530945;26999;1649936139.3402755
27;0.001048973179422319;27999;1649937515.7114534
28;0.006931429263204336;28999;1649938885.4736984
29;0.0005770118441432714;29999;1649940306.483542
