;update/loss/clip;Steps;Wall_Time
0;-0.8304550647735596;6;1651410318.8432462
1;-0.8402538299560547;8;1651410319.7145832
2;-0.8930673599243164;16;1651410323.3699589
3;-0.9018957614898682;17;1651410323.8277118
4;-0.969189465045929;23;1651410326.7270422
5;-0.9824461936950684;24;1651410327.2085512
6;-1.046902060508728;29;1651410329.7150788
7;-1.0686579942703247;31;1651410330.7212493
8;-1.1277872323989868;38;1651410334.559463
9;-1.1328834295272827;40;1651410335.6683137
10;-1.1425269842147827;43;1651410337.3534417
11;-1.1506096124649048;50;1651410341.3451517
12;-1.1537587642669678;57;1651410345.253319
13;-1.1409457921981812;67;1651410350.6783106
14;-1.1399556398391724;70;1651410352.333143
15;-1.1367759704589844;73;1651410353.9869814
16;-1.1266123056411743;79;1651410357.2372422
17;-1.118811845779419;82;1651410358.8674092
18;-1.1008867025375366;86;1651410361.0404983
19;-1.081454873085022;90;1651410363.198546
20;-1.0504755973815918;95;1651410365.87714
21;-0.9864638447761536;105;1651410371.3347123
22;-0.9750457406044006;107;1651410372.4763632
23;-0.9680153131484985;108;1651410373.0185668
24;-0.9373512864112854;112;1651410375.2351446
25;-0.8476804494857788;122;1651410380.6136682
26;-0.7792345881462097;128;1651410383.8748748
27;-0.694692075252533;135;1651410387.6853669
28;-0.6694151759147644;137;1651410388.7833788
29;-0.6469821929931641;139;1651410389.8881838
30;-0.6029500365257263;143;1651410392.1339345
31;-0.5702716112136841;146;1651410393.8150647
32;-0.5585869550704956;147;1651410394.3721836
33;-0.5096984505653381;152;1651410397.2107599
34;-0.4595192074775696;157;1651410400.0664148
35;-0.4207321107387543;161;1651410402.3991983
36;-0.412519246339798;162;1651410402.9920213
37;-0.36081910133361816;168;1651410406.4799821
38;-0.3235626518726349;172;1651410408.7579005
39;-0.29067516326904297;176;1651410411.0269926
40;-0.20030537247657776;189;1651410418.3984516
41;-0.19077712297439575;191;1651410419.5157223
42;-0.17571689188480377;195;1651410421.7635462
43;-0.15580935776233673;203;1651410426.230636
44;-0.15114355087280273;214;1651410432.605235
45;-0.14978034794330597;215;1651410433.197457
46;-0.14688342809677124;220;1651410436.109947
47;-0.14752335846424103;222;1651410437.2958293
