;update/loss/alpha;Steps;Wall_Time
0;-0.8854348063468933;999;1647859624.4109547
1;-1.8196938037872314;1999;1647860387.7955358
2;-2.7103159427642822;2999;1647861152.7280636
3;-3.5206758975982666;3999;1647861917.8123145
4;-4.229138374328613;4999;1647862682.9673083
5;-4.814630508422852;5999;1647863449.3673725
6;-5.215064525604248;6999;1647864216.5444605
7;-5.46755838394165;7999;1647864984.8342192
8;-5.5682902336120605;8999;1647865752.754015
9;-5.592447757720947;9999;1647866520.4666612
10;-5.5950727462768555;10999;1647867281.343084
11;-5.556305885314941;11999;1647868044.8792481
12;-5.518158435821533;12999;1647868812.8741548
13;-5.540857791900635;13999;1647869578.1109147
14;-5.57435941696167;14999;1647870338.2565901
15;-5.656881809234619;15999;1647871097.1253755
16;-5.785435199737549;16999;1647871856.2649646
17;-5.938667297363281;17999;1647872623.905465
18;-6.141763687133789;18999;1647873393.8323348
19;-6.3245978355407715;19999;1647874166.361494
