;std;Steps;Wall_Time
0;1.2475403547286987;20;1651502749.6230402
1;1.4390614032745361;30;1651502759.0543866
2;1.7368601560592651;40;1651502771.601161
3;1.9790338277816772;50;1651502787.2762718
4;2.724447011947632;100;1651502818.0792756
