;actor_loss;Steps;Wall_Time
0;-381.3255920410156;0;1647955658.4602149
1;-79.42936706542969;512000;1647955668.291401
2;-26.900028228759766;1024000;1647955679.9931264
3;-3.318422317504883;1536000;1647955691.4877927
4;-0.4876326024532318;2048000;1647955703.100364
5;-0.690493643283844;2560000;1647955714.6148443
6;-0.47300392389297485;3072000;1647955726.2229629
7;-0.1964915543794632;3584000;1647955737.958921
8;-0.15450626611709595;4096000;1647955749.635024
9;-0.4214962422847748;4608000;1647955761.4842865
10;-0.4450300931930542;5120000;1647955773.2783642
11;-0.45551812648773193;5632000;1647955785.107042
12;0.040857020765542984;6144000;1647955796.9176013
13;-0.4427011013031006;6656000;1647955808.7067585
14;-0.33676955103874207;7168000;1647955820.4296632
15;-0.10951969027519226;7680000;1647955832.0835853
16;-0.011132308281958103;8192000;1647955843.9316297
17;-0.4868280291557312;8704000;1647955855.6291468
18;-0.04958050698041916;9216000;1647955867.4928932
19;-0.06996646523475647;9728000;1647955879.5558977
20;-0.02815483883023262;10240000;1647955891.586227
21;-0.21381807327270508;10752000;1647955903.486651
22;-0.5989689826965332;11264000;1647955914.9656196
23;0.06868934631347656;11776000;1647955926.9335716
24;-0.25043535232543945;12288000;1647955938.2394912
25;-0.30027341842651367;12800000;1647955949.2800958
26;-0.2617669701576233;13312000;1647955961.06394
27;-0.13101321458816528;13824000;1647955972.7398715
28;-0.134920135140419;14336000;1647955984.5926485
29;-0.08539051562547684;14848000;1647955996.1600847
30;-0.02234359085559845;15360000;1647956005.976653
31;-0.05697464197874069;15872000;1647956017.5793805
32;-0.26521244645118713;16384000;1647956029.5214307
33;-0.054578617215156555;16896000;1647956041.496726
34;-0.0786081850528717;17408000;1647956053.5240417
35;-0.05809205025434494;17920000;1647956065.7355313
36;-0.19605769217014313;18432000;1647956077.7246132
37;-0.08344241976737976;18944000;1647956089.8163538
38;-0.2135925441980362;19456000;1647956101.7796907
39;-0.2270984649658203;19968000;1647956113.8546607
40;-0.16451434791088104;20480000;1647956126.0459151
41;-0.11247667670249939;20992000;1647956137.7111228
42;-0.15147045254707336;21504000;1647956148.0048714
43;-0.2611137628555298;22016000;1647956159.1405609
44;-0.09153187274932861;22528000;1647956170.27207
45;-0.1333676278591156;23040000;1647956181.4127467
46;-0.012233540415763855;23552000;1647956190.975369
47;-0.15503185987472534;24064000;1647956202.3522341
48;-0.07794467359781265;24576000;1647956213.839999
49;-0.09307311475276947;25088000;1647956225.3159804
50;-0.18854370713233948;25600000;1647956244.820451
51;-0.04975514858961105;26112000;1647956256.1114354
52;-0.12037187814712524;26624000;1647956267.128938
53;-0.06421393156051636;27136000;1647956278.37375
54;-0.05844246596097946;27648000;1647956289.542184
55;-0.009725493378937244;28160000;1647956300.6541982
56;-0.32649844884872437;28672000;1647956312.0673926
57;-0.1897730827331543;29184000;1647956323.9636939
58;-0.06973424553871155;29696000;1647956335.8266625
59;-0.07985062897205353;30208000;1647956347.7847912
60;-0.16985920071601868;30720000;1647956359.7657142
61;-0.3078586161136627;31232000;1647956371.8082051
62;-0.11485862731933594;31744000;1647956383.7839236
63;0.07802151888608932;32256000;1647956395.6855407
64;-0.057741928845644;32768000;1647956407.7981267
65;-0.08209049701690674;33280000;1647956419.9061956
66;-0.09632465243339539;33792000;1647956431.930236
67;-0.06973351538181305;34304000;1647956443.7040217
68;-0.05739826709032059;34816000;1647956454.1564667
69;-0.16490617394447327;35328000;1647956466.0828772
70;-0.12772083282470703;35840000;1647956478.0313551
71;0.015429992228746414;36352000;1647956490.1098142
72;-0.06992831826210022;36864000;1647956502.020178
73;-0.02225496992468834;37376000;1647956512.3482034
74;-0.25945422053337097;37888000;1647956524.3458033
75;0.03462085872888565;38400000;1647956536.472314
76;0.03173792362213135;38912000;1647956548.547293
77;-0.1916249394416809;39424000;1647956560.4503324
78;-0.07611535489559174;39936000;1647956572.2893493
79;-0.25023847818374634;40448000;1647956584.3511646
80;-0.0428338460624218;40960000;1647956596.3491757
81;0.014680633321404457;41472000;1647956608.516756
82;0.02341628074645996;41984000;1647956620.550335
83;-0.13554120063781738;42496000;1647956632.5275586
84;-0.0862174853682518;43008000;1647956644.648029
85;-0.09620926529169083;43520000;1647956656.700834
86;-0.10788290947675705;44032000;1647956668.540804
87;-0.08549142628908157;44544000;1647956680.4170883
88;-0.09545853734016418;45056000;1647956692.377683
89;-0.04826512187719345;45568000;1647956703.2281299
90;-0.10400363802909851;46080000;1647956713.9008756
91;-0.18219608068466187;46592000;1647956725.5906959
92;-0.027314338833093643;47104000;1647956737.7230132
93;-0.15590009093284607;47616000;1647956749.9283512
94;-0.13000759482383728;48128000;1647956762.0099852
95;-0.07024122774600983;48640000;1647956774.119332
96;-0.07737621665000916;49152000;1647956785.9871242
97;0.02727394923567772;49664000;1647956797.7363408
98;-0.06682650744915009;50176000;1647956809.439287
99;-0.07581008970737457;50688000;1647956820.8511508
100;-0.03678647428750992;51200000;1647956838.5048707
101;0.057681046426296234;51712000;1647956849.407184
102;-0.06544582545757294;52224000;1647956860.4212937
103;-0.16628997027873993;52736000;1647956871.546603
104;-0.2302454710006714;53248000;1647956882.8743281
105;-0.061634521931409836;53760000;1647956893.9946039
106;-0.08402566611766815;54272000;1647956904.7752428
107;-0.3663264214992523;54784000;1647956915.6306026
108;-0.160345658659935;55296000;1647956926.5694742
109;-0.14816495776176453;55808000;1647956937.8014593
110;-0.06238356977701187;56320000;1647956949.1905441
111;-0.028670722618699074;56832000;1647956958.943052
112;0.005597788840532303;57344000;1647956969.7080128
113;-0.10380347073078156;57856000;1647956980.8071463
114;-0.18159013986587524;58368000;1647956991.6582503
115;-0.027540724724531174;58880000;1647957003.0872982
116;-0.05753854662179947;59392000;1647957014.130043
117;-0.10843175649642944;59904000;1647957024.7054975
118;-0.1397680640220642;60416000;1647957036.5547016
119;-0.06530711054801941;60928000;1647957048.446847
120;-0.22724461555480957;61440000;1647957060.3720827
121;-0.14196258783340454;61952000;1647957072.294673
122;-0.07469586282968521;62464000;1647957083.8980455
123;-0.07369016855955124;62976000;1647957095.483597
124;-0.08222932368516922;63488000;1647957107.504123
125;-0.032923102378845215;64000000;1647957119.4541109
126;0.006389978341758251;64512000;1647957131.43767
127;-0.06024633347988129;65024000;1647957143.315572
128;-0.06134888902306557;65536000;1647957154.927427
129;-0.011921269819140434;66048000;1647957166.5674007
130;-0.16287854313850403;66560000;1647957178.521387
131;-0.14675188064575195;67072000;1647957190.5691984
132;-0.1323564350605011;67584000;1647957202.5748959
133;-0.38363784551620483;68096000;1647957214.3135006
134;-0.04677354916930199;68608000;1647957224.5999148
135;-0.041473619639873505;69120000;1647957236.3984997
136;-0.06798480451107025;69632000;1647957248.0357432
137;-0.03340192884206772;70144000;1647957259.5653684
138;-0.07161666452884674;70656000;1647957271.389833
139;-0.045704640448093414;71168000;1647957283.3542426
140;-0.06479393690824509;71680000;1647957295.2699125
141;-0.030699357390403748;72192000;1647957306.7902553
142;-0.05822594463825226;72704000;1647957318.3791142
143;-0.008670162409543991;73216000;1647957329.960635
144;-0.09756222367286682;73728000;1647957341.3774922
145;0.10312975198030472;74240000;1647957353.0357072
