;ActorLR;Steps;Wall_Time
47;9.999999747378752e-05;30080;1651184964.8688774
48;9.999999747378752e-05;30720;1651184965.993838
49;9.999999747378752e-05;31360;1651184967.1006348
50;9.999999747378752e-05;32000;1651184968.2181923
51;9.999999747378752e-05;32640;1651184969.3409514
52;9.999999747378752e-05;33280;1651184972.065953
53;9.999999747378752e-05;33920;1651184973.248242
54;9.999999747378752e-05;34560;1651184976.030572
55;9.999999747378752e-05;35200;1651184977.2028055
56;9.999999747378752e-05;35840;1651184978.3257234
57;9.999999747378752e-05;36480;1651184979.4275768
58;9.999999747378752e-05;37120;1651184980.5142953
59;9.999999747378752e-05;37760;1651184981.6168313
60;9.999999747378752e-05;38400;1651184982.7362185
61;9.999999747378752e-05;39040;1651184983.850101
62;9.999999747378752e-05;39680;1651184984.9642756
63;9.999999747378752e-05;40320;1651184986.0714982
64;9.999999747378752e-05;40960;1651184987.1932378
65;9.999999747378752e-05;41600;1651184988.2976787
66;9.999999747378752e-05;42240;1651184989.3874316
67;9.999999747378752e-05;42880;1651184992.1241329
68;9.999999747378752e-05;43520;1651184993.300352
69;9.999999747378752e-05;44160;1651184996.0635633
70;9.999999747378752e-05;44800;1651184997.1781242
71;9.999999747378752e-05;45440;1651184998.294229
72;9.999999747378752e-05;46080;1651184999.3918233
73;9.999999747378752e-05;46720;1651185000.5144696
74;9.999999747378752e-05;47360;1651185001.643483
75;9.999999747378752e-05;48000;1651185002.7498455
76;9.999999747378752e-05;48640;1651185003.846161
77;9.999999747378752e-05;49280;1651185004.9734573
78;9.999999747378752e-05;49920;1651185006.0955248
79;9.999999747378752e-05;50560;1651185007.2048676
80;9.999999747378752e-05;51200;1651185008.3015835
81;9.999999747378752e-05;51840;1651185009.4008844
82;9.999999747378752e-05;52480;1651185012.1251183
83;9.999999747378752e-05;53120;1651185013.3043
84;9.999999747378752e-05;53760;1651185016.083879
85;9.999999747378752e-05;54400;1651185017.261799
86;9.999999747378752e-05;55040;1651185018.4449093
87;9.999999747378752e-05;55680;1651185019.6223412
88;9.999999747378752e-05;56320;1651185020.8007638
89;9.999999747378752e-05;56960;1651185021.9804926
90;9.999999747378752e-05;57600;1651185023.16003
91;9.999999747378752e-05;58240;1651185024.3377466
92;9.999999747378752e-05;58880;1651185025.5227182
93;9.999999747378752e-05;59520;1651185026.64735
94;9.999999747378752e-05;60160;1651185027.741947
95;9.999999747378752e-05;60800;1651185028.8412998
96;9.999999747378752e-05;61440;1651185029.947086
97;9.999999747378752e-05;62080;1651185032.71131
98;9.999999747378752e-05;62720;1651185033.8900256
99;9.999999747378752e-05;63360;1651185035.0688648
100;9.999999747378752e-05;64000;1651185078.391708
101;9.999999747378752e-05;64640;1651185079.5763144
102;9.999999747378752e-05;65280;1651185080.7567396
103;9.999999747378752e-05;65920;1651185081.907895
104;9.999999747378752e-05;66560;1651185084.617172
105;9.999999747378752e-05;67200;1651185085.782397
106;9.999999747378752e-05;67840;1651185086.957974
107;9.999999747378752e-05;68480;1651185088.1361558
108;9.999999747378752e-05;69120;1651185089.2809298
109;9.999999747378752e-05;69760;1651185090.4570816
110;9.999999747378752e-05;70400;1651185091.5946894
111;9.999999747378752e-05;71040;1651185092.7749717
112;9.999999747378752e-05;71680;1651185095.5372791
113;9.999999747378752e-05;72320;1651185096.7152562
114;9.999999747378752e-05;72960;1651185097.8966515
115;9.999999747378752e-05;73600;1651185099.0695505
116;9.999999747378752e-05;74240;1651185100.2471943
117;9.999999747378752e-05;74880;1651185101.417839
118;9.999999747378752e-05;75520;1651185103.5975158
119;9.999999747378752e-05;76160;1651185105.338647
120;9.999999747378752e-05;76800;1651185106.5054572
121;9.999999747378752e-05;77440;1651185107.650356
122;9.999999747378752e-05;78080;1651185108.8223994
123;9.999999747378752e-05;78720;1651185109.998376
124;9.999999747378752e-05;79360;1651185111.1422586
125;9.999999747378752e-05;80000;1651185112.3157947
126;9.999999747378752e-05;80640;1651185115.0704532
127;9.999999747378752e-05;81280;1651185116.2534926
128;9.999999747378752e-05;81920;1651185117.4444475
129;9.999999747378752e-05;82560;1651185118.6224482
130;9.999999747378752e-05;83200;1651185119.8049378
131;9.999999747378752e-05;83840;1651185120.9765584
132;9.999999747378752e-05;84480;1651185122.150571
133;9.999999747378752e-05;85120;1651185124.9241524
134;9.999999747378752e-05;85760;1651185126.098311
135;9.999999747378752e-05;86400;1651185127.2452216
136;9.999999747378752e-05;87040;1651185128.4164953
137;9.999999747378752e-05;87680;1651185129.5954216
138;9.999999747378752e-05;88320;1651185130.7713895
139;9.999999747378752e-05;88960;1651185131.949257
140;9.999999747378752e-05;89600;1651185134.6992736
141;9.999999747378752e-05;90240;1651185135.8772416
142;9.999999747378752e-05;90880;1651185137.051305
143;9.999999747378752e-05;91520;1651185138.2200348
144;9.999999747378752e-05;92160;1651185139.4007866
145;9.999999747378752e-05;92800;1651185140.5752978
146;9.999999747378752e-05;93440;1651185141.7468715
147;9.999999747378752e-05;94080;1651185144.5219944
148;9.999999747378752e-05;94720;1651185145.6963637
149;9.999999747378752e-05;95360;1651185146.8737736
150;9.999999747378752e-05;96000;1651185148.0001462
151;9.999999747378752e-05;96640;1651185149.18396
152;9.999999747378752e-05;97280;1651185150.3181632
153;9.999999747378752e-05;97920;1651185151.473952
154;9.999999747378752e-05;98560;1651185152.5957365
155;9.999999747378752e-05;99200;1651185155.362592
156;9.999999747378752e-05;99840;1651185156.5318358
157;9.999999747378752e-05;100480;1651185157.705298
158;9.999999747378752e-05;101120;1651185158.8816867
159;9.999999747378752e-05;101760;1651185160.0557177
160;9.999999747378752e-05;102400;1651185161.2328014
161;9.999999747378752e-05;103040;1651185164.0118003
162;9.999999747378752e-05;103680;1651185165.1563945
163;9.999999747378752e-05;104320;1651185166.3081965
164;9.999999747378752e-05;104960;1651185167.4524686
165;9.999999747378752e-05;105600;1651185168.5875325
166;9.999999747378752e-05;106240;1651185169.7098227
167;9.999999747378752e-05;106880;1651185170.8747337
168;9.999999747378752e-05;107520;1651185171.9996505
169;9.999999747378752e-05;108160;1651185174.7698994
170;9.999999747378752e-05;108800;1651185175.9498363
171;9.999999747378752e-05;109440;1651185177.131782
172;9.999999747378752e-05;110080;1651185178.3108225
173;9.999999747378752e-05;110720;1651185179.480011
174;9.999999747378752e-05;111360;1651185180.6216376
175;9.999999747378752e-05;112000;1651185181.7536201
176;9.999999747378752e-05;112640;1651185184.5104241
177;9.999999747378752e-05;113280;1651185185.6918128
178;9.999999747378752e-05;113920;1651185186.8641324
179;9.999999747378752e-05;114560;1651185188.0392752
180;9.999999747378752e-05;115200;1651185189.2138128
181;9.999999747378752e-05;115840;1651185190.391801
182;9.999999747378752e-05;116480;1651185191.5642998
183;9.999999747378752e-05;117120;1651185193.5548987
184;9.999999747378752e-05;117760;1651185195.4793904
185;9.999999747378752e-05;118400;1651185196.657092
186;9.999999747378752e-05;119040;1651185197.8374052
187;9.999999747378752e-05;119680;1651185198.9536545
188;9.999999747378752e-05;120320;1651185200.1346517
189;9.999999747378752e-05;120960;1651185201.2769172
190;9.999999747378752e-05;121600;1651185204.0572088
191;9.999999747378752e-05;122240;1651185205.2323732
192;9.999999747378752e-05;122880;1651185206.403741
193;9.999999747378752e-05;123520;1651185207.5762036
194;9.999999747378752e-05;124160;1651185208.7479005
195;9.999999747378752e-05;124800;1651185209.915091
196;9.999999747378752e-05;125440;1651185211.0706832
197;9.999999747378752e-05;126080;1651185212.2353578
198;9.999999747378752e-05;126720;1651185214.9518418
199;9.999999747378752e-05;127360;1651185216.088743
200;9.999999747378752e-05;128000;1651185262.2343318
201;9.999999747378752e-05;128640;1651185263.3593261
202;9.999999747378752e-05;129280;1651185264.5332625
203;9.999999747378752e-05;129920;1651185265.65484
204;9.999999747378752e-05;130560;1651185266.7540057
205;9.999999747378752e-05;131200;1651185268.1225123
